"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"1:04:00::"	"local"	"demand"	"solely"	"."	"solely_local"	"local_demand"	"demand_."	"serve_solely_local"	"solely_local_demand"	"local_demand_."	"demand_._∅"	"VB"	"RB"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"weakness"	"of"	"vocational"	"training_program"	"in"	"labor"	"area"	"be"	"their"	"focus"	"on"	"serve"	"solely"	"local"	"job"	"demand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"future"	"opportunity"	"on"	"."	"on_future"	"future_opportunity"	"opportunity_."	"outlook_on_future"	"on_future_opportunity"	"future_opportunity_."	"opportunity_._∅"	"NN"	"IN"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"and"	"local"	"agency"	"in"	"the"	"vocational"	"education"	"field"	"be"	"encourage"	"to"	"adopt"	"a"	"wide"	"outlook"	"on"	"future"	"job"	"opportunity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"at"	"in"	"solely"	"the"	"solely_at"	"at_in"	"in_the"	"aim_solely_at"	"solely_at_in"	"at_in_the"	"in_the_local"	"VB"	"RB"	"IN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"training_program"	"in"	"a"	"depressed"	"area"	"may"	"have"	"few"	"enrollee"	"unless"	"there"	"be"	"some"	"apparent"	"prospect"	"for"	"better"	"employment"	"opportunity"	"afterwards"	"the"	"prospect"	"may"	"be"	"poor"	"if"	"training"	"is"	"aim"	"solely"	"at"	"job"	"in"	"the"	"local"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"that"	"finish"	"person"	"finish_the"	"the_that"	"that_person"	"that_finish_the"	"finish_the_that"	"the_that_person"	"that_person_and"	"DT"	"VB"	"DT"	"NN"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"the"	"job"	"that"	"person"	"and"	"person"	"had"	"begin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"of"	"take_on"	"write"	"take_on_the"	"the_of"	"of_write"	"he_take_on_the"	"take_on_the_of"	"the_of_write"	"of_write_the"	"PRP"	"VB"	"DT"	"NN"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"fill"	"be"	"person"	"with"	"the"	"spirit"	"of"	"that"	"after"	"korea"	"be"	"over"	"he"	"take_on"	"the"	"job"	"of"	"write"	"the"	"complete"	"history"	"of"	"the"	"regiment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"change"	"readily"	"cannot"	"."	"cannot_change"	"change_readily"	"readily_."	"farm_cannot_change"	"cannot_change_readily"	"change_readily_."	"readily_._∅"	"NN"	"MD"	"VB"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"worker"	"who"	"live"	"a"	"farm"	"cannot"	"change"	"job"	"readily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"main"	"is"	"the"	"lose"	"the_main"	"main_is"	"is_lose"	"if_the_main"	"the_main_is"	"main_is_lose"	"is_lose_."	"IN"	"DT"	"JJ"	"NN"	"VBZ"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"farm"	"may"	"be"	"additional"	"burden"	"if"	"the"	"main"	"job"	"is"	"lose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"regular"	"is"	"the"	"lose"	"the_regular"	"regular_is"	"is_lose"	"if_the_regular"	"the_regular_is"	"regular_is_lose"	"is_lose_,"	"IN"	"DT"	"JJ"	"NN"	"VBZ"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"part-time"	"farming"	"give"	"a"	"of"	"security"	"if"	"the"	"regular"	"job"	"is"	"lose"	"provide"	"the"	"farm"	"is"	"own"	"free_of"	"debt"	"and"	"furnish"	"enough"	"income"	"to"	"meet"	"fixed"	"expense"	"and"	"minimum"	"live"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"full-time"	"you"	","	"can"	",_full-time"	"full-time_you"	"you_can"	"year-round_,_full-time"	",_full-time_you"	"full-time_you_can"	"you_can_n't"	"JJ"	"ε"	"JJ"	"NN"	"PRP"	"MD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"have"	"year-round"	"full-time"	"job"	"you"	"can"	"n't"	"expect"	"to"	"grow"	"much"	"more"	"than"	"your"	"family"	"use"	"unless"	"member"	"of"	"the"	"family"	"do"	"a"	"good_deal"	"of"	"the"	"work"	"or"	"you"	"hire"	"help"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"certain"	"."	"do"	"∅"	"do_certain"	"certain_."	"._∅"	"to_do_certain"	"do_certain_."	"certain_._∅"	"._∅_∅"	"TO"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"can"	"keep_down"	"your"	"machinery"	"investment"	"down"	"by"	"buy"	"good"	"secondhand"	"machinery"	"by"	"share"	"the"	"cost"	"and"	"upkeep"	"machinery"	"with"	"a"	"neighbor"	"and"	"by"	"hire"	"with"	"machinery"	"to"	"do"	"certain"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
