"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"1:28:02::"	"61"	"."	"-"	"∅"	"-_61"	"61_."	"._∅"	"1960_-_61"	"-_61_."	"61_._∅"	"._∅_∅"	"CD"	"ε"	"CD"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"close"	"to"	"two"	"million"	"game_bird"	"were"	"harvest"	"on"	"commercial"	"and"	"private"	"shooting_preserve"	"on"	"group"	"controlled"	"upland"	"game"	"area"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"on"	"include"	"information"	"six"	"information_on"	"on_include"	"include_six"	"have_information_on"	"information_on_include"	"on_include_six"	"include_six_month"	"VB"	"NN"	"IN"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"would"	"you"	"like"	"to"	"organize"	"teen"	"hunter"	"shooting"	"program"	"and"	"have"	"information"	"on"	"season"	"include"	"six"	"month"	"of"	"hunting"	"with"	"unlimited"	"game"	"bag"	"on"	"shooting_preserve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"of"	","	"change"	"its"	"change_of"	"of_,"	",_its"	"its_change_of"	"change_of_,"	"of_,_its"	",_its_variable"	"PRP$"	"NN"	"IN"	"NN"	"ε"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"boy"	"person"	"begin"	"the"	"long"	"process"	"of"	"extract"	"goodness"	"of"	"the"	"out-of-doors"	"its"	"tang"	"weather"	"its"	"change"	"of"	"season"	"its"	"variable"	"mood"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"this"	","	"''"	"return"	"''_this"	"this_,"	",_return"	"lucia_di_lammermoor_''_this"	"''_this_,"	"this_,_return"	",_return_the"	"NNP"	"ε"	"DT"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"line"	"of"	"operatic"	"trade"	"to"	"cushion"	"the"	"budget"	"the"	"group"	"will"	"use"	"san_francisco"	"new"	"group"	"production"	"lucia_di_lammermoor"	"this"	"season"	"return"	"the"	"favor"	"next"	"season"	"when"	"san_francisco"	"use"	"the"	"dallas"	"don_giovanni"	"design"	"by"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"next"	"when"	"favor"	"san_francisco"	"favor_next"	"next_when"	"when_san_francisco"	"the_favor_next"	"favor_next_when"	"next_when_san_francisco"	"when_san_francisco_use"	"DT"	"NN"	"JJ"	"NN"	"WRB"	"NN"	"VB"	"in"	"the"	"line"	"of"	"operatic"	"trade"	"to"	"cushion"	"the"	"budget"	"the"	"group"	"will"	"use"	"san_francisco"	"new"	"group"	"production"	"of"	"lucia_di_lammermoor"	"this"	"season"	"return"	"the"	"favor"	"next"	"when"	"san_francisco"	"use"	"the"	"dallas"	"don_giovanni"	"design"	"by"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"his"	"'s"	"for"	"opener"	"for_his"	"his_'s"	"'s_opener"	"comedy_for_his"	"for_his_'s"	"his_'s_opener"	"'s_opener_at"	"NN"	"IN"	"PRP$"	"NN"	"POS"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"choose"	"delightful"	"comedy"	"for"	"his"	"season"	"opener"	"at"	"location"	"in"	"person"	"king_of_hearts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"event_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"one"	"of"	"happy"	"event"	"of"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"this"	"."	"start"	"∅"	"start_this"	"this_."	"._∅"	"slow_start_this"	"start_this_."	"this_._∅"	"._∅_∅"	"JJ"	"NN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"cardinals"	"heed"	"person"	"of"	"the"	"group"	"they"	"be"	"mislead"	"by"	"the"	"group"	"slow"	"start"	"this"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"this"	","	"flu"	"will"	"flu_this"	"this_,"	",_will"	"the_flu_this"	"flu_this_,"	"this_,_will"	",_will_start"	"DT"	"NN"	"DT"	"NN"	"ε"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"set_back"	"by"	"flu"	"this"	"season"	"will"	"start"	"against"	"his"	"former"	"group"	"mate"	"who"	"might"	"be"	"play"	"without"	"captain"	"person"	"in"	"tonight"	"game"	"at"	"location"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"last"	"on"	"twice"	"dramatic"	"twice_last"	"last_on"	"on_dramatic"	"person_twice_last"	"twice_last_on"	"last_on_dramatic"	"on_dramatic_home_run"	"NNP"	"RB"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"group"	"who"	"will"	"be"	"the"	"unhappy"	"over"	"the"	"news"	"that"	"person"	"probably"	"will"	"sit_out"	"most"	"of"	"the"	"series"	"be"	"person"	"who"	"was"	"beat"	"by"	"person"	"twice"	"season"	"on"	"dramatic"	"home_run"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
