"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"2:37:00::"	"one"	"one"	"does"	"'s"	"does_one"	"one_one"	"one_'s"	",_does_one"	"does_one_one"	"one_one_'s"	"one_'s_spare_time"	"ε"	"VBZ"	"CD"	"VB"	"CD"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"he"	"wonder"	"one"	"enjoy"	"one"	"spare_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"bar"	"a"	"the"	"slug"	"the_bar"	"bar_a"	"a_slug"	"of_the_bar"	"the_bar_a"	"bar_a_slug"	"a_slug_of"	"IN"	"DT"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"was"	"stand"	"at"	"end"	"of"	"the"	"bar"	"enjoy"	"a"	"slug"	"of"	"cognac"	"when"	"rourke"	"come_in"	"six"	"or"	"eight"	"minutes"	"later"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"prices"	"a"	"american_stock_exchange"	"fairly"	"american_stock_exchange_prices"	"prices_a"	"a_fairly"	"∅_american_stock_exchange_prices"	"american_stock_exchange_prices_a"	"prices_a_fairly"	"a_fairly_solid"	"ε"	"NN"	"NNS"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"prices"	"enjoy"	"a"	"fairly"	"solid"	"rise"	"but"	"here"	"also"	"trading"	"dwindle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"persians"	"many_of"	"evening"	"the"	"evening_persians"	"persians_many_of"	"many_of_the"	"an_evening_persians"	"evening_persians_many_of"	"persians_many_of_the"	"many_of_the_things"	"DT"	"NN"	"NNPS"	"VB"	"JJ"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"in"	"evening"	"persians"	"enjoy"	"many_of"	"the"	"things"	"which"	"be"	"important"	"to"	"them"	"poetry"	"water"	"the"	"moon"	"a"	"beautiful"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"to"	"a"	"them"	"way_of_life"	"them_to"	"to_a"	"a_way_of_life"	"persuade_them_to"	"them_to_a"	"to_a_way_of_life"	"a_way_of_life_which"	"VB"	"PRP"	"TO"	"VB"	"DT"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"must"	"them"	"to"	"enjoy"	"a"	"way_of_life"	"which"	"if_not"	"identical"	"be"	"congenial"	"with"	"ours"	"he"	"say"	"but"	"add"	"that"	"if"	"they"	"do"	"not"	"develop"	"the"	"kind_of"	"society"	"they"	"themselves"	"want"	"it"	"will"	"lack"	"ritiuality"	"and"	"loyalty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"to"	"boating"	"opportunity"	"has"	"opportunity_to"	"to_boating"	"boating_has"	"an_opportunity_to"	"opportunity_to_boating"	"to_boating_has"	"boating_has_not"	"DT"	"NN"	"TO"	"VB"	"NN"	"VBZ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"opportunity"	"to"	"enjoy"	"boating"	"has"	"not"	"been"	"create"	"by"	"bring"	"bodies_of_water"	"to"	"the"	"people"	"means"	"have"	"been"	"find"	"to"	"take"	"the"	"people"	"and"	"their"	"boats"	"to"	"the"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:01::"	"particularly"	"the"	"always"	"last"	"always_particularly"	"particularly_the"	"the_last"	"mr._podger_always_particularly"	"always_particularly_the"	"particularly_the_last"	"the_last_night"	"NNP"	"RB"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._podger"	"particularly"	"enjoy"	"the"	"last"	"night"	"of"	"each"	"summer"	"at"	"loon_lake"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"to"	"it"	"on_which"	"and"	"on_which_to"	"to_it"	"it_and"	"roads_on_which_to"	"on_which_to_it"	"to_it_and"	"it_and_such"	"NNS"	"RB"	"TO"	"VB"	"PRP"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"hope"	"it"	"can"	"be"	"say"	"without"	"boasting"	"that"	"no"	"nation"	"offer"	"its"	"vacationing"	"such"	"variety"	"and"	"beauty"	"of"	"scene"	"such"	"an"	"excellent"	"network"	"of"	"roads"	"on_which"	"to"	"enjoy"	"it"	"and"	"such"	"decent"	"far-flung"	"over-night"	"accommodations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"he"	"the"	"career"	"close"	"career_he"	"he_the"	"the_close"	"'s_career_he"	"career_he_the"	"he_the_close"	"the_close_collaboration"	"POS"	"NN"	"PRP"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"greater"	"part"	"jefferson"	"career"	"he"	"enjoy"	"the"	"close"	"collaboration"	"of"	"a"	"fellow"	"virginian"	"james_madison"	"eight"	"years"	"his"	"junior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"still"	"an"	"are"	"alfresco"	"are_still"	"still_an"	"an_alfresco"	"we_are_still"	"are_still_an"	"still_an_alfresco"	"an_alfresco_lunch"	"PRP"	"VBP"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"also"	"work_out"	"logistics"	"for"	"sunday"	"afternoon"	"swimmers"	"who"	"arrive"	"hours"	"early"	"with"	"their"	"weekend"	"guests"	"while"	"we"	"are"	"still"	"enjoy"	"an"	"alfresco"	"lunch"	"en_famille"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
