"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"5:00:00:valuable:00"	"be"	"at_least"	"american"	"$"	"american_be"	"be_at_least"	"at_least_$"	"kidnaped_american_be"	"american_be_at_least"	"be_at_least_$"	"at_least_$_750"	"JJ"	"NN"	"VB"	"JJ"	"RB"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"were"	"tell"	"that"	"to"	"group"	"a"	"kidnaped"	"american"	"be"	"worth"	"at_least"	"a"	"fortune"	"in"	"laos"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:worthy:00"	"be"	"know"	"they"	"about"	"they_be"	"be_know"	"know_about"	"but_they_be"	"they_be_know"	"be_know_about"	"know_about_."	"CC"	"PRP"	"VB"	"JJ"	"VB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"few"	"area"	"if"	"any"	"be"	"as_good_as"	"shelter"	"but"	"they"	"be"	"worth"	"know"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"its"	"as"	"∅"	"a"	"∅_its"	"its_as"	"as_a"	"∅_∅_its"	"∅_its_as"	"its_as_a"	"as_a_place"	"ε"	"ε"	"PRP$"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"worth"	"as"	"a"	"place"	"to"	"live"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:worthy:00"	"be"	"to"	"place"	"you"	"place_be"	"be_to"	"to_you"	"the_place_be"	"place_be_to"	"be_to_you"	"to_you_and"	"DT"	"NN"	"VB"	"JJ"	"TO"	"PRP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"decide"	"first"	"the"	"place"	"be"	"worth"	"to"	"you"	"and"	"your"	"family"	"as"	"a"	"home"	"in"	"comparison"	"with"	"what"	"it"	"would"	"cost"	"to"	"live"	"in"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:valuable:00"	"whisky"	"$"	"canadian"	"100000"	"canadian_whisky"	"whisky_$"	"$_100000"	"of_canadian_whisky"	"canadian_whisky_$"	"whisky_$_100000"	"$_100000_and"	"IN"	"JJ"	"NN"	"JJ"	"ε"	"CD"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"still"	"more"	"jealous"	"bitterness"	"was"	"engender"	"by"	"the"	"person"	"gang"	"seizure"	"a"	"location"	"marshalling_yard"	"of"	"a"	"freight_car"	"load"	"of"	"canadian"	"whisky"	"worth"	"and"	"by"	"one"	"of"	"the"	"big"	"coup"	"of"	"the"	"prohibition_era"	"the"	"location"	"warehouse"	"robbery"	"which"	"become"	"famous"	"for"	"the"	"cool"	"brazenness"	"of"	"the"	"operation"	
"5:00:00:valuable:00"	"it"	"what"	"be"	"it"	"be_it"	"it_what"	"what_it"	",_be_it"	"be_it_what"	"it_what_it"	"what_it_is"	"ε"	"VB"	"PRP"	"JJ"	"WP"	"PRP"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"have"	"an"	"annual"	"or"	"physical"	"examination"	"program"	"be"	"it"	"worth"	"what"	"it"	"is"	"cost"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"'s"	"."	"money"	"∅"	"money_'s"	"'s_."	"._∅"	"their_money_'s"	"money_'s_."	"'s_._∅"	"._∅_∅"	"PRP$"	"NN"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"soon"	"back"	"at_work"	"give"	"secret"	"employer"	"their"	"money"	"worth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"million"	"of"	"30"	"highway"	"30_million"	"million_of"	"of_highway"	"$_30_million"	"30_million_of"	"million_of_highway"	"of_highway_reconstruction"	"ε"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meanwhile"	"it"	"was"	"learn"	"the"	"group"	"be"	"very"	"near"	"ready"	"to"	"issue"	"the"	"first"	"million"	"worth"	"of"	"highway"	"reconstruction"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"million"	"of"	"4"	"group"	"4_million"	"million_of"	"of_group"	"$_4_million"	"4_million_of"	"million_of_group"	"of_group_bond"	"ε"	"JJ"	"NN"	"NN"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"group"	"source"	"say"	"there"	"also"	"be"	"a"	"plan"	"to"	"issue"	"some"	"million"	"to"	"million"	"worth"	"of"	"group"	"bond"	"for"	"rural"	"road"	"construction"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"million"	"of"	"50"	"additional"	"50_million"	"million_of"	"of_additional"	"$_50_million"	"50_million_of"	"million_of_additional"	"of_additional_rural"	"ε"	"JJ"	"NN"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"open"	"his"	"race"	"for"	"governor"	"in"	"with"	"a"	"battle"	"the"	"legislature"	"against"	"the"	"issuance"	"of"	"million"	"worth"	"of"	"additional"	"rural"	"road"	"bond"	"propose"	"by"	"then"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
