"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"2:36:00::"	"elisabeth_schwarzkopf"	"so"	"∅"	"magnificently"	"∅_elisabeth_schwarzkopf"	"elisabeth_schwarzkopf_so"	"so_magnificently"	"∅_∅_elisabeth_schwarzkopf"	"∅_elisabeth_schwarzkopf_so"	"elisabeth_schwarzkopf_so_magnificently"	"so_magnificently_saturday"	"ε"	"ε"	"NNP"	"VB"	"RB"	"RB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sing"	"so"	"magnificently"	"saturday"	"night"	"at"	"hunter_college"	"that"	"it"	"seem"	"a"	"pity"	"to"	"have_to"	"register"	"any"	"complaints"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"brother_john_sellers"	"five"	"as"	"``"	"as_brother_john_sellers"	"brother_john_sellers_five"	"five_``"	"∅_as_brother_john_sellers"	"as_brother_john_sellers_five"	"brother_john_sellers_five_``"	"five_``_blues"	"ε"	"IN"	"NNP"	"VB"	"CD"	"ε"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"brother_john_sellers"	"sing"	"five"	"blues"	"to"	"the"	"guitar"	"and"	"drum"	"accompaniments"	"of"	"bruce_langhorne"	"and"	"shep_shepard"	"mr._ailey"	"and"	"miss_de_lavallade"	"go_through"	"volatile"	"dances"	"that"	"be"	"by"	"turns"	"insinuating"	"threatening"	"contemptuous"	"and"	"ecstatic"	
"2:36:01::"	"to"	"marlowe"	"gather"	","	"gather_to"	"to_marlowe"	"marlowe_,"	"will_gather_to"	"gather_to_marlowe"	"to_marlowe_,"	"marlowe_,_herrick"	"MD"	"VB"	"TO"	"VB"	"NNP"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"perhaps"	"difficult"	"to"	"conceive"	"but"	"imagine"	"that"	"tonight"	"on"	"bridge"	"the"	"teddy_boys"	"of"	"the"	"east"	"end"	"will"	"gather"	"to"	"sing"	"marlowe"	"herrick"	"shakespeare"	"and"	"perhaps"	"some"	"lyrics"	"of"	"their"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"lady"	"?"	"the"	"∅"	"the_lady"	"lady_?"	"?_∅"	"when_the_lady"	"the_lady_?"	"lady_?_∅"	"?_∅_∅"	"WRB"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"who"	"care"	"the"	"lady"	"sing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"judy"	"the"	"and"	"lovely"	"and_judy"	"judy_the"	"the_lovely"	"∅_and_judy"	"and_judy_the"	"judy_the_lovely"	"the_lovely_old"	"ε"	"CC"	"NNP"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"judy"	"sing"	"the"	"lovely"	"old"	"familiar"	"things"	"which"	"seem"	"at_times"	"a"	"blessed"	"relief"	"from"	"the"	"way-out"	"compositions"	"of"	"the"	"progressive"	"jazzmen"	"who"	"have"	"dominate"	"these"	"proceedings"	"0"	"0"	"0"	
"2:36:00::"	"come_on"	","	"judy"	"in"	"judy_come_on"	"come_on_,"	",_in"	",_judy_come_on"	"judy_come_on_,"	"come_on_,_in"	",_in_a"	"ε"	"NNP"	"VB"	"VB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"along"	"about"	"just"	"when"	"it"	"was"	"get_to"	"be"	"about"	"time"	"to"	"turn"	"the"	"over"	"and"	"toast"	"them"	"on"	"the"	"side"	"judy"	"come_on"	"sing"	"in"	"a"	"short-skirted"	"blue"	"dress"	"with"	"a"	"blue"	"and"	"white"	"jacket"	"that"	"flap"	"in"	"the"	"wind"	"0"	"0"	"0"	
"2:36:01::"	","	"a"	"twists"	"set"	"twists_,"	",_a"	"a_set"	"wild_twists_,"	"twists_,_a"	",_a_set"	"a_set_,"	"JJ"	"NNS"	"ε"	"VB"	"DT"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"julie_wilson"	"a"	"vigorous"	"vocalist"	"many"	"wild"	"twists"	"sing"	"a"	"set"	"a"	"large"	"part"	"of_which"	"consist_of"	"such"	"seldom"	"hear"	"old"	"oldies"	"as"	"hard-hearted_hannah"	"the"	"vamp"	"of"	"savannah"	"and"	"the"	"delightful"	"sunday"	"0"	"0"	"0"	
"2:36:01::"	"robert_shaw_chorale"	"sea"	"the"	"shanties"	"the_robert_shaw_chorale"	"robert_shaw_chorale_sea"	"sea_shanties"	"of_the_robert_shaw_chorale"	"the_robert_shaw_chorale_sea"	"robert_shaw_chorale_sea_shanties"	"sea_shanties_in"	"IN"	"DT"	"NNP"	"VB"	"NNP"	"NNPS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"male"	"of"	"the"	"robert_shaw_chorale"	"sing"	"sea"	"shanties"	"in"	"fine"	"style"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"miss_pons"	"the"	"way"	"cadenza"	"way_miss_pons"	"miss_pons_the"	"the_cadenza"	"breathtaking_way_miss_pons"	"way_miss_pons_the"	"miss_pons_the_cadenza"	"the_cadenza_to"	"JJ"	"NN"	"NNP"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"such"	"moment"	"come"	"the"	"breathtaking"	"way"	"miss_pons"	"sing"	"the"	"cadenza"	"to"	"meyerbeer"	"shadow_song"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"are"	"by"	"songs"	"a"	"songs_are"	"are_by"	"by_a"	"hart_songs_are"	"songs_are_by"	"are_by_a"	"by_a_quintet"	"NNP"	"NNS"	"VBP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"altogether"	"fifteen"	"virtually"	"unknown"	"and"	"hart"	"songs"	"are"	"sing"	"by"	"a"	"quintet"	"of"	"able"	"vocalists"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
