"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"
"5:00:00:specified:00"	"-"	"lighting"	"condition"	","	"condition_-"	"-_lighting"	"lighting_,"	"working_condition_-"	"condition_-_lighting"	"-_lighting_,"	"lighting_,_restroom"	"JJ"	"NN"	"ε"	"JJ"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"improvement"	"are"	"in"	"working"	"condition"	"such_as"	"lighting"	"restroom"	"eating"	"facility"	"air-conditioning"	"do"	"you"	"try"	"to"	"set"	"a"	"measure"	"of"	"their"	"effectiveness"	"on"	"productivity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:specified:00"	","	"was"	"money"	"do"	"money_,"	",_was"	"was_do"	"profit_sharing_money_,"	"money_,_was"	",_was_do"	"was_do_in"	"NN"	"NN"	"ε"	"JJ"	"VBD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"can"	"you"	"consider"	"restrict"	"any"	"additional"	"employee"	"to"	"those"	"pay"	"for"	"by"	"profit_sharing"	"money"	"such_as"	"was"	"do"	"in"	"the"	"union"	"contract"	"recently"	"sign"	"by"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:specified:00"	"-"	"on_the_job"	"benefit"	"disability"	"benefit_-"	"-_on_the_job"	"on_the_job_disability"	"your_benefit_-"	"benefit_-_on_the_job"	"-_on_the_job_disability"	"on_the_job_disability_pay"	"PRP$"	"NN"	"ε"	"JJ"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"check"	"to"	"see"	"if"	"of"	"your"	"benefit"	"such_as"	"on_the_job"	"disability"	"pay"	"can"	"be"	"put"	"on"	"a"	"direct"	"payment"	"rather"	"than"	"an"	"insured"	"basis"	"at"	"a"	"saving"	"to"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:specified:00"	"craftsman"	"tool"	"skilled"	"and"	"skilled_craftsman"	"craftsman_tool"	"tool_and"	"so_skilled_craftsman"	"skilled_craftsman_tool"	"craftsman_tool_and"	"tool_and_die"	"RB"	"JJ"	"NN"	"JJ"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"keep"	"the"	"retirement"	"flexible"	"so"	"skilled"	"craftsman"	"such_as"	"tool"	"and"	"die"	"maker"	"can"	"be"	"keep"	"on_the_job"	"for"	"the"	"convenience"	"of"	"the"	"company"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:specified:00"	","	"those"	"reason"	"often"	"reason_,"	",_those"	"those_often"	"serious_reason_,"	"reason_,_those"	",_those_often"	"those_often_mention"	"JJ"	"NN"	"ε"	"JJ"	"DT"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"declare"	"in"	"that"	"it"	"be"	"possible"	"be"	"exempt"	"from"	"the"	"normal"	"obligation"	"of"	"parenthood"	"for"	"a"	"and"	"even"	"for"	"the"	"whole"	"duration"	"of"	"married"	"life"	"if"	"there"	"be"	"serious"	"reason"	"such_as"	"those"	"often"	"mention"	"in"	"the"	"so-called"	"medical"	"eugenic"	"economic"	"and"	"social"	"indication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:specified:00"	","	"filing"	"purpose"	"a"	"purpose_,"	",_filing"	"filing_a"	"tax_purpose_,"	"purpose_,_filing"	",_filing_a"	"filing_a_return"	"NN"	"NN"	"ε"	"JJ"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"last"	"day"	"due_date"	"for"	"perform"	"act"	"for"	"tax"	"purpose"	"such_as"	"filing"	"a"	"return"	"or"	"make"	"a"	"tax"	"payment"	"etc."	"fall"	"on"	"saturday"	"sunday"	"or"	"a"	"legal_holiday"	"you"	"may"	"perform"	"that"	"act"	"on"	"the"	"next"	"succeeding"	"day"	"which"	"be"	"not"	"a"	"saturday"	"sunday"	"or"	"legal_holiday"	
"5:00:00:specified:00"	","	"union"	"force"	"power"	"force_,"	",_union"	"union_power"	"from_force_,"	"force_,_union"	",_union_power"	"union_power_,"	"IN"	"NN"	"ε"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_order_to"	"focus"	"clearly"	"upon"	"the"	"operation"	"of"	"this"	"one"	"force"	"which"	"we"	"may"	"call"	"the"	"effect"	"of"	"public"	"limit"	"on"	"key"	"wage"	"bargain"	"we"	"deliberately"	"simplify"	"the"	"model"	"by"	"abstract"	"from"	"force"	"such_as"	"union"	"power"	"which"	"may"	"be"	"relevant"	"in"	"an"	"actual"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:specified:00"	"modern_times"	"undersea"	"of"	"warfare"	"of_modern_times"	"modern_times_undersea"	"undersea_warfare"	"problem_of_modern_times"	"of_modern_times_undersea"	"modern_times_undersea_warfare"	"undersea_warfare_,"	"NN"	"IN"	"NN"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"discuss"	"here"	"are"	"military"	"problem"	"of"	"modern_times"	"such_as"	"undersea"	"warfare"	"where"	"the"	"surveillance"	"sending"	"transmitting"	"and"	"receiving"	"be"	"all"	"so"	"inadequate"	"that"	"network"	"and"	"decision_making"	"be"	"not"	"the"	"bottleneck"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:specified:00"	"play"	"heroic"	"has"	"role"	"has_play"	"play_heroic"	"heroic_role"	"who_has_play"	"has_play_heroic"	"play_heroic_role"	"heroic_role_as"	"WP"	"VBZ"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"russian"	"who"	"has"	"play"	"such_as"	"heroic"	"role"	"as"	"person"	"and"	"person"	"perform"	"the"	"lanky"	"don_quixote"	"and"	"does"	"so"	"with"	"a"	"simple"	"dignity"	"that"	"bridge"	"the"	"inner"	"nobility"	"and"	"the"	"surface"	"absurdity"	"of"	"this"	"poignant"	"man"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:specified:00"	","	"human"	"diminish"	"stature"	"diminish_,"	",_human"	"human_stature"	"and_diminish_,"	"diminish_,_human"	",_human_stature"	"human_stature_,"	"CC"	"VB"	"ε"	"JJ"	"JJ"	"NN"	"ε"	"the"	"afternoon"	"on"	"my"	"old"	"friend"	"person"	"the"	"anglo-american"	"literary"	"critic"	"his"	"mother"	"be_born"	"in"	"ohio"	"who"	"live"	"alone"	"in"	"a"	"fairytale"	"cottage"	"on"	"the"	"location"	"raise_hell"	"and"	"peacock"	"the"	"former"	"only"	"when"	"the"	"venerable"	"gentleman"	"become"	"an"	"angry"	"old_man"	"about"	"the"	"state"	"of"	"literature"	"or"	"something"	"else"	"is"	"dwindle"	"and"	"diminish"	"such_as"	"stature"	"hope"	"and"	"humor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
