"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"3:00:00::"	"be"	","	"din"	"too"	"din_be"	"be_,"	",_too"	"the_din_be"	"din_be_,"	"be_,_too"	",_too_,"	"DT"	"NN"	"VB"	"JJ"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"be"	"successful"	"too"	"for"	"just"	"before"	"the"	"moon"	"disappear"	"the"	"frightened"	"toad"	"had"	"begin"	"to"	"spit_out"	"it"	"out"	"again"	"which"	"mean"	"good_luck"	"all"	"around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"less"	"in"	"be"	"cope_with"	"be_less"	"less_in"	"in_cope_with"	"have_be_less"	"be_less_in"	"less_in_cope_with"	"in_cope_with_tone_system"	"VBP"	"VB"	"RB"	"JJ"	"IN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"obvious"	"enough"	"linguist"	"in_general"	"have"	"be"	"less"	"successful"	"in"	"cope_with"	"tone_system"	"than"	"with"	"consonant"	"or"	"vowel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"of"	"tonal"	"sample"	"analysis"	"sample_of"	"of_tonal"	"tonal_analysis"	"wide-ranging_sample_of"	"sample_of_tonal"	"of_tonal_analysis"	"tonal_analysis_."	"JJ"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"be"	"wide-ranging"	"sample"	"of"	"successful"	"tonal"	"analysis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"promotional"	"sponsor"	"program"	"sponsor_a"	"a_promotional"	"promotional_program"	"producer_sponsor_a"	"sponsor_a_promotional"	"a_promotional_program"	"promotional_program_through"	"NN"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"gun"	"ammunition"	"producer"	"sponsor"	"a"	"successful"	"promotional"	"program"	"through"	"their"	"industry"	"trade"	"association"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"location"	"of"	"of"	"of_a"	"a_location"	"location_of"	"example_of_a"	"of_a_location"	"a_location_of"	"location_of_a"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"excellent"	"of"	"a"	"successful"	"location"	"of"	"a"	"new"	"vocational"	"high_school"	"be"	"the"	"group"	"in"	"chicago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"rehabilitation"	"despite"	"of"	"despite_the"	"the_rehabilitation"	"rehabilitation_of"	"∅_despite_the"	"despite_the_rehabilitation"	"the_rehabilitation_of"	"rehabilitation_of_over"	"ε"	"RB"	"DT"	"JJ"	"NN"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"successful"	"rehabilitation"	"of"	"over"	"a"	"half"	"million"	"disabled"	"person"	"in"	"the"	"first"	"eleven"	"year"	"after"	"the"	"existing"	"program"	"was"	"still"	"see"	"to"	"be"	"inadequate"	"to"	"cope_with"	"the"	"nation"	"backlog"	"of"	"an"	"estimated"	"two"	"million"	"disabled"	
"3:00:00::"	"outstandingly"	"."	"consider"	"∅"	"consider_outstandingly"	"outstandingly_."	"._∅"	"been_consider_outstandingly"	"consider_outstandingly_."	"outstandingly_._∅"	"._∅_∅"	"VBN"	"VB"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"engineer"	"had"	"been"	"make"	"the"	"works"	"manager"	"of"	"a"	"supplant"	"a"	"retired"	"employee"	"who"	"had"	"been"	"consider"	"outstandingly"	"successful"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"use"	"of"	"of"	"of_a"	"a_use"	"use_of"	"illustration_of_a"	"of_a_use"	"a_use_of"	"use_of_analysis"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"case"	"may"	"be"	"in"	"illustration"	"of"	"a"	"successful"	"use"	"of"	"analysis"	"and"	"also"	"of"	"the"	"employment"	"of"	"a"	"procedure"	"for"	"intensive"	"analysis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"development"	"be"	"of"	"be_the"	"the_development"	"development_of"	"achievement_be_the"	"be_the_development"	"the_development_of"	"development_of_a"	"NN"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"recent"	"be"	"the"	"successful"	"development"	"of"	"a"	"method"	"for"	"the"	"complete"	"combustion"	"in"	"a"	"bomb_calorimeter"	"of"	"a"	"metal"	"in"	"fluorine"	"when"	"the"	"product"	"be"	"relatively"	"nonvolatile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"very"	"geological"	"a"	"expedition"	"a_very"	"very_geological"	"geological_expedition"	"undertake_a_very"	"a_very_geological"	"very_geological_expedition"	"geological_expedition_to"	"VB"	"DT"	"RB"	"JJ"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"under"	"royal"	"command"	"undertake"	"a"	"very"	"successful"	"geological"	"expedition"	"to"	"location"	"one"	"of"	"the"	"danish"	"island"	"be"	"one"	"of"	"three"	"scientist"	"in"	"the"	"expedition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"opera"	"of"	"."	"of_a"	"a_opera"	"opera_."	"result_of_a"	"of_a_opera"	"a_opera_."	"opera_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ever"	"since"	"he"	"had"	"first"	"begin"	"to"	"study"	"music"	"and"	"to"	"teach"	"it"	"rousseau"	"had"	"dream"	"of"	"pierce"	"through"	"to"	"as"	"the"	"result"	"of"	"a"	"successful"	"opera"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"play"	"altogether"	","	"altogether_a"	"a_play"	"play_,"	"not_altogether_a"	"altogether_a_play"	"a_play_,"	"play_,_``"	"RB"	"RB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"a"	"successful"	"play"	"epitaph_for_george_dillon"	"overcome"	"through"	"sheer"	"vitality"	"and"	"power"	"what"	"in"	"a"	"lesser"	"work"	"might"	"be"	"crippling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
