"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"2:38:00::"	"and"	"back"	"fall"	"to"	"fall_and"	"and_back"	"back_to"	"not_fall_and"	"fall_and_back"	"and_back_to"	"back_to_their"	"RB"	"VB"	"CC"	"VB"	"RB"	"TO"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"just_as"	"all"	"the"	"have"	"not"	"fall"	"and"	"flow"	"back"	"to"	"their"	"original"	"mud"	"so"	"the"	"values"	"which"	"want"	"them"	"and"	"see"	"that"	"they"	"were_built"	"have"	"not"	"all"	"disappear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"and"	"into"	"itself"	"many"	"itself_and"	"and_into"	"into_many"	"renew_itself_and"	"itself_and_into"	"and_into_many"	"into_many_channels"	"VB"	"PRP"	"CC"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"django_reinhardt"	"the"	"ill-fated"	"gypsy"	"be"	"a"	"true"	"artist"	"one"	"who"	"demonstrate"	"the"	"power"	"of"	"art"	"to"	"renew"	"itself"	"and"	"flow"	"into"	"many"	"channels"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"to"	"to"	"begin"	"mississippi"	"begin_to"	"to_to"	"to_mississippi"	"normally_begin_to"	"begin_to_to"	"to_to_mississippi"	"to_mississippi_if"	"RB"	"VB"	"TO"	"VB"	"TO"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"a"	"democratic"	"administration"	"party"	"would"	"normally"	"begin"	"to"	"flow"	"to"	"mississippi"	"if"	"it"	"had"	"hold"	"its"	"democratic"	"solidarity"	"in"	"the"	"november"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"which"	"to"	"patronage"	"congressmen"	"patronage_which"	"which_to"	"to_congressmen"	"usual_patronage_which"	"patronage_which_to"	"which_to_congressmen"	"to_congressmen_."	"JJ"	"NN"	"WDT"	"VB"	"TO"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reports"	"be"	"that"	"it"	"be"	"more_than"	"probability"	"that"	"the"	"four"	"congressmen"	"from"	"mississippi"	"who"	"did"	"not"	"support"	"the"	"party"	"ticket"	"be"	"strip"	"of"	"the"	"usual"	"patronage"	"which"	"flow"	"to"	"congressmen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"area"	"through"	"the"	"the"	"the_area"	"area_through"	"through_the"	"in_the_area"	"the_area_through"	"area_through_the"	"through_the_line"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"division"	"say"	"it"	"would"	"be"	"impossible"	"to"	"work_on"	"line"	"until"	"then"	"because"	"of"	"the"	"large"	"amount"	"acid"	"sewage"	"from"	"jewelry"	"plants"	"in"	"the"	"area"	"flow"	"through"	"the"	"line"	"heavy"	"vehicle_traffic"	"on"	"eddy_street"	"and"	"tide"	"conditions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:22:00::"	"unrestricted"	"of"	"an"	"idea"	"an_unrestricted"	"unrestricted_of"	"of_idea"	"with_an_unrestricted"	"an_unrestricted_of"	"unrestricted_of_idea"	"of_idea_,"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seemingly"	"with"	"unrestricted"	"flow"	"of"	"idea"	"all"	"will"	"be"	"well"	"and"	"we"	"are"	"even"	"assure"	"that"	"an"	"idea"	"a"	"day"	"will"	"keep_away"	"the"	"sheriff"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"of"	","	"air"	",_the"	"the_of"	"of_air"	"breath_,_the"	",_the_of"	"the_of_air"	"of_air_from"	"NN"	"ε"	"DT"	"NN"	"IN"	"NN"	"IN"	"lower"	"center"	"rack"	"an"	"channel"	"recorder"	"indicate"	"the"	"percentage"	"of"	"carbon_dioxide"	"and"	"nitrogen"	"from"	"the"	"upper"	"and"	"lower"	"lobe"	"of"	"one"	"lung"	"the"	"total"	"volume"	"of"	"inhalation"	"per"	"breath"	"the"	"flow"	"air"	"from"	"both"	"lobe"	"and"	"the"	"pressure"	"of"	"the"	"two"	"lobe"	"with_respect_to"	"each_other"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"of"	"of"	"blood"	"of_the"	"the_of"	"of_blood"	"measurement_of_the"	"of_the_of"	"the_of_blood"	"of_blood_through"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"original"	"electrocardiograph"	"primarily"	"indicate"	"irregularity"	"in"	"the"	"heartbeat"	"today"	"technique"	"allow"	"exact"	"measurement"	"of"	"the"	"flow"	"of"	"blood"	"through"	"the"	"aorta"	"dimensioning"	"of"	"the"	"heart"	"and"	"its"	"chamber"	"and"	"a"	"much"	"more"	"detailed"	"study"	"of"	"each"	"heartbeat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"a"	"of"	"by"	"what"	"by_a"	"a_of"	"of_what"	"drown_by_a"	"by_a_of"	"a_of_what"	"of_what_i"	"VB"	"IN"	"DT"	"NN"	"RB"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_once"	"my"	"ear"	"drown"	"by"	"a"	"flow"	"of"	"what"	"i"	"take_to_be"	"spanish"	"but"	"the"	"driver"	"white"	"tooth"	"flash"	"at"	"me"	"the"	"road"	"wildly"	"veer"	"beyond"	"his"	"glistening"	"hair"	"beyond"	"his"	"gesticulating"	"bottle"	"it"	"could"	"have"	"be"	"the"	"pure"	"oxford_english"	"i"	"was"	"half"	"hear"	"i"	"would"	"n't"	"have"	"know"	"the"	"difference"	
"1:22:00::"	"and"	"of"	"pattern"	"the"	"pattern_and"	"and_of"	"of_the"	"the_pattern_and"	"pattern_and_of"	"and_of_the"	"of_the_drama"	"DT"	"NN"	"CC"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"true"	"the"	"and"	"flow"	"of"	"the"	"drama"	"have"	"strong"	"literary"	"quality"	"that"	"be"	"a_bit"	"wearisome"	"in"	"the"	"first_half"	"before"	"don_quixote"	"go"	"to"	"the"	"duke"	"court"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
