"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:41:00::"	"loudly"	"limit"	"interests"	"their"	"interests_loudly"	"loudly_limit"	"limit_their"	"hong_kong_interests_loudly"	"interests_loudly_limit"	"loudly_limit_their"	"limit_their_exports"	"NNP"	"NNS"	"RB"	"VB"	"VB"	"PRP$"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hong_kong"	"loudly"	"protest"	"limit"	"their"	"exports"	"to"	"britain"	"while"	"spanish"	"and"	"portuguese"	"textiles"	"pour"	"into"	"british"	"market"	"unrestrictedly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"and"	"afraid"	"say"	"afraid_to"	"to_and"	"and_say"	"and_afraid_to"	"afraid_to_and"	"to_and_say"	"and_say_``"	"CC"	"JJ"	"TO"	"VB"	"CC"	"VB"	"ε"	"small"	"way"	"of"	"force"	"the"	"people"	"to"	"watch"	"as"	"tiny"	"and"	"innocent"	"and"	"dependent"	"creatures"	"die"	"because"	"we"	"be"	"afraid"	"to"	"feed"	"them"	"and"	"afraid"	"and"	"say"	"how_come"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"while"	"that"	"bar"	"they"	"bar_while"	"while_that"	"that_they"	"our_bar_while"	"bar_while_that"	"while_that_they"	"that_they_can"	"PRP$"	"NN"	"IN"	"VB"	"IN"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"bottle"	"pool"	"is"	"tolerate"	"bottle"	"pool"	"be"	"our"	"lingo"	"for"	"those"	"who"	"come"	"to"	"swim"	"sink"	"into"	"our"	"bar"	"while"	"protest"	"that"	"they"	"can"	"only"	"dunk"	"and"	"run"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"folks"	"."	"you"	"∅"	"you_folks"	"folks_."	"._∅"	"of_you_folks"	"you_folks_."	"folks_._∅"	"._∅_∅"	"IN"	"PRP"	"NNS"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"can"	"hear"	"of"	"you"	"folks"	"protest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"had_to"	"."	"virtually"	"∅"	"virtually_had_to"	"had_to_."	"._∅"	"had_virtually_had_to"	"virtually_had_to_."	"had_to_._∅"	"._∅_∅"	"VBD"	"RB"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"trouble"	"be"	"he"	"had"	"virtually"	"had_to"	"protest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"person"	"''"	"."	"''_,"	",_person"	"person_."	"for_''_,"	"''_,_person"	",_person_."	"person_._∅"	"IN"	"ε"	"ε"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"those"	"be"	"the"	"thing"	"i"	"the"	"workshop"	"for"	"protest"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"``"	"of"	"we"	"of_the"	"the_``"	"``_we"	"in_spite_of_the"	"of_the_``"	"the_``_we"	"``_we_'re"	"RB"	"RB"	"DT"	"NN"	"ε"	"PRP"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"the"	"suggestion"	"of"	"and"	"in_spite"	"of"	"the"	"protest"	"we"	"not"	"really"	"thirsty"	"person"	"to"	"escape"	"the"	"stuffy"	"air"	"and"	"the"	"smothering"	"soft"	"voice"	"hurry"	"to"	"the"	"kitchen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"adamant"	"of"	"the"	"texas"	"the_adamant"	"adamant_of"	"of_texas"	"despite_the_adamant"	"the_adamant_of"	"adamant_of_texas"	"of_texas_banker"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"committee"	"approval"	"of"	"person"	"abandoned"	"property"	"act"	"certain"	"thursday"	"despite"	"the"	"adamant"	"protest"	"of"	"texas"	"banker"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"."	","	"∅"	",_the"	"the_."	"._∅"	"revulsion_,_the"	",_the_."	"the_._∅"	"._∅_∅"	"NN"	"ε"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"swiftly"	"come"	"the"	"the"	"protest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"person"	"."	","	"∅"	",_person"	"person_."	"._∅"	"''_,_person"	",_person_."	"person_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"we"	"are"	"leave"	"humor"	"and"	"behind"	"again"	"person"	"protest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
