"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"1:07:00::"	"the"	"of"	"at"	"23"	"at_the"	"the_of"	"of_23"	"brigadier_general_at_the"	"at_the_of"	"the_of_23"	"of_23_."	"NN"	"IN"	"DT"	"NN"	"IN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"civil_war"	"person"	"who"	"achieve"	"a"	"brilliant"	"was"	"make"	"brigadier_general"	"at"	"the"	"age"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"retirement"	"of"	"arbitrary"	"65"	"arbitrary_retirement"	"retirement_of"	"of_65"	"an_arbitrary_retirement"	"arbitrary_retirement_of"	"retirement_of_65"	"of_65_actually"	"DT"	"JJ"	"NN"	"NN"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"is"	"arbitrary"	"retirement"	"age"	"of"	"actually"	"cost"	"your"	"plant"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"retirement"	"flexible"	"the"	"so"	"the_retirement"	"retirement_flexible"	"flexible_so"	"keep_the_retirement"	"the_retirement_flexible"	"retirement_flexible_so"	"flexible_so_skilled"	"VB"	"DT"	"NN"	"NN"	"JJ"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"keep"	"retirement"	"age"	"flexible"	"so"	"skilled"	"craftsman"	"such_as"	"tool"	"and"	"die"	"maker"	"can"	"be"	"keep"	"on_the_job"	"for"	"the"	"convenience"	"of"	"the"	"company"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"own"	"and"	"her"	"whom"	"her_own"	"own_and"	"and_whom"	"just_about_her_own"	"her_own_and"	"own_and_whom"	"and_whom_she"	"RB"	"PRP$"	"JJ"	"NN"	"CC"	"WP"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"however"	"was"	"at"	"that"	"time"	"engaged"	"in"	"a"	"lengthy"	"correspondence"	"with"	"person"	"old"	"more"	"serious"	"brother"	"person"	"who"	"be"	"just_about"	"her"	"own"	"age"	"and"	"whom"	"she"	"had"	"got"	"to"	"know"	"well"	"during"	"trip"	"to"	"philadelphia"	"with"	"papa"	"when"	"he"	"substitute"	"for"	"person"	"at"	"group"	"there"	"during"	"its"	"rabbi"	"absence"	"in"	"europe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"that"	"."	"son"	"∅"	"son_that"	"that_."	"._∅"	"a_son_that"	"son_that_."	"that_._∅"	"._∅_∅"	"DT"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"never"	"would"	"have"	"she"	"have"	"a"	"son"	"that"	"age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"∅"	"but"	"∅"	"still"	"∅_∅"	"∅_but"	"but_still"	"∅_∅_∅"	"∅_∅_but"	"∅_but_still"	"but_still_precocious"	"ε"	"ε"	"ε"	"VB"	"CC"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"still"	"precocious"	"french"	"feline"	"enfant_terrible"	"person"	"has"	"succeed"	"in"	"shock"	"jaded"	"old"	"paris"	"again"	"this"	"time"	"with"	"a"	"sexy"	"ballet"	"scenario"	"called"	"the_lascivious_interlude"	"the"	"story"	"of"	"a"	"nymphomaniac"	"triphammer"	"operator"	"who"	"fall_in_love"	"hopelessly"	"in_love"	"with"	"a"	"middle-aged"	"steam_shovel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:02::"	"apostolic"	"or"	"the"	"from"	"the_apostolic"	"apostolic_or"	"or_from"	"of_the_apostolic"	"the_apostolic_or"	"apostolic_or_from"	"or_from_its"	"IN"	"DT"	"JJ"	"NN"	"CC"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"derive"	"utopian"	"communism"	"from"	"jerusalem"	"christian"	"community"	"of"	"the"	"apostolic"	"age"	"or"	"from"	"its"	"medieval"	"successor"	"in"	"spirit"	"the"	"monastic"	"community"	"be"	"with"	"an"	"appropriate"	"shift"	"of"	"adjective"	"misleading"	"in"	"the"	"same"	"way"	"as"	"to"	"derive"	"it"	"from"	"plato"	"republic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"skeletal"	"("	"the"	"hand"	"the_skeletal"	"skeletal_("	"(_hand"	",_the_skeletal"	"the_skeletal_("	"skeletal_(_hand"	"(_hand_)"	"ε"	"DT"	"JJ"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"lower"	"portion"	"each"	"chart"	"the"	"skeletal"	"age"	"hand"	"of"	"boy"	"and"	"girl"	"may"	"be"	"similarly"	"classify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"skeletal"	"("	"and"	"hand"	"and_skeletal"	"skeletal_("	"(_hand"	",_and_skeletal"	"and_skeletal_("	"skeletal_(_hand"	"(_hand_)"	"ε"	"CC"	"JJ"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"onset"	"completion"	"skeletal"	"age"	"hand"	"of"	"boy"	"and"	"girl"	"may"	"be"	"directly"	"compare"	"and"	"classify"	"use"	"only"	"those"	"skeletal"	"age"	"which"	"appear"	"immediately"	"below"	"the"	"onset"	"profile"	"and"	"the"	"completion"	"profile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"skeletal"	"which"	"those"	"appear"	"those_skeletal"	"skeletal_which"	"which_appear"	"only_those_skeletal"	"those_skeletal_which"	"skeletal_which_appear"	"which_appear_immediately"	"RB"	"DT"	"JJ"	"NN"	"WDT"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"onset"	"completion"	"and"	"skeletal"	"age"	"hand"	"of"	"boy"	"and"	"girl"	"may"	"be"	"directly"	"and"	"classify"	"use"	"only"	"those"	"skeletal"	"age"	"which"	"appear"	"immediately"	"below"	"the"	"onset"	"profile"	"and"	"the"	"completion"	"profile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
