"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"
"3:01:00::"	"with"	"machine_gun"	"armed"	","	"armed_with"	"with_machine_gun"	"machine_gun_,"	",_armed_with"	"armed_with_machine_gun"	"with_machine_gun_,"	"machine_gun_,_attack"	"ε"	"JJ"	"IN"	"JJ"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"enemy"	"had"	"filter"	"across"	"the"	"river"	"during"	"the"	"and"	"a"	"full"	"force"	"of"	"man"	"armed"	"with"	"russian"	"machine_gun"	"attack"	"the"	"hold"	"by"	"person"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"a"	"dominated"	"into"	"military"	"into_a"	"a_dominated"	"dominated_military"	"cuba_into_a"	"into_a_dominated"	"a_dominated_military"	"dominated_military_base"	"NN"	"IN"	"DT"	"JJ"	"JJ"	"JJ"	"NN"	"whatever"	"may"	"have"	"been"	"the"	"setback"	"result"	"from"	"the"	"unsuccessful"	"attempt"	"of"	"the"	"cuban"	"rebel"	"to"	"establish"	"a"	"beachhead"	"on"	"the"	"person"	"held"	"mainland"	"last"	"week"	"there"	"was"	"at_least"	"one"	"benefit"	"and"	"that"	"be"	"the"	"clear-cut"	"revelation"	"to"	"the"	"whole"	"world"	"of"	"the"	"complete"	"conversion"	"of"	"cuba"	"into"	"a"	"dominated"	"military"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"this"	"military"	"get"	"equipment"	"get_this"	"this_military"	"military_equipment"	"been_get_this"	"get_this_military"	"this_military_equipment"	"military_equipment_."	"VBN"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_fact"	"one"	"of"	"the"	"major"	"reason"	"for"	"the"	"failure"	"of"	"the"	"ill-starred"	"expedition"	"appear"	"to"	"have"	"a"	"lack"	"of"	"full"	"information"	"on"	"the"	"extent"	"to"	"which"	"cuba"	"has"	"been"	"get"	"this"	"russian"	"military"	"equipment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of_this"	"military"	"extent"	"penetration"	"extent_of_this"	"of_this_military"	"military_penetration"	"full_extent_of_this"	"extent_of_this_military"	"of_this_military_penetration"	"military_penetration_of"	"JJ"	"NN"	"RB"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"the"	"extent"	"of_this"	"russian"	"military"	"penetration"	"of"	"cuba"	"be"	"clear"	"person"	"announce"	"we"	"would"	"take"	"whatever"	"action"	"be"	"appropriate"	"to"	"prevent"	"this"	"even"	"if"	"we"	"have"	"to"	"go"	"it"	"alone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"which"	"aristocracy"	"to"	"migrate"	"to_which"	"which_aristocracy"	"aristocracy_migrate"	"paris_to_which"	"to_which_aristocracy"	"which_aristocracy_migrate"	"aristocracy_migrate_-"	"NN"	"RB"	"RB"	"NN"	"NN"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nevertheless"	"person"	"was"	"much"	"influence"	"by"	"paris"	"during"	"the"	"twenties"	"the"	"paris"	"which"	"be"	"artistic"	"center"	"of"	"the"	"western"	"world"	"the"	"social"	"paris"	"to"	"which"	"russian"	"aristocracy"	"migrate"	"the"	"chic"	"paris"	"which"	"attract"	"the"	"tourist"	"dollar"	"of"	"rich"	"america"	"the"	"avant-garde"	"paris"	"of"	"person"	"stravinsky"	"person"	"person"	"picasso"	"the"	"laissez-faire"	"paris"	"of"	"dadaism"	"and"	"ultramodern"	"art"	"the"	"paris"	"sympathique"	"which"	"take"	"young"	"composer"	"to"	"her"	"bosom"	"with"	"such"	"quick"	"and"	"easy"	"enthusiasm"	
"3:01:00::"	"the"	"gymnast"	"∅"	"beat_the_tar_out_of"	"∅_the"	"the_gymnast"	"gymnast_beat_the_tar_out_of"	"∅_∅_the"	"∅_the_gymnast"	"the_gymnast_beat_the_tar_out_of"	"gymnast_beat_the_tar_out_of_the"	"ε"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"russian"	"gymnast"	"beat_the_tar_out_of"	"the"	"american"	"gymnast"	"in"	"the"	"olympics"	"for"	"one"	"reason"	"they"	"be"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"use"	"but"	"gymnastics"	"but_the"	"the_use"	"use_gymnastics"	"∅_but_the"	"but_the_use"	"the_use_gymnastics"	"use_gymnastics_as"	"ε"	"CC"	"DT"	"NN"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"russian"	"use"	"gymnastics"	"as"	"the"	"first_step"	"in"	"train"	"for"	"all"	"sport"	"because"	"it"	"provide"	"training"	"in"	"every"	"basic"	"quality"	"except"	"one"	"endurance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"brilliant"	"spectacle"	"the"	","	"the_brilliant"	"brilliant_spectacle"	"spectacle_,"	"be_the_brilliant"	"the_brilliant_spectacle"	"brilliant_spectacle_,"	"spectacle_,_do"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"truly"	"odd"	"and"	"ironic"	"that"	"the"	"most"	"handsome"	"and"	"film"	"yet"	"make"	"from"	"person"	"don_quixote"	"be"	"the"	"brilliant"	"russian"	"spectacle"	"do"	"in"	"wide-screen"	"and"	"color"	"which"	"open"	"yesterday"	"at"	"the"	"location"	"and"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"actor"	","	"who"	",_the"	"the_actor"	"actor_who"	"person_,_the"	",_the_actor"	"the_actor_who"	"actor_who_has"	"NNP"	"ε"	"DT"	"JJ"	"NN"	"WP"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"russian"	"actor"	"who"	"has"	"play"	"such_as"	"heroic"	"role"	"as"	"person"	"and"	"person"	"perform"	"the"	"lanky"	"don_quixote"	"and"	"does"	"so"	"with"	"a"	"simple"	"dignity"	"that"	"bridge"	"the"	"inner"	"nobility"	"and"	"the"	"surface"	"absurdity"	"of"	"this"	"poignant"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"dialogue"	"in_place_of"	"."	"in_place_of_the"	"the_dialogue"	"dialogue_."	"dub_in_place_of_the"	"in_place_of_the_dialogue"	"the_dialogue_."	"dialogue_._∅"	"VB"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"complexity"	"of"	"communication"	"have"	"been"	"considerably"	"abet"	"in"	"this"	"by"	"appropriately"	"stilted"	"english_language"	"that"	"has"	"been"	"excellently"	"dub"	"in_place_of"	"the"	"russian"	"dialogue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
