"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"1:14:00::"	"modern"	","	"the"	"esprit_de_corps"	"the_modern"	"modern_,"	",_esprit_de_corps"	"in_the_modern"	"the_modern_,"	"modern_,_esprit_de_corps"	",_esprit_de_corps_has"	"IN"	"DT"	"JJ"	"NN"	"ε"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"today"	"a"	"battle_cry"	"may"	"seem"	"anachronism"	"for"	"in"	"the"	"modern"	"army"	"esprit_de_corps"	"has"	"been"	"sacrifice"	"to"	"organizational"	"chart"	"and"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"his"	"make"	"career"	"make_the"	"the_his"	"his_career"	"going_to_make_the"	"make_the_his"	"the_his_career"	"his_career_,"	"VB"	"VB"	"DT"	"NN"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"person"	"had"	"been"	"commission"	"in"	"the"	"group"	"and"	"was"	"serve"	"as"	"a"	"personnel"	"officer"	"for"	"the"	"group"	"when"	"he"	"decide"	"that"	"he"	"was"	"make"	"the"	"army"	"his"	"career"	"he"	"want"	"to"	"be"	"in"	"the"	"fighting"	"part"	"of"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"u.s."	"."	"the"	"∅"	"the_u.s."	"u.s._."	"._∅"	"of_the_u.s."	"the_u.s._."	"u.s._._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"finish"	"the"	"war"	"as"	"a"	"major-general"	"command"	"a"	"full"	"division"	"and"	"at"	"be"	"the"	"young"	"major-general"	"in"	"the"	"of"	"the"	"u.s."	"army"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"national_guard"	"in"	"and"	"in_the"	"the_national_guard"	"national_guard_and"	"reduction_in_the"	"in_the_national_guard"	"the_national_guard_and"	"national_guard_and_group"	"NN"	"IN"	"DT"	"NN"	"NN"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"again"	"propose"	"reduction"	"in"	"the"	"army"	"national_guard"	"and"	"group"	"from"	"their"	"present"	"strength"	"of"	"and"	"respectively"	"to"	"and"	"by"	"the"	"end"	"of"	"the"	"fiscal_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	","	"by"	"air_force"	"by_the"	"the_,"	",_air_force"	"operate_by_the"	"by_the_,"	"the_,_air_force"	",_air_force_,"	"VB"	"IN"	"DT"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"basic"	"long"	"line"	"communication"	"in"	"alaska"	"are"	"provide"	"through"	"federal"	"facility"	"operate"	"by"	"the"	"army"	"air_force"	"and"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"civil_war"	"be"	"the"	"an"	"the_civil_war"	"civil_war_be"	"be_an"	"of_the_civil_war"	"the_civil_war_be"	"civil_war_be_an"	"be_an_earthy"	"IN"	"DT"	"NN"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"soldier"	"who"	"comprise"	"rank_and_file"	"of"	"the"	"civil_war"	"army"	"be"	"an"	"earthy"	"people"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"."	"flee"	"∅"	"flee_the"	"the_."	"._∅"	"had_flee_the"	"flee_the_."	"the_._∅"	"._∅_∅"	"VBD"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"his"	"errand"	"but"	"without"	"bother"	"much"	"to"	"make"	"it"	"plausible"	"for"	"he"	"feel"	"something"	"well_up"	"in"	"him"	"which"	"be"	"the"	"reason"	"why"	"he"	"had"	"flee"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"an"	"blanket"	"in"	","	"in_an"	"an_blanket"	"blanket_,"	"swathe_in_an"	"in_an_blanket"	"an_blanket_,"	"blanket_,_much"	"VB"	"IN"	"DT"	"NN"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"form"	"swathe"	"in"	"an"	"army"	"blanket"	"much"	"patch"	"fasten"	"at"	"the"	"neck"	"with"	"a"	"cord"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"of"	"of"	"duffer"	"of_the"	"the_of"	"of_duffer"	"standpoint_of_the"	"of_the_of"	"the_of_duffer"	"of_duffer_,"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"of"	"the"	"army"	"of"	"duffer"	"however"	"this"	"be"	"easily"	"the"	"most"	"heartening"	"exhibition"	"they"	"had"	"have"	"since"	"person"	"fall"	"upon"	"evil"	"way"	"during"	"his"	"heyday"	"and"	"score"	"an"	"in"	"the"	"texas_open"	
"1:14:00::"	"an"	"motor_pool"	"of"	":"	"of_an"	"an_motor_pool"	"motor_pool_:"	"sergeant_of_an"	"of_an_motor_pool"	"an_motor_pool_:"	"motor_pool_:_``"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"not"	"unlike"	"the"	"receive"	"by"	"the"	"sergeant"	"of"	"an"	"army"	"motor_pool"	"four"	"truck"	"to"	"location"	"gym"	"tonight"	"for"	"haul"	"girl"	"to"	"dance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
