"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"2:37:02::"	"i"	"what"	"do"	"you"	"do_i"	"i_what"	"what_you"	"hell_do_i"	"do_i_what"	"i_what_you"	"what_you_do"	"NN"	"VBP"	"PRP"	"VB"	"WP"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"the"	"do"	"i"	"care"	"what"	"you"	"do"	"with"	"her"	"all"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	"who"	","	"but"	"when"	"but_who"	"who_,"	",_when"	"∅_but_who"	"but_who_,"	"who_,_when"	",_when_the"	"ε"	"CC"	"WP"	"VB"	"ε"	"WRB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"who"	"care"	"when"	"the"	"lady"	"sing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	"n't"	"whether"	"did"	"they"	"did_n't"	"n't_whether"	"whether_they"	"listeners_did_n't"	"did_n't_whether"	"n't_whether_they"	"whether_they_get"	"NNS"	"VBD"	"RB"	"VB"	"IN"	"PRP"	"VB"	"of"	"rain"	"just"	"before"	"midnight"	"when"	"sarah_vaughan"	"be"	"in_the_midst"	"of"	"her"	"first"	"number"	"scatter"	"the"	"more"	"timid"	"members"	"of"	"the"	"audience"	"briefly"	"but"	"at"	"this"	"hour"	"and"	"with"	"sarah"	"on"	"the"	"stand"	"most_of"	"listeners"	"did"	"n't"	"whether"	"they"	"get"	"wet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	"really"	"about"	"not"	"democracy"	"not_really"	"really_about"	"about_democracy"	"do_not_really"	"not_really_about"	"really_about_democracy"	"about_democracy_or"	"VBP"	"RB"	"RB"	"VB"	"VB"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"field_marshal"	"montgomery"	"belief"	"that"	"in"	"most"	"western"	"about"	"per_cent"	"of"	"the"	"people"	"do"	"not"	"really"	"care"	"about"	"democracy"	"or"	"christianity"	"about"	"per_cent"	"call"	"themselves"	"christians"	"in_order_to"	"keep_up"	"appearances"	"and"	"be"	"consider"	"respectable"	"and"	"only"	"the"	"last"	"per_cent"	"be"	"genuine"	"christians"	"and"	"believers"	"in"	"democracy"	
"2:37:02::"	"do"	"about"	"countries"	"themselves"	"countries_do"	"do_about"	"about_themselves"	"western_countries_do"	"countries_do_about"	"do_about_themselves"	"about_themselves_."	"JJ"	"NNS"	"VBP"	"VB"	"VB"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"these"	"countries"	"do"	"care"	"about"	"themselves"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:02::"	"really"	"about"	"n't"	"the"	"n't_really"	"really_about"	"about_the"	"do_n't_really"	"n't_really_about"	"really_about_the"	"about_the_family"	"VB"	"RB"	"RB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hurt"	"by"	"his"	"lack"	"of"	"interest"	"and"	"attention"	"mary"	"complain"	"often"	"that"	"he"	"n't"	"help"	"around"	"the"	"house"	"and"	"that"	"he"	"do"	"n't"	"really"	"care"	"about"	"the"	"family"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:11::"	"and"	"for"	"menus"	"the"	"menus_and"	"and_for"	"for_the"	"the_menus_and"	"menus_and_for"	"and_for_the"	"for_the_ordering"	"DT"	"NNS"	"CC"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._clark"	"as"	"house"	"manager"	"the"	"menus"	"and"	"care"	"for"	"the"	"ordering"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"would"	"to"	"politicos"	"acknowledge"	"politicos_would"	"would_to"	"to_acknowledge"	"most_politicos_would"	"politicos_would_to"	"would_to_acknowledge"	"to_acknowledge_publicly"	"RBS"	"NNS"	"MD"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"not"	"the"	"thing"	"most"	"politicos"	"would"	"care"	"to"	"acknowledge"	"publicly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"partial"	"of"	"take_over"	"plant"	"take_over_partial"	"partial_of"	"of_plant"	"club_take_over_partial"	"take_over_partial_of"	"partial_of_plant"	"of_plant_grounds"	"NN"	"VB"	"JJ"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"could"	"an"	"employee"	"club"	"take_over"	"partial"	"care"	"of"	"plant"	"grounds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:12:01::"	"worldly"	"."	"above"	"∅"	"above_worldly"	"worldly_."	"._∅"	"far_above_worldly"	"above_worldly_."	"worldly_._∅"	"._∅_∅"	"RB"	"RB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"its"	"most"	"ecstatic"	"moment"	"husband"	"wife"	"are"	"elevate"	"far"	"above"	"worldly"	"care"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
