"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"
"1:07:00::"	"competitive"	","	"by"	"some"	"by_competitive"	"competitive_,"	",_some"	"up_by_competitive"	"by_competitive_,"	"competitive_,_some"	",_some_by"	"JJ"	"IN"	"JJ"	"NN"	"ε"	"DT"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"distribution"	"cost"	"keep"	"up"	"by"	"competitive"	"pressure"	"some"	"by"	"the"	"fact"	"that"	"the"	"customer"	"have"	"come"	"to"	"expect"	"certain"	"nicety"	"and"	"flourish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"the"	"of"	"and"	"the"	"and_the"	"the_of"	"of_the"	",_and_the"	"and_the_of"	"the_of_the"	"of_the_two"	"ε"	"CC"	"DT"	"NN"	"IN"	"JJ"	"JJ"	"lower"	"center"	"rack"	"an"	"channel"	"recorder"	"indicate"	"the"	"percentage"	"of"	"carbon_dioxide"	"and"	"nitrogen"	"from"	"the"	"upper"	"and"	"lower"	"lobe"	"of"	"one"	"lung"	"the"	"total"	"volume"	"of"	"inhalation"	"per"	"breath"	"the"	"flow"	"of"	"air"	"from"	"both"	"lobe"	"and"	"the"	"pressure"	"the"	"two"	"lobe"	"with_respect_to"	"each_other"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"internal"	"data"	"radio"	"to"	"radio_internal"	"internal_data"	"data_to"	"then_radio_internal"	"radio_internal_data"	"internal_data_to"	"data_to_external"	"RB"	"VB"	"JJ"	"NN"	"NN"	"TO"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"year"	"ago"	"headline"	"were"	"make"	"by"	"a"	"small"	"radio_transmitter"	"capsule"	"could"	"be"	"swallow"	"by"	"the"	"patient"	"and"	"which"	"would"	"then"	"radio"	"internal"	"pressure"	"data"	"to"	"external"	"receiver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	"remember"	"her"	"remember_the"	"the_of"	"of_her"	"he_remember_the"	"remember_the_of"	"the_of_her"	"of_her_hand"	"PRP"	"VB"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"be"	"alive"	"he"	"remember"	"the"	"pressure"	"of"	"her"	"hand"	"rest_on"	"lightly"	"on"	"his"	"arm"	"she"	"had"	"be"	"the"	"center"	"of"	"his"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"precise"	"volume"	"∅"	"temperature"	"∅_precise"	"precise_volume"	"volume_temperature"	"∅_∅_precise"	"∅_precise_volume"	"precise_volume_temperature"	"volume_temperature_measurement"	"ε"	"ε"	"JJ"	"NN"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pressure"	"volume"	"temperature"	"measurement"	"on"	"corrosive"	"gas"	"be"	"dependent_on"	"a"	"sensitive"	"yet"	"rugged"	"pressure"	"transducer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"rugged"	"transducer"	"yet"	"."	"yet_rugged"	"rugged_transducer"	"transducer_."	"sensitive_yet_rugged"	"yet_rugged_transducer"	"rugged_transducer_."	"transducer_._∅"	"JJ"	"RB"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"precise"	"pressure"	"volume"	"temperature"	"measurement"	"on"	"gas"	"be"	"dependent_on"	"a"	"sensitive"	"yet"	"rugged"	"pressure"	"transducer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"where"	"may"	"university"	"be"	"university_where"	"where_may"	"may_be"	"state-supported_university_where"	"university_where_may"	"where_may_be"	"may_be_strong"	"JJ"	"NN"	"WRB"	"NN"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"account"	"have"	"been"	"publish"	"of"	"northern"	"liberal"	"in"	"the"	"up_against"	"segregationist"	"prejudice"	"especially"	"in"	"state-supported"	"university"	"where"	"pressure"	"may"	"be"	"strong"	"to"	"uphold"	"the"	"majority"	"view"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"a"	"regulator"	"by"	"and"	"by_a"	"a_regulator"	"regulator_and"	"regulate_by_a"	"by_a_regulator"	"a_regulator_and"	"regulator_and_measure"	"VB"	"IN"	"DT"	"NN"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"argon"	"flow"	"from"	"bottle"	"was"	"regulate"	"by"	"a"	"pressure"	"regulator"	"and"	"measure"	"with"	"a"	"gas"	"flow"	"rator"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"normal"	"."	"high"	"∅"	"high_normal"	"normal_."	"._∅"	"a_high_normal"	"high_normal_."	"normal_._∅"	"._∅_∅"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"figure"	"show"	"the"	"data"	"on"	"a"	"silicone"	"fluid"	"cps"	"which"	"give"	"a"	"high"	"normal"	"pressure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"negative"	"be"	"small"	"polybutene"	"small_negative"	"negative_be"	"be_polybutene"	"the_small_negative"	"small_negative_be"	"negative_be_polybutene"	"be_polybutene_with"	"DT"	"JJ"	"JJ"	"NN"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"two"	"fluid"	"give"	"the"	"small"	"negative"	"pressure"	"be"	"polybutene"	"with"	"molecular_weight"	"which"	"were"	"state"	"to"	"be"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
