"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"4:02:00::"	"how"	"you"	"∅"	"may"	"∅_how"	"how_you"	"you_may"	"∅_∅_how"	"∅_how_you"	"how_you_may"	"you_may_go"	"ε"	"ε"	"WRB"	"RB"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soon"	"you"	"may"	"go"	"outdoors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"but"	"find"	","	"that"	",_but"	"but_find"	"find_that"	"artist_,_but"	",_but_find"	"but_find_that"	"find_that_whatever"	"NN"	"ε"	"CC"	"RB"	"VB"	"IN"	"WDT"	"0"	"decide"	"to"	"become"	"a"	"painter"	"he"	"enter"	"the"	"studio"	"of"	"person"	"in"	"paris"	"where"	"he"	"enjoy"	"the"	"life"	"of"	"artist"	"but"	"find"	"that"	"whatever"	"talent"	"he"	"might"	"have"	"did"	"not"	"lie_in"	"that"	"direction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"very"	"now"	"so"	","	"so_very"	"very_now"	"now_,"	"person_so_very"	"so_very_now"	"very_now_,"	"now_,_ring_up"	"NNP"	"RB"	"RB"	"RB"	"RB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"who"	"would"	"person"	"so"	"very"	"soon"	"now"	"ring_up"	"her"	"first"	"sale"	"of"	"the"	"day"	"and"	"count"	"back"	"the"	"change"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"very"	"∅_∅"	"∅_,"	",_very"	"∅_∅_∅"	"∅_∅_,"	"∅_,_very"	",_very_soon"	"ε"	"ε"	"ε"	"RB"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"very"	"soon"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"very"	"now"	","	"&"	",_very"	"very_now"	"now_&"	"soon_,_very"	",_very_now"	"very_now_&"	"now_&_&"	"RB"	"ε"	"RB"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soon"	"soon"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"come_back"	"''"	"be"	"?"	"be_come_back"	"come_back_''"	"''_?"	"you_be_come_back"	"be_come_back_''"	"come_back_''_?"	"''_?_∅"	"PRP"	"VBP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"will"	"you"	"come_back"	"soon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"back"	"person"	"at_work"	"person_be"	"be_back"	"back_at_work"	"∅_person_be"	"person_be_back"	"be_back_at_work"	"back_at_work_,"	"ε"	"NNP"	"VB"	"RB"	"RB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"soon"	"back"	"at_work"	"give"	"his"	"secret"	"employer"	"their"	"money"	"worth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"too"	"i"	"second"	"think_of"	"second_too"	"too_i"	"i_think_of"	"a_second_too"	"second_too_i"	"too_i_think_of"	"i_think_of_the"	"DT"	"NN"	"RB"	"RB"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"suddenly"	"and"	"a"	"second"	"too"	"soon"	"i"	"think_of"	"the"	"coin"	"in"	"my"	"pocket"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"the"	"begin"	","	"the"	",_the"	"the_begin"	"begin_the"	"acrobatics_,_the"	",_the_begin"	"the_begin_the"	"begin_the_better"	"NN"	"ε"	"DT"	"RB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"backbend"	"be"	"of"	"extreme"	"importance"	"to"	"any"	"form"	"of"	"free"	"gymnastics"	"and"	"as"	"with"	"all"	"the"	"soon"	"begin"	"the"	"better"	"the"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"was"	"circulate"	"that"	"in"	"that_was"	"was_circulate"	"circulate_in"	"and_that_was"	"that_was_circulate"	"was_circulate_in"	"circulate_in_manuscript"	"CC"	"WDT"	"VBD"	"RB"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"be"	"the"	"impromptu"	"that"	"voltaire"	"give"	"howl"	"of"	"laughter"	"at"	"location"	"and"	"that"	"was"	"soon"	"circulate"	"in"	"manuscript"	"throughout"	"the"	"literary"	"circle"	"of"	"europe"	"to"	"be"	"print"	"sometime"	"later"	"but"	"with"	"the"	"name"	"of"	"person"	"the"	"famous"	"misanthrope"	"substitute"	"for"	"that"	"of"	"rousseau"	
