"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"1:10:02::"	"main"	"can"	"the"	"proceed"	"the_main"	"main_can"	"can_proceed"	"before_the_main"	"the_main_can"	"main_can_proceed"	"can_proceed_."	"IN"	"DT"	"JJ"	"NN"	"MD"	"VB"	"ε"	"these"	"conception"	"of"	"mimesis"	"are"	"certain"	"presupposition"	"concern"	"the"	"nature"	"of"	"primary"	"human"	"experience"	"which"	"require"	"some"	"exposition"	"before"	"main"	"argument"	"can"	"proceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"was"	"∅"	"typically"	"∅_the"	"the_was"	"was_typically"	"∅_∅_the"	"∅_the_was"	"the_was_typically"	"was_typically_advance"	"ε"	"ε"	"DT"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"argument"	"was"	"typically"	"advance"	"in_terms_of"	"u.s."	"prestige"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"without"	"that"	"job"	"he"	"job_without"	"without_that"	"that_he"	"the_job_without"	"job_without_that"	"without_that_he"	"that_he_live"	"JJ"	"NN"	"IN"	"NN"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"often"	"though"	"he"	"be"	"so"	"accustomed"	"to"	"submit"	"authority"	"on"	"the"	"job"	"without"	"argument"	"that"	"he"	"live"	"by"	"the"	"same"	"rule"	"at"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"by"	"and"	"merely"	"debate"	"merely_by"	"by_and"	"and_debate"	"not_merely_by"	"merely_by_and"	"by_and_debate"	"and_debate_."	"RB"	"RB"	"IN"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"idea"	"need"	"to"	"be"	"and"	"not"	"merely"	"by"	"argument"	"and"	"debate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"and"	"."	"debate"	"∅"	"debate_and"	"and_."	"._∅"	"much_debate_and"	"debate_and_."	"and_._∅"	"._∅_∅"	"JJ"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"presidential"	"campaign"	"much"	"debate"	"and"	"argument"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"wordy"	"."	","	"∅"	",_wordy"	"wordy_."	"._∅"	"general_,_wordy"	",_wordy_."	"wordy_._∅"	"._∅_∅"	"JJ"	"ε"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"had"	"finish"	"the"	"town_meeting"	"break_down"	"a"	"general"	"wordy"	"argument"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"an"	"for"	"constitute"	"raise"	"constitute_an"	"an_for"	"for_raise"	"they_constitute_an"	"constitute_an_for"	"an_for_raise"	"for_raise_price"	"PRP"	"VB"	"DT"	"NN"	"IN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"change"	"in"	"the"	"basic"	"wage"	"rate"	"cost"	"raising"	"and"	"they"	"constitute"	"an"	"argument"	"for"	"raise"	"price"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"'s"	"is"	"person"	"disclose"	"person_'s"	"'s_is"	"is_disclose"	"of_person_'s"	"person_'s_is"	"'s_is_disclose"	"is_disclose_."	"IN"	"NNP"	"POS"	"NN"	"VBZ"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_fact"	"it"	"be"	"in"	"just"	"such"	"a"	"that"	"the"	"profundity"	"of"	"person"	"argument"	"is"	"disclose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"the"	"of"	"to"	"this"	"to_the"	"the_of"	"of_this"	"essential_to_the"	"to_the_of"	"the_of_this"	"of_this_concluding"	"JJ"	"TO"	"DT"	"NN"	"RB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"must"	"be"	"stress"	"because"	"be"	"absolutely"	"essential"	"to"	"the"	"argument"	"of"	"this"	"concluding"	"chapter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"this"	"at"	"develop"	"greater"	"develop_this"	"this_at"	"at_greater"	"may_develop_this"	"develop_this_at"	"this_at_greater"	"at_greater_length"	"MD"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_order"	"to"	"make"	"the"	"implication"	"of"	"our"	"clear"	"as"	"possible"	"may"	"develop"	"this"	"argument"	"at"	"greater"	"length"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
