"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"
"2:39:01::"	"even"	"alike"	"two"	"."	"two_even"	"even_alike"	"alike_."	"the_two_even"	"two_even_alike"	"even_alike_."	"alike_._∅"	"DT"	"CD"	"RB"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"an"	"extent"	"two"	"even"	"look"	"alike"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	","	"past"	"say"	"him"	"say_,"	",_past"	"past_him"	"she_say_,"	"say_,_past"	",_past_him"	"past_him_into"	"PRP"	"VB"	"ε"	"VB"	"JJ"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"see"	"she"	"look"	"past"	"him"	"into"	"the"	"room"	"where"	"the"	"highball"	"glasses"	"sparkle"	"dully"	"in"	"the"	"bright"	"light"	"you"	"and"	"i"	"can"	"n't"	"understand"	"the"	"many"	"hardships"	"they"	"have"	"to"	"undergo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"they"	"frightened"	"but"	"of"	"but_they"	"they_frightened"	"frightened_of"	",_but_they"	"but_they_frightened"	"they_frightened_of"	"frightened_of_him"	"ε"	"CC"	"PRP"	"VB"	"JJ"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"wonder"	"if"	"he"	"might"	"a"	"tourist"	"but"	"they"	"look"	"frightened"	"of"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"then"	"at"	","	"a"	",_then"	"then_at"	"at_a"	"parking_ticket_,_then"	",_then_at"	"then_at_a"	"at_a_notation"	"NN"	"ε"	"RB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"consult"	"parking_ticket"	"then"	"look"	"at"	"a"	"notation"	"and"	"say"	"you"	"be"	"in"	"the"	"third"	"row"	"back"	"toward_the_rear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"stand"	"at"	"and"	"them"	"and_stand"	"stand_at"	"at_them"	"stalls_and_stand"	"and_stand_at"	"stand_at_them"	"at_them_thoughtfully"	"NNS"	"CC"	"VB"	"VB"	"VB"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"put_in"	"new"	"batteries"	"so_as_to"	"be"	"certain"	"i"	"have"	"plenty"	"of"	"power"	"on"	"my"	"way_out"	"walk"	"over"	"to"	"the"	"regular"	"parking"	"stalls"	"and"	"stand"	"look"	"at"	"them"	"thoughtfully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"she"	"at"	"∅"	"me"	"∅_she"	"she_at"	"at_me"	"∅_∅_she"	"∅_she_at"	"she_at_me"	"at_me_provocatively"	"ε"	"ε"	"PRP"	"VB"	"VB"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look"	"at"	"me"	"provocatively"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"shayne"	"at"	"∅"	"his"	"∅_shayne"	"shayne_at"	"at_his"	"∅_∅_shayne"	"∅_shayne_at"	"shayne_at_his"	"at_his_watch"	"ε"	"ε"	"NNP"	"VB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look"	"at"	"his"	"watch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"toward"	","	"the"	",_to"	"to_toward"	"toward_the"	"then_,_to"	",_to_toward"	"to_toward_the"	"toward_the_lighted"	"RB"	"ε"	"TO"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"turn"	"to"	"look"	"toward"	"the"	"lighted"	"boulevard"	"and"	"see"	"rourke"	"tall"	"emaciated"	"figure"	"come_out"	"of"	"the"	"lounge"	"and"	"hurriedly"	"start"	"to"	"angle"	"across"	"the"	"street"	"toward"	"the"	"opposite"	"side"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"she"	"when"	"how"	"barney"	"how_she"	"she_when"	"when_barney"	"remember_how_she"	"how_she_when"	"she_when_barney"	"when_barney_hold"	"VB"	"WRB"	"PRP"	"VB"	"WRB"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"remember"	"she"	"look"	"when"	"barney"	"hold"	"the"	"door"	"for"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"in"	"∅"	"her"	"∅_he"	"he_in"	"in_her"	"∅_∅_he"	"∅_he_in"	"he_in_her"	"in_her_direction"	"ε"	"ε"	"PRP"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look"	"in"	"her"	"direction"	"but"	"he"	"did"	"n't"	"answer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"colmer"	"younger"	","	"than"	",_colmer"	"colmer_younger"	"younger_than"	"gait_,_colmer"	",_colmer_younger"	"colmer_younger_than"	"younger_than_his"	"NN"	"ε"	"NNP"	"VB"	"JJR"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"dour"	"gangling"	"man"	"with"	"choppy"	"gait"	"colmer"	"look"	"younger"	"than"	"his"	"years"	"has"	"gradually"	"swing"	"from"	"a"	"moderate"	"internationalist"	"to_that"	"of"	"a"	"diehard"	"conservative"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"room"	"as"	"the"	"neat"	"the_room"	"room_as"	"as_neat"	"leave_the_room"	"the_room_as"	"room_as_neat"	"as_neat_as"	"VB"	"DT"	"NN"	"VB"	"RB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"morning"	"leave"	"the"	"room"	"look"	"as"	"neat"	"as"	"a"	"pin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
