"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"
"2:38:00::"	"and"	"it"	","	"to"	",_and"	"and_it"	"it_to"	"it_,_and"	",_and_it"	"and_it_to"	"it_to_outlying"	"PRP"	"ε"	"CC"	"VB"	"PRP"	"TO"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"is"	"a"	"trend"	"to"	"package"	"meat"	"a"	"central"	"source"	"freeze"	"it"	"and"	"ship"	"it"	"to"	"outlying"	"stores"	"where"	"meat"	"cutters"	"will"	"not"	"be"	"required"	"0"	"0"	
"1:06:00::"	"eight"	"and"	"take"	"go"	"take_eight"	"eight_and"	"and_go"	"person_take_eight"	"take_eight_and"	"eight_and_go"	"and_go_south"	"NNP"	"VB"	"JJ"	"NN"	"CC"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"eight"	"ship"	"and"	"go"	"south"	"across"	"the"	"location"	"and"	"along"	"the"	"north"	"coast"	"of"	"location"	"to"	"location"	"0"	"0"	"0"	
"1:06:00::"	"the"	"off"	"circle"	"location"	"circle_the"	"the_off"	"off_location"	"he_circle_the"	"circle_the_off"	"the_off_location"	"off_location_he"	"PRP"	"VB"	"DT"	"NN"	"IN"	"NNP"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"mission"	"be"	"the"	"last"	"to"	"and"	"as"	"he"	"circle"	"the"	"ship"	"off"	"location"	"he"	"see"	"the"	"cloud"	"were"	"drop_down"	"again"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"1000"	"and"	"than"	"boat"	"than_1000"	"1000_and"	"and_boat"	"more_than_1000"	"than_1000_and"	"1000_and_boat"	"and_boat_in"	"JJ"	"RB"	"JJ"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"in"	"an"	"earthquake"	"in"	"japan"	"generate"	"wave"	"so"	"huge"	"that"	"they"	"pile"	"into"	"the"	"location"	"one"	"wave"	"more"	"than"	"ship"	"and"	"boat"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"called"	"with"	"the"	"with_a"	"a_called"	"called_the"	"out_with_a"	"with_a_called"	"a_called_the"	"called_the_half_moon"	"IN"	"IN"	"DT"	"NN"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"group"	"hire"	"person"	"give"	"him"	"two"	"learned"	"fit_out"	"him"	"out"	"with"	"a"	"ship"	"called"	"the"	"half_moon"	"and"	"supply"	"him"	"with"	"dutch"	"sailor"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"back"	"turn"	"."	"turn_the"	"the_back"	"back_."	"men_turn_the"	"turn_the_back"	"the_back_."	"back_._∅"	"NN"	"VB"	"DT"	"NN"	"RB"	"ε"	"ε"	"in"	"the"	"same"	"little"	"discovery"	"that"	"person"	"now"	"command"	"had"	"sail"	"mile"	"up"	"the"	"strait"	"before"	"frightened"	"men"	"turn"	"the"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"wooden"	"could"	"where"	"be"	"where_wooden"	"wooden_could"	"could_be"	"water_where_wooden"	"where_wooden_could"	"wooden_could_be"	"could_be_crush"	"NN"	"WRB"	"JJ"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"man"	"willing"	"to"	"at_all"	"into"	"water"	"where"	"wooden"	"ship"	"could"	"be"	"crush"	"like"	"eggs"	"be"	"hard"	"to"	"find"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"company"	"."	"on"	"∅"	"on_company"	"company_."	"._∅"	"train_on_company"	"on_company_."	"company_._∅"	"._∅_∅"	"VB"	"IN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"believe"	"that"	"person"	"be"	"related"	"to"	"man"	"of"	"the"	"group"	"and"	"was"	"train"	"on"	"company"	"ship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"skirt"	","	"up"	",_the"	"the_skirt"	"skirt_up"	"week_,_the"	",_the_skirt"	"the_skirt_up"	"skirt_up_the"	"NN"	"ε"	"DT"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"first"	"week"	"the"	"ship"	"skirt"	"up"	"the"	"east"	"coast"	"of"	"great_britain"	"then"	"turn"	"westward"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"anchor"	"that"	"of"	"lie"	"of_anchor"	"anchor_that"	"that_lie"	"ring_of_anchor"	"of_anchor_that"	"anchor_that_lie"	"that_lie_off"	"NN"	"IN"	"VB"	"NN"	"IN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"morning"	"hawk"	"hungry"	"for"	"any"	"eatable"	"killable"	"digestible"	"item"	"keep"	"his"	"eye"	"on"	"ring"	"of"	"anchor"	"ship"	"that"	"lie"	"off"	"the"	"shore"	"in"	"the"	"bay"	"sheltered"	"by"	"the"	"new_jersey"	"inlet"	"0"	"0"	"0"	
