"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"
"2:31:00::"	"evidence"	"weinstein"	"no"	"to"	"no_evidence"	"evidence_weinstein"	"weinstein_to"	"be_no_evidence"	"no_evidence_weinstein"	"evidence_weinstein_to"	"weinstein_to_the"	"VB"	"DT"	"NN"	"VB"	"NNP"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attorney_dwight_l._schwab"	"in"	"behalf"	"of"	"defendant"	"philip_weinstein"	"there"	"be"	"no"	"evidence"	"link"	"weinstein"	"to"	"the"	"conspiracy"	"but"	"judge_powell"	"declare"	"this"	"be"	"a"	"matter"	"for"	"the"	"jury"	"to"	"decide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"are"	"together"	"objects"	"through"	"objects_are"	"are_together"	"together_through"	"incongruous_objects_are"	"objects_are_together"	"are_together_through"	"together_through_the"	"JJ"	"NNS"	"VBP"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"earlier"	"but"	"still"	"influential"	"school"	"of"	"painting"	"surrealism"	"had"	"suggest"	"the"	"way"	"of"	"with"	"the"	"dream"	"experience"	"that"	"event"	"in_which"	"seemingly"	"incongruous"	"objects"	"are"	"link"	"together"	"through"	"the"	"curious"	"associations"	"of"	"the"	"subconscious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"of"	"the"	"mission"	"united_states_of_america"	"mission_of"	"of_the"	"the_united_states_of_america"	"historic_mission_of"	"mission_of_the"	"of_the_united_states_of_america"	"the_united_states_of_america_with"	"JJ"	"NN"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"through"	"trade"	"and"	"travel"	"across"	"the"	"seas"	"american"	"merchant_marine"	"is"	"carry_out"	"its"	"historic"	"mission"	"of"	"link"	"the"	"united_states_of_america"	"with"	"friendly"	"nations"	"across"	"the"	"seas"	"and"	"now"	"therefore"	"do"	"i"	"john_a._notte"	"jr."	"governor"	"of"	"the"	"state"	"of"	"rhode_island"	"and"	"providence"	"plantations"	"proclaim"	"monday"	"may"	"nd"	"as"	"national_maritime_day"	"remind"	"our"	"citizens"	"that"	"american"	"merchant_ships"	"and"	"american"	"seamen"	"be"	"ready"	"at_all_times"	"to"	"serve"	"our"	"nation"	"in"	"the"	"cause"	"of"	"freedom"	"and"	"justice"	
"2:35:00::"	","	"all"	"television"	"vital"	"television_,"	",_all"	"all_vital"	",_television_,"	"television_,_all"	",_all_vital"	"all_vital_points"	"ε"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"telephones"	"teletypes"	"several"	"kinds"	"of"	"radio"	"systems"	"and"	"some"	"cases"	"television"	"link"	"all"	"vital"	"points"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"exact"	"between"	"the"	"the"	"the_exact"	"exact_between"	"between_the"	"expose_the_exact"	"the_exact_between"	"exact_between_the"	"between_the_respectable"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"more"	"could"	"be"	"ask"	"for"	"a"	"trial"	"intend"	"to"	"the"	"world"	"against"	"anti-semitism"	"than"	"this"	"opportunity"	"to"	"expose"	"the"	"exact"	"link"	"between"	"the"	"respectable"	"anti-semite"	"and"	"the"	"concentration_camp"	"brute"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"every"	"in"	"practically"	"the"	"practically_every"	"every_in"	"in_the"	"-_practically_every"	"practically_every_in"	"every_in_the"	"in_the_marketing"	"ε"	"RB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"change"	"may"	"require"	"different"	"product"	"pricing"	"packaging"	"warehousing"	"salesmanship"	"and"	"executive"	"attention"	"practically"	"every"	"link"	"in"	"the"	"marketing"	"network"	"may"	"have"	"to"	"be"	"adjust"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"of"	"in"	"number"	"your"	"number_of"	"of_in"	"in_your"	"a_number_of"	"number_of_in"	"of_in_your"	"in_your_marketing"	"DT"	"NN"	"IN"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"may"	"be"	"economy"	"at"	"one"	"of"	"a"	"number"	"of"	"link"	"in"	"your"	"marketing"	"and"	"distribution"	"chain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"a"	"between"	"find"	"school"	"find_a"	"a_between"	"between_school"	"one_find_a"	"find_a_between"	"a_between_school"	"between_school_and"	"CD"	"VB"	"DT"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a_few"	"school"	"one"	"find"	"a"	"link"	"between"	"school"	"and"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"a"	"between"	"find"	"person"	"find_a"	"a_between"	"between_person"	"to_find_a"	"find_a_between"	"a_between_person"	"between_person_'s"	"TO"	"VB"	"DT"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"use"	"in"	"stand"	"there"	"the"	"drizzle"	"try"	"to"	"find"	"a"	"link"	"between"	"person"	"murder"	"and"	"opium"	"in"	"a"	"cup"	"of"	"coffee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"being"	"with"	"of"	"the"	"of_being"	"being_with"	"with_the"	"need_of_being"	"of_being_with"	"being_with_the"	"with_the_ultimate"	"NN"	"IN"	"VBG"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"number"	"of"	"religion"	"also"	"for"	"many"	"the"	"need"	"of"	"being"	"link"	"with"	"the"	"ultimate"	"and"	"eternal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"thin"	"she"	"only"	"have"	"only_thin"	"thin_she"	"she_have"	"the_only_thin"	"only_thin_she"	"thin_she_have"	"she_have_with"	"DT"	"JJ"	"JJ"	"NN"	"PRP"	"VB"	"IN"	"not"	"as_though"	"she"	"note"	"clearly"	"that"	"her"	"nephew"	"had"	"not"	"been"	"to"	"see"	"her"	"for"	"ten"	"year"	"not"	"since"	"their"	"last"	"journey"	"eastward"	"to"	"witness"	"their"	"person"	"being"	"lower"	"into"	"the"	"rocky"	"soil"	"that"	"aside"	"from"	"due"	"notification"	"of"	"certain"	"major"	"event"	"in"	"their"	"life"	"two"	"marriage"	"two"	"birth"	"one"	"divorce"	"christmas_card"	"and"	"easter_card"	"of"	"the"	"traditional"	"sort"	"had"	"be"	"the"	"only"	"thin"	"she"	"have"	"with"	"them"	"through"	"the"	"widowed"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
