"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:34:00::"	"had"	"most"	"two_weeks"	"compositional"	"two_weeks_had"	"had_most"	"most_compositional"	"during_two_weeks_had"	"two_weeks_had_most"	"had_most_compositional"	"most_compositional_categories"	"IN"	"NN"	"VBD"	"VB"	"RBS"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"last"	"program"	"of_this"	"which"	"during"	"two_weeks"	"had"	"sample"	"most"	"compositional"	"categories"	"bring"	"the"	"cologne_rundfunk-sinfonie-orchester"	"and"	"rundfunkchor"	"to"	"bonn"	"gold-filled"	"hall"	"for"	"a"	"performance"	"of"	"the"	"missa_solemnis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"wide-ranging"	"of"	"a"	"successful"	"a_wide-ranging"	"wide-ranging_of"	"of_successful"	"be_a_wide-ranging"	"a_wide-ranging_of"	"wide-ranging_of_successful"	"of_successful_tonal"	"VB"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"a"	"wide-ranging"	"sample"	"of"	"successful"	"tonal"	"analysis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"of"	"selection"	"purpose"	"only"	"purpose_of"	"of_selection"	"selection_only"	"for_purpose_of"	"purpose_of_selection"	"of_selection_only"	"selection_only_("	"IN"	"NN"	"IN"	"NN"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"of"	"sample"	"selection"	"only"	"individual"	"test"	"were"	"give"	"later"	"we"	"obtain"	"group"	"test"	"score"	"of"	"reading"	"achievement"	"and"	"intelligence"	"from"	"school"	"record"	"of"	"the"	"entire"	"third"	"grade"	"population"	"in"	"each"	"school_system"	
"1:09:01::"	"the"	"child"	"of"	"was"	"of_the"	"the_child"	"child_was"	"each_of_the"	"of_the_child"	"the_child_was"	"child_was_see"	"DT"	"IN"	"DT"	"NN"	"NN"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"interview"	"schedule"	"of"	"open-ended"	"question"	"and"	"a"	"multiple-choice"	"were"	"prepare"	"and"	"one"	"parent"	"of"	"each"	"of"	"the"	"sample"	"child"	"was"	"see"	"in"	"the"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"each"	"third"	"to"	"grade"	"to_each"	"each_third"	"third_grade"	"administer_to_each"	"to_each_third"	"each_third_grade"	"third_grade_child"	"VB"	"TO"	"DT"	"NN"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wechsler_intelligence_scale_for_children"	"administer"	"to"	"each"	"sample"	"third"	"grade"	"child"	"by"	"a"	"clinical"	"worker"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"a"	"space"	"in"	"."	"in_a"	"a_space"	"space_."	"point_in_a"	"in_a_space"	"a_space_."	"space_._∅"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"chapter"	"and"	"we"	"answer"	"question"	"like"	"those"	"in"	"example"	"usually"	"by"	"count"	"point"	"in"	"a"	"sample"	"space"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"for"	"∅"	"liquid"	"∅_the"	"the_for"	"for_liquid"	"∅_∅_the"	"∅_the_for"	"the_for_liquid"	"for_liquid_phase"	"ε"	"ε"	"DT"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sample"	"for"	"liquid"	"phase"	"thermal"	"reaction"	"study"	"were"	"prepare"	"in"	"pyrex"	"capillary_tubing"	"mm"	"i.d."	"and"	"about"	"cm"	"long"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"fresh"	"of"	"of"	"the"	"of_fresh"	"fresh_of"	"of_the"	"gathering_of_fresh"	"of_fresh_of"	"fresh_of_the"	"of_the_chicago"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"NN"	"and"	"cleverly"	"arrange"	"such"	"memorabilia"	"unfortunately"	"amount"	"to"	"more"	"of"	"an"	"interruption"	"than"	"an"	"auxiliary"	"to"	"the"	"evening"	"main"	"business"	"which"	"consider"	"the"	"talent"	"at_hand"	"should"	"probably"	"have"	"the"	"gathering"	"of"	"fresh"	"of"	"the"	"chicago"	"style"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"his"	"of"	"prepare"	"**f"	"prepare_his"	"his_of"	"of_**f"	"person_prepare_his"	"prepare_his_of"	"his_of_**f"	"of_**f_by"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"his"	"sample"	"of"	"by"	"thermal"	"decomposition"	"of"	"aqueous"	"chromic_acid"	"at"	"c"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"**f"	"show"	"the"	"it"	"the_**f"	"**f_show"	"show_it"	"of_the_**f"	"the_**f_show"	"**f_show_it"	"show_it_to"	"IN"	"DT"	"NN"	"NN"	"VB"	"PRP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"electron_microscopic"	"examination"	"the"	"sample"	"show"	"it"	"to"	"be"	"composed"	"of"	"nearly"	"isotropic"	"particle"	"about"	"lm"	"in"	"diameter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
