"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:41:01::"	"tonight"	"robert_c._weaver"	"senate"	"as"	"senate_tonight"	"tonight_robert_c._weaver"	"robert_c._weaver_as"	"the_senate_tonight"	"senate_tonight_robert_c._weaver"	"tonight_robert_c._weaver_as"	"robert_c._weaver_as_the"	"DT"	"NNP"	"RB"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"act"	"hastily"	"under"	"white_house"	"the"	"senate"	"tonight"	"confirm"	"robert_c._weaver"	"as"	"the"	"nation"	"federal"	"housing"	"chief"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"rourke"	"the"	"∅"	"appointment"	"∅_rourke"	"rourke_the"	"the_appointment"	"∅_∅_rourke"	"∅_rourke_the"	"rourke_the_appointment"	"the_appointment_over"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"confirm"	"the"	"appointment"	"over"	"the"	"phone"	"and"	"hang_up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"but"	"may"	"history"	"may_be"	"be_but"	"but_history"	"some_day_may_be"	"may_be_but"	"be_but_history"	"but_history_be"	"RB"	"MD"	"VB"	"VB"	"CC"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"prince_sihanouk"	"powers"	"of"	"some_day"	"may"	"be"	"confirm"	"but"	"history"	"be"	"not"	"likely"	"to"	"praise"	"the"	"courage"	"of"	"his"	"convictions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"nogol"	"."	","	"∅"	",_nogol"	"nogol_."	"._∅"	"''_,_nogol"	",_nogol_."	"nogol_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"easy"	"nogol"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"joint_conference"	"and"	"construction_industry"	"reinforce"	"construction_industry_joint_conference"	"joint_conference_and"	"and_reinforce"	"the_construction_industry_joint_conference"	"construction_industry_joint_conference_and"	"joint_conference_and_reinforce"	"and_reinforce_both"	"DT"	"NN"	"NNP"	"VB"	"CC"	"VB"	"PDT"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"study"	"of"	"the"	"st._louis"	"area"	"economic"	"prospects"	"prepare"	"the"	"construction_industry"	"joint_conference"	"confirm"	"and"	"reinforce"	"both"	"the"	"findings"	"of"	"the"	"metropolitan"	"st._louis"	"survey"	"of"	"and"	"the"	"easily"	"observed"	"picture"	"of"	"the"	"missouri-illinois"	"countryside"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"or"	"yesterday"	"deny"	"yesterday_to"	"to_or"	"or_deny"	"reporters_yesterday_to"	"yesterday_to_or"	"to_or_deny"	"or_deny_the"	"NNS"	"NN"	"TO"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mayor"	"decline"	"in"	"interviews"	"with"	"reporters"	"yesterday"	"to"	"confirm"	"or"	"deny"	"the"	"reports"	"that"	"he"	"had"	"decide"	"to"	"run"	"and"	"want"	"mr._screvane"	"who"	"live"	"in"	"queens"	"to"	"replace"	"abe_stark"	"the"	"incumbent"	"as"	"the"	"candidate"	"for"	"president"	"of"	"the"	"city_council"	"and"	"mr._beame"	"who"	"live"	"in"	"brooklyn"	"to"	"replace"	"mr._gerosa"	"as"	"the"	"candidate"	"for"	"controller"	
"2:31:00::"	"are"	"."	"powers"	"∅"	"powers_are"	"are_."	"._∅"	"investigative_powers_are"	"powers_are_."	"are_._∅"	"._∅_∅"	"JJ"	"NNS"	"VBP"	"VB"	"ε"	"ε"	"ε"	"controller"	"retain"	"his"	"essential"	"fiscal"	"watchdog"	"functions"	"his"	"broad"	"but"	"little"	"use"	"investigative"	"powers"	"are"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"her"	"easy"	"analysis"	"easy_to"	"to_her"	"her_analysis"	"be_easy_to"	"easy_to_her"	"to_her_analysis"	"her_analysis_."	"VB"	"JJ"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"him"	"hopefully"	"yearningly"	"against"	"the"	"limitless"	"background"	"of"	"sky"	"and"	"wasteland"	"it"	"be"	"easy"	"to"	"her"	"analysis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"teenager"	"this"	"with"	"portrait"	"with_teenager"	"teenager_this"	"this_portrait"	"interview_with_teenager"	"with_teenager_this"	"teenager_this_portrait"	"this_portrait_of"	"NN"	"IN"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"with"	"teenager"	"confirm"	"this"	"portrait"	"of"	"the"	"weakening"	"of"	"religious"	"and"	"ethnic"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	","	"person"	"retort"	"'s"	"retort_,"	",_person"	"person_'s"	"doctor_retort_,"	"retort_,_person"	",_person_'s"	"person_'s_anticipation"	"NN"	"VB"	"ε"	"VB"	"NNP"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"will"	"have"	"to"	"be"	"the"	"hotel"	"the"	"doctor"	"confirm"	"person"	"anticipation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"it"	"interesting"	"by"	"interesting_to"	"to_it"	"it_by"	"be_interesting_to"	"interesting_to_it"	"to_it_by"	"it_by_a"	"VB"	"JJ"	"TO"	"VB"	"PRP"	"IN"	"DT"	"although"	"the"	"f"	"calculation"	"be"	"obvious"	"by_analogy_with"	"that"	"for"	"gravitational_field"	"and"	"osmotic_pressure"	"it"	"interesting"	"to"	"it"	"by"	"a"	"method"	"which"	"can"	"be"	"generalize"	"to"	"include"	"related"	"effect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"the"	"drop"	"above"	"drop_to"	"to_the"	"the_above"	"viscosity_drop_to"	"drop_to_the"	"to_the_above"	"the_above_formula"	"NN"	"NN"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"there"	"be"	"no"	"data"	"publish"	"in"	"the"	"literature"	"on"	"the"	"shape"	"of"	"low"	"drop"	"to"	"confirm"	"the"	"above"	"formula"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
