"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"
"2:38:04::"	"who"	"to"	","	"the"	",_who"	"who_to"	"to_the"	"26_,_who"	",_who_to"	"who_to_the"	"to_the_yankees"	"CD"	"ε"	"WP"	"VB"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"roommates"	"teammates"	"and"	"home-run"	"mates"	"mantle"	"who"	"break_in"	"with"	"the"	"yankees"	"ten"	"ago"	"and"	"maris"	"who"	"come"	"to"	"the"	"yankees"	"from"	"kansas_city"	"two"	"years"	"ago"	"have"	"strikingly"	"similar"	"backgrounds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:04::"	"was"	"to"	"morton"	"market"	"morton_was"	"was_to"	"to_market"	"than_morton_was"	"morton_was_to"	"was_to_market"	"to_market_at"	"IN"	"NNP"	"VBD"	"VB"	"VB"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"both"	"of"	"those"	"have"	"have"	"dynamic"	"run-ups"	"in"	"price"	"on"	"the"	"market"	"in"	"months"	"both"	"were"	"sell"	"at"	"higher"	"price-earnings"	"and"	"yield"	"bases"	"than"	"morton"	"was"	"come"	"to"	"market"	"at"	"and"	"everyone"	"who"	"know"	"anything"	"about"	"it"	"expect"	"the"	"morton"	"stock"	"to"	"have"	"a"	"fast"	"run-up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	","	"under_fire"	"federal_housing_administration"	"in"	"federal_housing_administration_,"	",_under_fire"	"under_fire_in"	"the_federal_housing_administration_,"	"federal_housing_administration_,_under_fire"	",_under_fire_in"	"under_fire_in_dallas"	"DT"	"NN"	"ε"	"VB"	"JJ"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"kennedy"	"administration"	"new"	"housing"	"and"	"urban"	"renewal"	"particularly"	"their"	"effect"	"on"	"the"	"federal_housing_administration"	"come"	"under_fire"	"in"	"dallas"	"last"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"n't"	"to"	"had"	"reno"	"had_n't"	"n't_to"	"to_reno"	"he_had_n't"	"had_n't_to"	"n't_to_reno"	"to_reno_for"	"PRP"	"VBD"	"RB"	"VB"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"owen"	"want"	"to"	"be"	"pleasant"	"because"	"buzz"	"work"	"territory"	"next"	"to"	"his"	"but"	"he"	"had"	"n't"	"come"	"to"	"reno"	"for"	"stag"	"dinners"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"just"	"once"	"i"	"a"	"i_just"	"just_once"	"once_a"	",_i_just"	"i_just_once"	"just_once_a"	"once_a_week"	"ε"	"PRP"	"RB"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oh"	"i"	"come"	"once"	"a"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"and"	"her"	"get"	"her_to"	"to_and"	"and_get"	"for_her_to"	"her_to_and"	"to_and_get"	"and_get_the"	"IN"	"PRP"	"TO"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"i"	"switch_on"	"lights"	"for"	"her"	"to"	"come"	"and"	"get"	"the"	"check"	"i"	"have"	"the"	"exact"	"change"	"plus"	"a"	"dollar"	"tip"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"who"	"to"	"students"	"the"	"students_who"	"who_to"	"to_the"	"civilian_students_who"	"students_who_to"	"who_to_the"	"to_the_institute"	"JJ"	"NNS"	"WP"	"VB"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"fiscal_years"	"and"	"there"	"be"	"military"	"civilian"	"students"	"who"	"come"	"to"	"the"	"institute"	"for"	"varying"	"periods"	"of"	"special"	"instruction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:04::"	"who"	"into"	"those"	"the"	"those_who"	"who_into"	"into_the"	"all_those_who"	"those_who_into"	"who_into_the"	"into_the_fellowship"	"DT"	"DT"	"WP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"grow"	"conviction"	"among"	"and"	"church"	"leaders"	"that"	"all"	"those"	"who"	"come"	"into"	"the"	"fellowship"	"of"	"the"	"church"	"need"	"preparatory"	"training"	"include"	"those"	"come"	"by"	"transfer"	"of"	"membership"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:04::"	"those"	"by"	"include"	"transfer"	"include_those"	"those_by"	"by_transfer"	",_include_those"	"include_those_by"	"those_by_transfer"	"by_transfer_of"	"ε"	"VB"	"DT"	"VB"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"grow"	"conviction"	"among"	"pastors"	"and"	"church"	"leaders"	"that"	"all"	"those"	"come"	"into"	"the"	"fellowship"	"of"	"the"	"church"	"need"	"preparatory"	"training"	"include"	"those"	"come"	"by"	"transfer"	"of"	"membership"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"would"	"to"	"that"	"the"	"that_would"	"would_to"	"to_the"	"advantage_that_would"	"that_would_to"	"would_to_the"	"to_the_city"	"NN"	"WDT"	"MD"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"that"	"would"	"come"	"to"	"the"	"city"	"in"	"have"	"a"	"full-time"	"director"	"he"	"say"	"be"	"that"	"east_providence"	"would"	"become"	"eligible"	"to"	"apply"	"to"	"the"	"federal_government"	"for"	"financial_aid"	"in"	"purchase"	"equipment"	"need"	"for"	"a"	"sound"	"civil_defense"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
