"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"2:32:00::"	"is"	"as"	"suggestibility"	"the"	"suggestibility_is"	"is_as"	"as_the"	"if_suggestibility_is"	"suggestibility_is_as"	"is_as_the"	"as_the_influence"	"IN"	"NN"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"kohnstamm"	"reactivity"	"in_condition"	"the"	"nai"	"ve"	"state"	"is"	"not"	"adequately"	"explain"	"by"	"such"	"a"	"concept"	"as"	"suggestibility"	"if"	"suggestibility"	"is"	"as"	"the"	"influence"	"on"	"behavior"	"by"	"verbal"	"cues"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"loomis"	"it"	","	"as"	",_loomis"	"loomis_it"	"it_as"	"communication_,_loomis"	",_loomis_it"	"loomis_it_as"	"it_as_``"	"NN"	"ε"	"NNP"	"VB"	"PRP"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"discuss"	"the"	"of"	"communication"	"loomis"	"define"	"it"	"as"	"the"	"process"	"by"	"which"	"information"	"decisions"	"and"	"directives"	"are"	"transmit"	"among"	"actors"	"and"	"the"	"ways"	"in_which"	"knowledge"	"opinions"	"and"	"attitudes"	"are"	"form"	"or"	"modify"	"by"	"interaction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"is"	"``"	"linkage"	"as"	"linkage_is"	"is_``"	"``_as"	"systemic_linkage_is"	"linkage_is_``"	"is_``_as"	"``_as_the"	"JJ"	"NN"	"VBZ"	"VB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"boundary"	"maintenance"	"describe"	"the"	"boundaries"	"or"	"of"	"the"	"group"	"systemic"	"linkage"	"is"	"define"	"as"	"the"	"process"	"whereby"	"one"	"or"	"more"	"of"	"the"	"elements"	"of"	"at_least"	"two"	"social_systems"	"is"	"articulate"	"in"	"such"	"a"	"manner"	"that"	"the"	"two"	"systems"	"in"	"some"	"ways"	"and"	"on"	"some"	"occasions"	"may"	"be"	"view_as"	"a"	"single"	"unit"	
"2:42:00::"	"would"	"the"	"that"	"immense"	"that_would"	"would_the"	"the_immense"	"summation_that_would"	"that_would_the"	"would_the_immense"	"the_immense_service"	"NN"	"WDT"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"briefly"	"in_this"	"humble"	"tribute"	"i"	"have"	"for"	"some"	"simple"	"and"	"succinct"	"summation"	"that"	"would"	"define"	"the"	"immense"	"service"	"of_this"	"patriot"	"to"	"his"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"the"	"hard"	"rayburn"	"hard_to"	"to_the"	"the_rayburn"	",_hard_to"	"hard_to_the"	"to_the_rayburn"	"the_rayburn_contribution"	"ε"	"JJ"	"TO"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"i"	"hard"	"to"	"define"	"the"	"rayburn"	"contribution"	"to"	"our"	"political"	"civilization"	"because"	"it"	"be"	"so"	"massive"	"and"	"so"	"widespread"	"and"	"so"	"complicated"	"and"	"because"	"it"	"go_deep"	"so"	"deep"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"in"	"your"	"wrapped_up"	"company"	"wrapped_up_in"	"in_your"	"your_company"	"be_wrapped_up_in"	"wrapped_up_in_your"	"in_your_company"	"your_company_'s"	"VB"	"JJ"	"IN"	"VB"	"PRP$"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"key"	"to"	"marketing"	"be"	"wrapped_up"	"in"	"define"	"your"	"company"	"marketing"	"problem"	"realistically"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"here"	"as"	"is"	"particulate"	"is_here"	"here_as"	"as_particulate"	"which_is_here"	"is_here_as"	"here_as_particulate"	"as_particulate_material"	"WDT"	"VBZ"	"RB"	"VB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dirt"	"which"	"here"	"define"	"as"	"particulate"	"material"	"which"	"be"	"usually"	"inorganic"	"and"	"be"	"very"	"often"	"extremely"	"finely"	"divide"	"so"	"as"	"to"	"exhibit"	"colloidal"	"property"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"as"	"line"	"the"	"line_,"	",_as"	"as_the"	"resonance_line_,"	"line_,_as"	",_as_the"	"as_the_field"	"NN"	"NN"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"field"	"shift"	"were"	"derive"	"from"	"the"	"value"	"of"	"the"	"resonance"	"line"	"define"	"as"	"the"	"field"	"about"	"which"	"the"	"first_moment"	"be"	"zero"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"value"	","	"no"	"except"	"no_value"	"value_,"	",_except"	"have_no_value"	"no_value_,"	"value_,_except"	",_except_at"	"VB"	"DT"	"NN"	"VB"	"ε"	"IN"	"IN"	"0"	"in"	"some"	"neighborhood"	"of"	"an"	"isolated"	"tangent"	"point"	"in"	"the"	"f-plane"	"say"	"the"	"function"	"either"	"double"	"valued"	"or"	"have"	"value"	"define"	"except"	"at"	"the"	"tangent"	"point"	"itself"	"where"	"it"	"be"	"single"	"valued"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"first"	"a"	"we"	"function"	"we_first"	"first_a"	"a_function"	"∅_we_first"	"we_first_a"	"first_a_function"	"a_function_b"	"ε"	"PRP"	"RB"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first"	"define"	"a"	"function"	"b"	"t"	"as_follows"	"given"	"the"	"set"	"of"	"square"	"such_that"	"each"	"have"	"three"	"corner"	"on"	"c"	"and"	"vertex"	"at"	"t"	"b"	"t"	"be"	"the"	"corresponding"	"set"	"of"	"parametric"	"difference"	"between"	"t"	"and"	"the"	"backward"	"corner"	"point"	"0"	"0"	"0"	"0"	"0"	
