"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"
"2:30:02::"	"mainly"	"in"	"was"	"the"	"was_mainly"	"mainly_in"	"in_the"	"advertising_was_mainly"	"was_mainly_in"	"mainly_in_the"	"in_the_new_york"	"NN"	"VBD"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"newspaper"	"was"	"mainly"	"concentrate"	"in"	"the"	"new_york"	"times"	"and"	"the"	"wall_street"	"journal"	"eastern"	"and"	"midwestern"	"editions"	"which"	"average"	"two"	"prominent"	"ads"	"per"	"month"	"and"	"to_a_lesser_degree"	"the"	"new_york"	"herald_tribune"	"and"	"for"	"the"	"west"	"coast"	"the"	"los_angeles"	"times"	"and"	"the"	"wall_street"	"journal"	"pacific_coast"	"edition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"to"	"in"	"builders"	"the"	"builders_to"	"to_in"	"in_the"	"encourage_builders_to"	"builders_to_in"	"to_in_the"	"in_the_apartment-building"	"VB"	"NNS"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"availability"	"of"	"mortgage"	"money"	"has"	"be"	"a"	"factor"	"in"	"encourage"	"apartment"	"construction"	"the"	"generally"	"high"	"level"	"of"	"prosperity"	"in_the_past"	"few"	"years"	"plus"	"rising"	"consumer"	"income"	"be"	"among"	"the"	"that"	"have"	"encourage"	"builders"	"to"	"concentrate"	"in"	"the"	"apartment-building"	"field"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"and"	"in_order"	"ore"	"to"	"ore_and"	"and_in_order"	"in_order_to"	"zinc_ore_and"	"ore_and_in_order"	"and_in_order_to"	"in_order_to_stabilize"	"NN"	"NN"	"CC"	"NN"	"RB"	"RB"	"VB"	"enact"	"by"	"the"	"senate"	"and"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"secretary_of_the_interior"	"is"	"hereby"	"authorize"	"and"	"direct"	"to"	"establish"	"and"	"maintain"	"a"	"program"	"of"	"stabilization"	"payment"	"to"	"small"	"domestic"	"producer"	"of"	"lead"	"and"	"zinc"	"ore"	"in_order"	"to"	"stabilize"	"the"	"mining"	"of"	"lead"	"and"	"zinc"	"by"	"small"	"domestic"	"producer"	"on"	"public"	"indian"	"and"	"land"	"as"	"provide"	"in_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"or"	"produce"	","	"therefrom"	",_or"	"or_produce"	"produce_therefrom"	"ore_,_or"	",_or_produce"	"or_produce_therefrom"	"produce_therefrom_,"	"NN"	"ε"	"CC"	"NN"	"VB"	"RB"	"ε"	"the"	"limitation"	"of_this"	"act"	"the"	"secretary_of_the_interior"	"shall"	"make"	"stabilization"	"payment"	"to"	"small"	"domestic"	"producer"	"upon"	"presentation"	"of"	"evidence"	"satisfactory"	"to"	"him"	"of"	"their"	"status"	"as"	"such"	"producer"	"and"	"of"	"the"	"sale"	"by"	"them"	"of"	"newly"	"mine"	"ore"	"or"	"produce"	"therefrom"	"as"	"provide"	"in_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"or"	"produce"	"ore"	"therefrom"	"ore_or"	"or_produce"	"produce_therefrom"	"mine_ore_or"	"ore_or_produce"	"or_produce_therefrom"	"produce_therefrom_make"	"VB"	"NN"	"CC"	"NN"	"VB"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"maximum"	"amount"	"of"	"payment"	"which"	"may"	"be"	"make"	"to"	"this"	"act"	"on_account_of"	"sale"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"made"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"and"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	
"2:30:07::"	"are"	","	"emotion"	"or"	"emotion_are"	"are_,"	",_or"	"and_emotion_are"	"emotion_are_,"	"are_,_or"	",_or_reduce"	"CC"	"NN"	"VBP"	"VB"	"ε"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"a"	"variety"	"meaning"	"and"	"emotion"	"are"	"concentrate"	"or"	"reduce"	"in"	"their"	"communicative"	"expression"	"to"	"some"	"comparatively"	"simple"	"seeming"	"verbal"	"or"	"nonverbal"	"statement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:07::"	"interchange"	"and"	"spaced"	"mitigate"	"spaced_interchange"	"interchange_and"	"and_mitigate"	"narrowly_spaced_interchange"	"spaced_interchange_and"	"interchange_and_mitigate"	"and_mitigate_the"	"RB"	"JJ"	"NN"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"freeway"	"narrowly"	"spaced"	"interchange"	"concentrate"	"and"	"mitigate"	"the"	"access"	"problem"	"but"	"it"	"also"	"act_as"	"inevitably"	"as"	"an"	"artificial"	"isolate"	"boundary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"were"	"by"	"column"	"pervaporation"	"column_were"	"were_by"	"by_pervaporation"	"the_column_were"	"column_were_by"	"were_by_pervaporation"	"by_pervaporation_against"	"DT"	"NN"	"VBD"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"protein"	"identification"	"fraction"	"the"	"column"	"were"	"concentrate"	"by"	"pervaporation"	"against"	"a"	"stream"	"of"	"air"	"at"	"c"	"or"	"by"	"negative"	"pressure"	"dialysis"	"in"	"an"	"apparatus"	"which"	"permit"	"simultaneous"	"concentration"	"of"	"the"	"protein"	"and"	"dialysis"	"against"	"isotonic"	"saline"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"were"	"by"	"ultracentrifugation"	"negative"	"ultracentrifugation_were"	"were_by"	"by_negative"	"analytical_ultracentrifugation_were"	"ultracentrifugation_were_by"	"were_by_negative"	"by_negative_pressure"	"JJ"	"NN"	"VBD"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fraction"	"from"	"the"	"column"	"which"	"were"	"be"	"subject"	"to"	"analytical"	"ultracentrifugation"	"were"	"concentrate"	"by"	"negative"	"pressure"	"dialysis"	"and"	"dialyze"	"for"	"hr"	"in"	"the"	"cold"	"against"	"at_least"	"volume"	"of"	"phosphate"	"buffer"	"saline"	"ph"	"ionic"	"strength"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"were"	"by"	"column"	"negative"	"column_were"	"were_by"	"by_negative"	"the_column_were"	"column_were_by"	"were_by_negative"	"by_negative_pressure"	"DT"	"NN"	"VBD"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"preparative"	"ultracentrifugation"	"fraction"	"the"	"column"	"were"	"concentrate"	"by"	"negative"	"pressure"	"dialysis"	"to"	"volume"	"of"	"ml"	"or"	"less"	"transfer"	"to"	"cellulose"	"tube"	"and"	"dilute"	"to"	"ml"	"with"	"isotonic"	"saline"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
