"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"
"2:31:01::"	","	"its"	"say"	"market_price"	"say_,"	",_its"	"its_market_price"	"he_say_,"	"say_,_its"	",_its_market_price"	"its_market_price_would"	"PRP"	"VB"	"ε"	"VB"	"PRP$"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"feel"	"confident"	"the"	"stock"	"will"	"qualify"	"for"	"the"	"list"	"he"	"say"	"mean"	"its"	"market_price"	"would"	"be"	"quote"	"regularly"	"in"	"newspapers"	"all_over"	"the"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"not"	"to"	"does"	"imply"	"does_not"	"not_to"	"to_imply"	"discussion_does_not"	"does_not_to"	"not_to_imply"	"to_imply_that"	"NN"	"VBZ"	"RB"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"above"	"does"	"not"	"mean"	"to"	"imply"	"that"	"control"	"factors"	"be"	"completely"	"in_abeyance"	"in"	"the"	"kohnstamm-positive"	"subjects"	"but"	"rather"	"that"	"they"	"could"	"be"	"diminish"	"sufficiently"	"not"	"to"	"interfere"	"with"	"arm-levitation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"you"	"you"	"``"	"be"	"``_you"	"you_you"	"you_be"	"∅_``_you"	"``_you_you"	"you_you_be"	"you_be_all"	"ε"	"ε"	"PRP"	"VB"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mean"	"you"	"be"	"all"	"alone"	"mr._richards"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	")"	","	"rhode_island"	"or"	"rhode_island_)"	")_,"	",_or"	"in_rhode_island_)"	"rhode_island_)_,"	")_,_or"	",_or_should"	"IN"	"NN"	"ε"	"VB"	"ε"	"CC"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"recognize"	"the"	"truth"	"of"	"the"	"statement"	"by"	"the"	"of"	"public_administration"	"that"	"metropolian_planning"	"in"	"rhode_island"	"mean"	"or"	"should"	"mean"	"state"	"planning"	"the"	"state"	"guide"	"plan"	"will"	"take_into_account"	"the"	"metropolitan"	"nature"	"of"	"many_of"	"rhode_island"	"problems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"should"	","	"or"	"state"	"or_should"	"should_,"	",_state"	",_or_should"	"or_should_,"	"should_,_state"	",_state_planning"	"ε"	"CC"	"MD"	"VB"	"ε"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"recognize"	"the"	"truth"	"of"	"the"	"statement"	"by"	"the"	"institute"	"of"	"that"	"metropolian_planning"	"in"	"rhode_island"	"mean"	"or"	"should"	"mean"	"state"	"planning"	"the"	"state"	"guide"	"plan"	"will"	"take_into_account"	"the"	"metropolitan"	"nature"	"of"	"many_of"	"rhode_island"	"problems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"you"	"some"	"``"	"of"	"``_you"	"you_some"	"some_of"	",_``_you"	"``_you_some"	"you_some_of"	"some_of_the"	"ε"	"ε"	"PRP"	"VB"	"DT"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"judge_parsons"	"lean"	"over"	"the"	"and"	"inquire"	"you"	"mean"	"some"	"of"	"the"	"defendants"	"make"	"statements"	"admit"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"christ"	"to"	"what"	"me"	"what_christ"	"christ_to"	"to_me"	"``_what_christ"	"what_christ_to"	"christ_to_me"	"to_me_''"	"ε"	"WP"	"NNP"	"VB"	"TO"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ask"	"each"	"member"	"to"	"write"	"a"	"statement"	"such"	"topics"	"as"	"what"	"christ"	"mean"	"to"	"me"	"what"	"the"	"church"	"mean"	"to"	"me"	"why"	"join"	"the"	"church"	"the"	"duties"	"of"	"church_members"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"church"	"to"	"the"	"me"	"the_church"	"church_to"	"to_me"	"what_the_church"	"the_church_to"	"church_to_me"	"to_me_''"	"WP"	"DT"	"NN"	"VB"	"TO"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ask"	"each"	"member"	"to"	"write"	"a"	"statement"	"on"	"such"	"topics"	"as"	"christ"	"mean"	"to"	"me"	"what"	"the"	"church"	"mean"	"to"	"me"	"why"	"join"	"the"	"church"	"the"	"duties"	"of"	"church_members"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"will"	"for"	"this"	"the"	"this_will"	"will_for"	"for_the"	"what_this_will"	"this_will_for"	"will_for_the"	"for_the_town"	"WP"	"DT"	"MD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"most"	"immediate"	"goal"	"be"	"to"	"increase"	"public"	"awareness"	"of"	"the"	"movement"	"indicate"	"and"	"to"	"tell"	"them"	"what"	"this"	"will"	"mean"	"for"	"the"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"dikkat"	","	"'"	"and"	"'_dikkat"	"dikkat_,"	",_and"	"b_'_dikkat"	"'_dikkat_,"	"dikkat_,_and"	",_and_the"	"NNP"	"ε"	"NN"	"VB"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mercer"	"stammer"	"not"	"know"	"b"	"dikkat"	"mean"	"and"	"the"	"two-nosed"	"man"	"answer"	"for"	"him"	"i"	"think"	"he"	"have"	"a"	"nice"	"baby"	"head"	"but"	"it"	"be"	"n't"	"big"	"enough"	"for"	"you"	"to"	"take"	"yet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
