"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"
"2:32:02::"	"john_jay"	"an"	","	"equally"	",_john_jay"	"john_jay_an"	"an_equally"	"jefferson_,_john_jay"	",_john_jay_an"	"john_jay_an_equally"	"an_equally_high"	"NNP"	"ε"	"NNP"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"less"	"dazzling"	"than"	"hamilton"	"less"	"than"	"jefferson"	"john_jay"	"command"	"an"	"equally"	"high"	"rank"	"among"	"the"	"founding"	"fathers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"actually"	"parker"	"not"	"to"	"not_actually"	"actually_parker"	"parker_to"	"did_not_actually"	"not_actually_parker"	"actually_parker_to"	"parker_to_leave"	"VBD"	"RB"	"RB"	"VB"	"NNP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"happily"	"for"	"then"	"the"	"did"	"not"	"actually"	"command"	"parker"	"to"	"leave"	"the"	"room"	"though"	"it"	"come"	"too_close"	"for"	"comfort"	"to"	"what"	"would"	"have"	"be"	"an"	"unforgivable"	"brutality"	"0"	
"2:32:01::"	","	"a"	"major-general"	"full"	"major-general_,"	",_a"	"a_full"	"a_major-general_,"	"major-general_,_a"	",_a_full"	"a_full_division"	"DT"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"finish"	"the"	"as"	"a"	"major-general"	"command"	"a"	"full"	"division"	"and"	"at"	"be"	"the"	"young"	"major-general"	"in"	"the"	"history"	"of"	"the"	"u.s."	"army"	"0"	"0"	"0"	"0"	
"1:26:00::"	"top_executive"	"."	"its"	"∅"	"its_top_executive"	"top_executive_."	"._∅"	"in_its_top_executive"	"its_top_executive_."	"top_executive_._∅"	"._∅_∅"	"IN"	"PRP$"	"NN"	"NN"	"ε"	"ε"	"ε"	"person"	"i"	"rise"	"today"	"to"	"pay"	"tribute"	"to"	"a"	"great"	"newspaper"	"the"	"group"	"on"	"the"	"occasion"	"of"	"a"	"major"	"change"	"its"	"top_executive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"now"	","	"person"	"had"	"person_now"	"now_,"	",_had"	"that_person_now"	"person_now_,"	"now_,_had"	",_had_sail"	"IN"	"NNP"	"RB"	"VB"	"ε"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"in"	"the"	"same"	"little"	"that"	"person"	"now"	"command"	"had"	"sail"	"mile"	"up"	"the"	"strait"	"before"	"his"	"frightened"	"men"	"turn"	"the"	"ship"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"royal"	"he"	"under"	"undertake"	"under_royal"	"royal_he"	"he_undertake"	"1819_under_royal"	"under_royal_he"	"royal_he_undertake"	"he_undertake_a"	"CD"	"IN"	"JJ"	"NN"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"royal"	"command"	"he"	"undertake"	"a"	"very"	"successful"	"geological"	"expedition"	"to"	"location"	"one"	"of"	"the"	"danish"	"island"	"be"	"one"	"of"	"three"	"scientist"	"in"	"the"	"expedition"	
"1:10:00::"	","	","	"question"	"statement"	"question_,"	",_,"	",_statement"	",_question_,"	"question_,_,"	",_,_statement"	",_statement_,"	"ε"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"word"	"of"	"caution"	"we"	"should"	"be"	"aware"	"that"	"in"	"actual"	"practice"	"no"	"message"	"be"	"purely"	"one"	"of"	"the"	"four"	"type"	"question"	"command"	"or"	"exclamation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"the"	"of"	"at"	"the"	"at_the"	"the_of"	"of_the"	"material_at_the"	"at_the_of"	"the_of_the"	"of_the_potter"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"at"	"the"	"command"	"of"	"the"	"potter"	"grow"	"and"	"the"	"volume"	"of"	"their"	"production"	"increase"	"the"	"local"	"variation"	"within"	"a"	"common"	"style"	"become"	"more"	"evident"	
"1:09:00::"	"in"	"of"	"finally"	"his"	"finally_in"	"in_of"	"of_his"	"be_finally_in"	"finally_in_of"	"in_of_his"	"of_his_mind"	"VB"	"RB"	"IN"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"finally"	"in"	"command"	"of"	"his"	"mind"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"in"	"of"	"put"	"an"	"put_in"	"in_of"	"of_an"	"facetiously_put_in"	"put_in_of"	"in_of_an"	"of_an_``"	"RB"	"VB"	"VB"	"NN"	"IN"	"DT"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"episode"	"in"	"which"	"person"	"conclude"	"the"	"joke"	"that"	"is"	"play"	"on"	"when"	"he"	"be"	"facetiously"	"put"	"in"	"command"	"of"	"an"	"island"	"be"	"one"	"of"	"the"	"best"	"in"	"the"	"film"	"0"	"0"	"0"	"0"	"0"	"0"	
