"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"
"1:24:00::"	"ethnic"	"."	"and"	"∅"	"and_ethnic"	"ethnic_."	"._∅"	"religious_and_ethnic"	"and_ethnic_."	"ethnic_._∅"	"._∅_∅"	"JJ"	"CC"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"interview"	"with"	"teenager"	"confirm"	"this"	"of"	"the"	"weakening"	"of"	"religious"	"and"	"ethnic"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:02::"	"and"	"."	"stock"	"∅"	"stock_and"	"and_."	"._∅"	"such_as_stock_and"	"stock_and_."	"and_._∅"	"._∅_∅"	"JJ"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"by"	"person"	"of"	"location"	"would"	"relieve"	"real_estate_broker"	"who"	"pay"	"their"	"own"	"annual"	"licensing_fee"	"from"	"the"	"annual"	"occupation_license"	"broker"	"in"	"such_as"	"stock"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:02::"	"local"	","	"by"	"and"	"by_local"	"local_,"	",_and"	"water_program_by_local"	"by_local_,"	"local_,_and"	",_and_that"	"NN"	"IN"	"JJ"	"NN"	"ε"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"statement"	"by"	"legislator"	"that"	"dallas"	"is"	"for"	"all"	"its"	"water_program"	"by"	"local"	"bond"	"and"	"that"	"less"	"populous"	"place"	"would"	"benefit"	"most"	"by"	"the"	"pending"	"bill"	"did"	"not"	"sway"	"person"	"attack"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"**f"	"in"	"the"	"**f"	"the_**f"	"**f_in"	"in_**f"	"discuss_the_**f"	"the_**f_in"	"**f_in_**f"	"in_**f_."	"VB"	"DT"	"NN"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"first"	"the"	"bond"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"**f"	"will"	"the"	"be"	"the_**f"	"**f_will"	"will_be"	"that_the_**f"	"the_**f_will"	"**f_will_be"	"will_be_linear"	"IN"	"DT"	"NN"	"NN"	"MD"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"theoretical"	"study"	"of"	"the"	"generally"	"agree"	"that"	"the"	"bond"	"will"	"be"	"linear"	"in"	"the"	"absence"	"of"	"peculiarity"	"of"	"packing"	"in"	"the"	"solid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"**f"	"be"	"the"	"linear"	"the_**f"	"**f_be"	"be_linear"	"if_the_**f"	"the_**f_be"	"**f_be_linear"	"be_linear_then"	"IN"	"DT"	"NN"	"NN"	"VB"	"JJ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"bond"	"be"	"linear"	"then"	"there"	"be"	"three"	"reasonable"	"position"	"the"	"hydrogen_atom"	"the"	"hydrogen_atom"	"be"	"centered"	"and"	"hence"	"all"	"lie"	"on"	"a"	"sheet"	"midway"	"between"	"the"	"oxygen"	"sheet"	"all"	"hydrogen_atom"	"lie"	"on"	"a"	"sheet"	"but"	"the"	"sheet"	"be"	"close"	"to"	"one"	"oxygen"	"sheet"	"than"	"to"	"the"	"other"	"hydrogen_atom"	"be"	"asymmetrically"	"place"	"either"	"randomly"	"or"	"in"	"an"	"ordered"	"way"	"so"	"that"	"some"	"hydrogen_atom"	"be"	"close"	"to"	"the"	"upper"	"oxygen"	"atom"	"while"	"be"	"close"	"to"	"the"	"lower"	"oxygen"	"atom"	
"1:21:02::"	"highway"	"money"	"the"	"it"	"the_highway"	"highway_money"	"money_it"	"of_the_highway"	"the_highway_money"	"highway_money_it"	"money_it_approve"	"IN"	"DT"	"NN"	"NN"	"NN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"will"	"wind_up"	"its"	"session"	"monday"	"and"	"for"	"home"	"where"	"some"	"of"	"the"	"highway"	"bond"	"money"	"it"	"approve"	"will"	"follow"	"shortly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:02::"	"reconstruction"	"."	"highway"	"∅"	"highway_reconstruction"	"reconstruction_."	"._∅"	"of_highway_reconstruction"	"highway_reconstruction_."	"reconstruction_._∅"	"._∅_∅"	"IN"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meanwhile"	"it"	"was"	"learn"	"the"	"group"	"be"	"very"	"near"	"be"	"ready"	"to"	"issue"	"the"	"million"	"worth"	"of"	"highway"	"reconstruction"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:02::"	"the"	"issue"	"∅"	"will"	"∅_the"	"the_issue"	"issue_will"	"∅_∅_the"	"∅_the_issue"	"the_issue_will"	"issue_will_go"	"ε"	"ε"	"DT"	"NN"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bond"	"issue"	"will"	"go"	"to"	"the"	"state"	"court"	"for"	"a"	"friendly"	"test_suit"	"to"	"test"	"the"	"validity"	"of"	"the"	"act"	"and_then"	"the"	"sale"	"will"	"begin"	"and"	"contract"	"let"	"for"	"repair"	"work"	"on"	"some"	"of"	"georgia"	"most"	"heavily"	"traveled"	"highway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:02::"	"group"	"for"	"of"	"rural"	"of_group"	"group_for"	"for_rural"	"worth_of_group"	"of_group_for"	"group_for_rural"	"for_rural_road"	"NN"	"IN"	"NNP"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"group"	"source"	"say"	"there"	"also"	"be"	"plan"	"there"	"to"	"issue"	"some"	"million"	"to"	"worth"	"of"	"group"	"bond"	"for"	"rural"	"road"	"construction"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
