"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"2:39:00::"	"really"	"and"	"it"	"look_like"	"it_really"	"really_and"	"and_look_like"	"what_it_really"	"it_really_and"	"really_and_look_like"	"and_look_like_,"	"WP"	"PRP"	"RB"	"VB"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"like"	"to"	"sniff"	"a"	"place"	"reproduce"	"what"	"it"	"really"	"smell"	"and"	"look_like"	"its"	"color"	"its"	"particular"	"kind_of"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"and"	"it"	"it"	"-"	"it_and"	"and_it"	"it_-"	"hear_it_and"	"it_and_it"	"and_it_-"	"it_-_the"	"VB"	"PRP"	"CC"	"VB"	"PRP"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"he"	"it"	"and"	"smell"	"it"	"the"	"steady"	"hissing"	"the"	"dread"	"familiar"	"pungency"	"of"	"gas"	"escape"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	","	"the"	"constellations"	"frozen"	"constellations_,"	",_the"	"the_frozen"	"unfamiliar_constellations_,"	"constellations_,_the"	",_the_frozen"	"the_frozen_sterility"	"JJ"	"NNS"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ekstrohm"	"walk"	"through"	"the"	"alien"	"glass"	"look"	"up"	"at"	"the"	"unfamiliar"	"constellations"	"smell"	"the"	"frozen"	"sterility"	"of"	"the"	"thin"	"air"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"a"	"able"	"bargain"	"able_to"	"to_a"	"a_bargain"	"be_able_to"	"able_to_a"	"to_a_bargain"	"a_bargain_-"	"VB"	"JJ"	"VB"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"able"	"to"	"smell"	"a"	"bargain"	"and"	"a"	"masterpiece"	"a"	"continent"	"away"	"and"	"the"	"museum"	"of"	"modern_art"	"alfred_barr"	"say"	"of"	"him"	"i"	"have"	"never"	"mention"	"a"	"new"	"artist"	"that"	"thompson"	"did"	"n't"	"know"	"about"	"0"	"0"	
"1:09:02::"	"the"	"of"	"at"	"frizzle"	"at_the"	"the_of"	"of_frizzle"	"wiggle_at_the"	"at_the_of"	"the_of_frizzle"	"of_frizzle_bacon"	"VB"	"IN"	"DT"	"NN"	"IN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"long"	"wiggle"	"at"	"the"	"smell"	"of"	"frizzle"	"bacon"	"and"	"heating"	"java"	"but"	"the"	"fire"	"be"	"low"	"and"	"he"	"want"	"to"	"waste"	"no"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"of"	"have"	"planning"	"have_the"	"the_of"	"of_planning"	"it_have_the"	"have_the_of"	"the_of_planning"	"of_planning_,"	"PRP"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"when"	"he"	"come"	"to"	"examine"	"the"	"scene"	"there"	"a"	"certain"	"staginess"	"to"	"it"	"it"	"have"	"the"	"smell"	"of"	"planning"	"and"	"a"	"swift"	"suspicion"	"dart"	"into"	"his"	"mind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"that"	"of"	"air"	"mud"	"air_that"	"that_of"	"of_mud"	"cool_air_that"	"air_that_of"	"that_of_mud"	"of_mud_and"	"JJ"	"NN"	"WDT"	"VB"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"run"	"up"	"the"	"ladder"	"and"	"stand"	"a"	"second"	"suck_in"	"the"	"cool"	"air"	"that"	"smell"	"of"	"mud"	"and"	"river"	"weed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:02::"	"the"	"of"	"or"	"thick"	"or_the"	"the_of"	"of_thick"	";_or_the"	"or_the_of"	"the_of_thick"	"of_thick_tomato_paste"	"ε"	"CC"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"if"	"he"	"be"	"not"	"there"	"they"	"would"	"have"	"miss"	"him"	"as"	"they"	"would"	"have"	"the"	"sound"	"of"	"bee"	"buzz"	"against"	"the"	"screen_door"	"in"	"early"	"june"	"or"	"the"	"smell"	"of"	"thick"	"tomato_paste"	"the"	"ripe"	"smell"	"that"	"be"	"both"	"sweet"	"and"	"sour"	"rise_up"	"from"	"aluminum"	"tray"	"wrapped"	"in"	"fly"	"dotted"	"cheesecloth"	
"1:09:02::"	"ripe"	"that"	"the"	"be"	"the_ripe"	"ripe_that"	"that_be"	"-_the_ripe"	"the_ripe_that"	"ripe_that_be"	"that_be_both"	"ε"	"DT"	"JJ"	"NN"	"WDT"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"if"	"he"	"be"	"not"	"there"	"they"	"would"	"have"	"miss"	"him"	"as"	"they"	"would"	"have"	"miss"	"the"	"sound"	"of"	"buzz"	"against"	"the"	"screen_door"	"in"	"early"	"june"	"or"	"the"	"smell"	"of"	"thick"	"tomato_paste"	"the"	"ripe"	"smell"	"that"	"be"	"both"	"sweet"	"and"	"sour"	"rise_up"	"from"	"aluminum"	"tray"	"wrapped"	"in"	"fly"	"dotted"	"cheesecloth"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	","	"goodness"	",_the"	"the_of"	"of_goodness"	"not_,_the"	",_the_of"	"the_of_goodness"	"of_goodness_he"	"RB"	"ε"	"DT"	"NN"	"IN"	"NN"	"PRP"	"in"	"trance"	"there"	"be"	"much"	"to"	"grok"	"loose_end"	"to"	"puzzle_over"	"and"	"fit"	"into"	"his"	"growing"	"all"	"that"	"he"	"had"	"see"	"and"	"hear"	"and"	"be"	"at"	"the"	"location"	"not"	"just"	"cusp"	"when"	"he"	"and"	"person"	"had"	"come"	"face-to-face"	"alone"	"why"	"person"	"make"	"him"	"warily"	"uneasy"	"how"	"person"	"taste"	"like"	"a"	"water_brother"	"when"	"she"	"be"	"not"	"the"	"smell"	"goodness"	"he"	"had"	"incompletely"	"grokked"	"in"	"the"	"jumping_up_and_down"	"and"	"wail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
