"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"2:29:00::"	"of"	"the"	"days"	"appliance"	"days_of"	"of_the"	"the_appliance"	"few_days_of"	"days_of_the"	"of_the_appliance"	"the_appliance_and"	"JJ"	"NNS"	"IN"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"few"	"days"	"of"	"wear"	"the"	"appliance"	"and"	"immediately"	"following"	"each"	"adjustment"	"susan"	"may"	"have"	"a"	"slight"	"discomfort"	"or"	"soreness"	"but"	"after"	"a"	"short_time"	"this"	"will"	"disappear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"who"	"a"	"years"	"size"	"years_who"	"who_a"	"a_size"	"by-gone_years_who"	"years_who_a"	"who_a_size"	"a_size_46"	"JJ"	"NNS"	"WP"	"VB"	"DT"	"NN"	"CD"	"one"	"begin"	"to"	"notice"	"the"	"middle-age"	"spread"	"the"	"gray"	"hairs"	"the"	"eyeglasses"	"bodies"	"that"	"be"	"too"	"thin"	"or"	"too"	"heavy"	"the"	"fading"	"signs"	"of"	"old"	"beauty"	"the"	"athlete"	"of"	"by-gone"	"years"	"who"	"a"	"size"	"suit"	"and"	"puff"	"when"	"he"	"has"	"finish"	"a"	"sentence"	"of"	"any"	"length"	"then"	"it"	"is"	"time"	"to"	"break_up"	"it"	"up"	"and"	"move_on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:04::"	"she"	"a"	"∅"	"court-length"	"∅_she"	"she_a"	"a_court-length"	"∅_∅_she"	"∅_she_a"	"she_a_court-length"	"a_court-length_gown"	"ε"	"ε"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wear"	"a"	"court-length"	"gown"	"of"	"organdy"	"design"	"with"	"bateau"	"neckline"	"and"	"princesse"	"skirt"	"accented"	"by"	"lace"	"appliques"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"she"	"a"	"∅"	"gown"	"∅_she"	"she_a"	"a_gown"	"∅_∅_she"	"∅_she_a"	"she_a_gown"	"a_gown_of"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wear"	"a"	"gown"	"of"	"satin"	"designed"	"along"	"princesse"	"lines"	"and"	"featuring"	"a"	"flared"	"skirt"	"and"	"lace"	"jacket"	"with"	"bateau"	"neckline"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"two"	"the"	"that"	"uniform"	"that_two"	"two_the"	"the_uniform"	"be_that_two"	"that_two_the"	"two_the_uniform"	"the_uniform_of"	"VB"	"IN"	"CD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"thing"	"which"	"would"	"attract"	"attention"	"be"	"that"	"two"	"wear"	"the"	"uniform"	"of"	"prison_guards"	"three"	"the"	"striped"	"suits"	"of"	"convicts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	","	"a"	"man"	"neat"	"man_,"	",_a"	"a_neat"	"big_man_,"	"man_,_a"	",_a_neat"	"a_neat_flannel"	"JJ"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"big"	"man"	"wear"	"a"	"neat"	"flannel"	"shirt"	"against"	"the"	"cold"	"foothill"	"air"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:04::"	"be"	"in"	"pins"	"the"	"pins_be"	"be_in"	"in_the"	"hair_pins_be"	"pins_be_in"	"be_in_the"	"in_the_water"	"NN"	"NNS"	"VBP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"should"	"firmly"	"insist"	"that"	"bobby_pins"	"or"	"hair"	"pins"	"be"	"wear"	"in"	"the"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"concert"	"a"	"the"	"name_tag"	"the_concert"	"concert_a"	"a_name_tag"	"to_the_concert"	"the_concert_a"	"concert_a_name_tag"	"a_name_tag_marked"	"TO"	"DT"	"NN"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"of"	"the"	"invite"	"to"	"the"	"concert"	"wear"	"a"	"name_tag"	"marked"	"with"	"a"	"red"	"white"	"and"	"blue_ribbon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:02::"	"but"	"a"	"forms"	"definite"	"forms_but"	"but_a"	"a_definite"	"traditional_forms_but"	"forms_but_a"	"but_a_definite"	"a_definite_contemporary"	"JJ"	"NNS"	"CC"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"design"	"elements"	"closely"	"to"	"traditional"	"forms"	"but"	"wear"	"a"	"definite"	"contemporary"	"label"	"keynote"	"drexel"	"fall"	"group"	"composite"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"will"	"costumes"	"guests"	"typical"	"guests_will"	"will_costumes"	"costumes_typical"	"∅_guests_will"	"guests_will_costumes"	"will_costumes_typical"	"costumes_typical_of"	"ε"	"NNS"	"MD"	"VB"	"NNS"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"will"	"wear"	"costumes"	"typical"	"of"	"the"	"chisholm_trail_days"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
