"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"2:41:01::"	"it"	"the"	":"	"top"	":_it"	"it_the"	"the_top"	"purpose_:_it"	":_it_the"	"it_the_top"	"the_top_flight"	"NN"	"ε"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"put_on"	"local"	"musicians"	"at_this_place"	"in"	"the"	"serve"	"a"	"triple"	"purpose"	"it"	"save"	"the"	"top"	"flight"	"jazz"	"men"	"from"	"being"	"waste"	"in_this"	"unenviable"	"spot"	"when"	"the"	"audience"	"be"	"cold"	"restless"	"and"	"in"	"flux"	"it"	"prevent"	"late-comers"	"from"	"miss"	"some"	"of"	"the"	"people"	"they"	"have"	"come"	"a"	"long"	"way"	"to"	"hear"	"and"	"it"	"give"	"the"	"resident"	"musicians"	"a"	"chance"	"to"	"perform"	"before"	"the"	"famous"	"newport"	"audience"	
"2:41:01::"	"was"	"from"	"i"	"make"	"i_was"	"was_from"	"from_make"	"∅_i_was"	"i_was_from"	"was_from_make"	"from_make_the"	"ε"	"PRP"	"VBD"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"save"	"from"	"make"	"the"	"decision"	"as"	"the"	"phone"	"ring"	"and"	"the"	"girls"	"be"	"upon"	"me"	"instantly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"not"	"him"	"did"	"from"	"did_not"	"not_him"	"him_from"	"escapade_did_not"	"did_not_him"	"not_him_from"	"him_from_the"	"NN"	"VBD"	"RB"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"musician"	"run_away"	"from"	"school"	"when"	"he"	"fifteen"	"but"	"this"	"escapade"	"did"	"not"	"save"	"him"	"from"	"the"	"gymnasium"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"suggest"	"money"	"who"	"by"	"who_suggest"	"suggest_money"	"money_by"	"letter_writer_who_suggest"	"who_suggest_money"	"suggest_money_by"	"money_by_take_out"	"NN"	"WP"	"VB"	"VB"	"NN"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"who"	"suggest"	"save"	"money"	"by"	"take_out"	"kids"	"out"	"of"	"school"	"at"	"should"	"have"	"sign"	"his"	"letter"	"simpleton"	"instead"	"of"	"simplicitude"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"be"	","	"will"	"however"	"will_be"	"be_,"	",_however"	"spring_cleaning_will_be"	"will_be_,"	"be_,_however"	",_however_,"	"NN"	"MD"	"VB"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"hours"	"spring_cleaning"	"will"	"be"	"save"	"however"	"if"	"you"	"remove"	"the"	"main"	"drain"	"grate"	"when"	"you"	"close"	"the"	"pool"	"season"	"in"	"the"	"fall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"to"	"and"	"cannery"	"feed"	"cannery_to"	"to_and"	"and_feed"	"the_cannery_to"	"cannery_to_and"	"to_and_feed"	"and_feed_a"	"DT"	"NN"	"TO"	"VB"	"CC"	"VB"	"DT"	"driver"	"of"	"a"	"dairy"	"truck"	"who"	"begin"	"work"	"at"	"a."	"m."	"finish"	"before"	"breakfast"	"then"	"go_out"	"and"	"grow"	"a"	"garden"	"and"	"has"	"use"	"the"	"cannery"	"save"	"and"	"feed"	"a"	"family"	"of"	"five"	"ask"	"what"	"in"	"the"	"world"	"will"	"we"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"reverend_corder"	"the"	"again"	"bridge"	"again_reverend_corder"	"reverend_corder_the"	"the_bridge"	"∅_again_reverend_corder"	"again_reverend_corder_the"	"reverend_corder_the_bridge"	"the_bridge_when"	"ε"	"RB"	"NNP"	"VB"	"DT"	"NN"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reverend_corder"	"save"	"the"	"bridge"	"when"	"union"	"soldiers"	"plan"	"to"	"destroy"	"it"	"after"	"fill"	"its"	"two"	"lanes"	"with"	"hay"	"and"	"straw"	"but"	"for"	"what"	"reason"	"is"	"not"	"record"	"nor"	"remember"	"certainly"	"not"	"because"	"of"	"pressure"	"from"	"an"	"opposing"	"confederate"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"our"	"die"	"hell-bound"	"die_to"	"to_our"	"our_hell-bound"	"and_die_to"	"die_to_our"	"to_our_hell-bound"	"our_hell-bound_souls"	"CC"	"VB"	"TO"	"VB"	"PRP$"	"JJ"	"NNS"	"0"	"0"	"0"	"be"	"put"	"a"	"rocket"	"in"	"orbit"	"half"	"so"	"significant"	"as"	"the"	"good"	"news"	"that"	"god"	"put"	"his"	"son"	"jesus_christ"	"on"	"earth"	"to"	"and"	"die"	"to"	"save"	"our"	"hell-bound"	"souls"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"not"	"everyone"	"would"	"."	"would_not"	"not_everyone"	"everyone_."	"shelters_would_not"	"would_not_everyone"	"not_everyone_."	"everyone_._∅"	"NNS"	"MD"	"RB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"to"	"protection"	"the"	"speaker"	"disapprove"	"of"	"point_out"	"that"	"fallout"	"shelters"	"would"	"not"	"save"	"everyone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	","	"his"	"questions"	"barbs"	"questions_,"	",_his"	"his_barbs"	"audience_questions_,"	"questions_,_his"	",_his_barbs"	"his_barbs_for"	"NN"	"NNS"	"ε"	"VB"	"PRP$"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"jones"	"unhappy"	"that"	"the"	"candidates"	"be"	"limited"	"to"	"eight"	"for"	"a"	"speech"	"and"	"no"	"audience"	"questions"	"save"	"his"	"barbs"	"for"	"mitchell"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
