"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"
"5:00:00:cardinal:00"	"("	")"	"paragraph"	"and"	"paragraph_("	"(_)"	")_and"	"in_paragraph_("	"paragraph_(_)"	"(_)_and"	")_and_("	"IN"	"NN"	"ε"	"JJ"	"ε"	"CC"	"ε"	"case"	"of"	"a"	"partnership"	"or"	"corporation"	"the"	"existence"	"of"	"which"	"has"	"been"	"terminate"	"and"	"on"	"behalf"	"of"	"which"	"an"	"award"	"is"	"make"	"payment"	"shall"	"be"	"make"	"except"	"as"	"provide"	"paragraph"	"and"	"the"	"person"	"or"	"person"	"find"	"by"	"the"	"comptroller_general"	"of"	"the"	"united_states"	"to"	"be"	"entitled"	"thereto"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"("	")"	"and"	"of_this"	"and_("	"(_)"	")_of_this"	")_and_("	"and_(_)"	"(_)_of_this"	")_of_this_subsection"	"ε"	"CC"	"ε"	"JJ"	"ε"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"complete"	"the"	"payment"	"prescribe"	"paragraph"	"and"	"of_this"	"subsection"	"to"	"make"	"payment"	"from_time_to_time"	"in"	"ratable"	"proportion"	"on_account_of"	"the"	"unpaid"	"principal"	"of"	"all"	"award"	"in"	"the"	"principal"	"amount"	"of"	"more_than"	"according_to"	"the"	"proportion"	"which"	"the"	"unpaid"	"principal"	"of"	"such"	"award"	"bear"	"to"	"the"	"total"	"amount"	"in"	"the"	"fund"	"available"	"for"	"distribution"	"at"	"the"	"time"	"such"	"payment"	"are"	"make"	"and"	"after"	"payment"	"has"	"been"	"make"	"of"	"the"	"principal"	"amount"	"of"	"all"	"such"	"award"	"to"	"make"	"pro_rata"	"payment"	"on_account_of"	"accrued"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	
"5:00:00:cardinal:00"	"1"	"%"	"-"	"nor"	"-_1"	"1_%"	"%_nor"	"33_-_1"	"-_1_%"	"1_%_nor"	"%_nor_more_than"	"CD"	"ε"	"JJ"	"JJ"	"ε"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"all"	"state"	"it"	"be"	"the"	"difference"	"obtain"	"by"	"subtract"	"from"	"the"	"result"	"obtain"	"in"	"item"	"above"	"except"	"that"	"state"	"shall"	"have"	"an"	"allotment"	"percentage"	"nor"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	"%"	"order"	"per_annum"	"order_of"	"of_%"	"%_per_annum"	"the_order_of"	"order_of_%"	"of_%_per_annum"	"%_per_annum_than"	"DT"	"NN"	"IN"	"JJ"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"public"	"indignation"	"and"	"resistance"	"to"	"wage"	"price"	"increase"	"be"	"much"	"less"	"when"	"the"	"increase"	"be"	"on"	"the"	"order"	"of"	"per_annum"	"than"	"when"	"the"	"increase"	"be"	"on"	"the"	"order"	"of"	"per"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	"%"	"order"	"per"	"order_of"	"of_%"	"%_per"	"the_order_of"	"order_of_%"	"of_%_per"	"%_per_month"	"DT"	"NN"	"IN"	"JJ"	"ε"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"public"	"indignation"	"and"	"resistance"	"to"	"wage"	"price"	"increase"	"be"	"obviously"	"much"	"less"	"when"	"the"	"increase"	"be"	"on"	"the"	"order"	"of"	"per_annum"	"than"	"when"	"the"	"increase"	"on"	"the"	"order"	"of"	"per"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"or"	"day"	"2"	"."	"2_or"	"or_day"	"day_."	"for_2_or"	"2_or_day"	"or_day_."	"day_._∅"	"IN"	"JJ"	"CC"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"feed"	"at"	"level"	"or"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"within"	"day"	"country"	","	"country_within"	"within_day"	"day_,"	"this_country_within"	"country_within_day"	"within_day_,"	"day_,_your"	"DT"	"NN"	"IN"	"JJ"	"NN"	"ε"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"do"	"leave"	"this"	"country"	"within"	"day"	"your"	"life"	"will"	"be"	"take"	"the"	"same"	"as"	"person"	"was"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"no."	","	","	"pp."	",_no."	"no._,"	",_pp."	"2_,_no."	",_no._,"	"no._,_pp."	",_pp._7"	"NN"	"ε"	"NN"	"NN"	"ε"	"NNS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"publish"	"basic"	"vocabulary"	"in"	"some"	"language"	"al"	"no."	"pp."	"which"	"compare"	"mon-khmer"	"language"	"with"	"the"	"i-e"	"language"	"data"	"on"	"which"	"person"	"base"	"the"	"revised"	"retention"	"rate"	"f"	"in_place_of"	"original"	"f"	"and"	"his"	"revised"	"word"	"basic"	"glottochronological"	"list"	"in"	"towards_greater_accuracy"	"ijal_21_:_121_-_137"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"table"	"and"	"in"	"4"	"in_table"	"table_and"	"and_4"	"present_in_table"	"in_table_and"	"table_and_4"	"and_4_."	"VB"	"IN"	"NN"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"statistical"	"analysis"	"of"	"achievement"	"in_relation_to"	"anxiety"	"and"	"teaching_method"	"the"	"interaction"	"of"	"the"	"two"	"are"	"present"	"in"	"table"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"figure"	"and"	"in"	"4"	"in_figure"	"figure_and"	"and_4"	"sequence_in_figure"	"in_figure_and"	"figure_and_4"	"and_4_."	"NN"	"IN"	"NN"	"JJ"	"CC"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"difference"	"between"	"the"	"sequence"	"of"	"onset"	"of"	"for"	"the"	"sex"	"govern"	"the"	"numbering"	"sequence"	"in"	"figure"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
