"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"2:33:00::"	","	"the"	"children"	"new"	"children_,"	",_the"	"the_new"	"from_children_,"	"children_,_the"	",_the_new"	"the_new_type"	"IN"	"NNS"	"ε"	"VB"	"DT"	"JJ"	"NN"	"we"	"old-fashioned"	"parents"	"who"	"still"	"feel"	"that"	"adults"	"be"	"due"	"some"	"respect"	"from"	"children"	"the"	"new"	"type"	"of"	"advertising"	"that"	"appear"	"on"	"tv"	"without"	"deny"	"the"	"children"	"the"	"use"	"of"	"television"	"entirely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	"in"	"vientiane"	"in_the"	"the_of"	"of_vientiane"	"do_in_the"	"in_the_of"	"the_of_vientiane"	"of_vientiane_,"	"VB"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"damage"	"had"	"do"	"in"	"the"	"battle"	"of"	"vientiane"	"fight"	"less_than"	"three"	"month"	"earlier"	"when"	"four"	"successive"	"government"	"had"	"rule"	"here"	"in"	"three"	"day"	"december"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	"of"	"location"	"of_the"	"the_of"	"of_location"	"climax_of_the"	"of_the_of"	"the_of_location"	"of_location_in"	"NN"	"IN"	"DT"	"NN"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first"	"half"	"of"	"the_charles_men"	"end"	"the"	"climax"	"of"	"the"	"battle"	"of"	"location"	"in"	"be"	"more"	"dramatically"	"coherent"	"than"	"the"	"second"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"go_into"	"for"	"had"	"over"	"had_go_into"	"go_into_for"	"for_over"	"which_had_go_into"	"had_go_into_for"	"go_into_for_over"	"for_over_three"	"WDT"	"VBD"	"VB"	"NN"	"IN"	"IN"	"JJ"	"it"	"happen"	"at"	"the"	"st._patrick"	"party"	"a"	"big"	"affair"	"for"	"a"	"regiment"	"which"	"had"	"battle"	"for"	"over"	"three"	"quarter"	"of"	"a"	"century"	"to"	"the"	"strain"	"of"	"an"	"irish"	"march"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	"∅"	"the"	"∅_the"	"the_of"	"of_the"	"∅_∅_the"	"∅_the_of"	"the_of_the"	"of_the_location"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"battle"	"of"	"the"	"location"	"be"	"just"	"one"	"example"	"of"	"how"	"the"	"battle_cry"	"and"	"the"	"spirit"	"of"	"the"	"group"	"have"	"pay_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"any"	"in"	"than"	"american"	"than_any"	"any_in"	"in_american"	"write_than_any"	"than_any_in"	"any_in_american"	"in_american_history"	"VB"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"although"	"it"	"be"	"at"	"the"	"battle_of_the_little_horn"	"about"	"which"	"more"	"word"	"been"	"write"	"any"	"battle"	"in"	"american"	"history"	"that"	"the"	"group"	"first"	"make"	"its"	"mark"	"in"	"history"	"the"	"regiment"	"be"	"ten"	"year"	"old"	"by"	"then"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"between"	"about"	"life"	"about_the"	"the_between"	"between_life"	"ask_about_the"	"about_the_between"	"the_between_life"	"between_life_and"	"VB"	"IN"	"DT"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"about"	"the"	"battle"	"between"	"life"	"and"	"death"	"in"	"his"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"of"	"∅"	"the"	"∅_the"	"the_of"	"of_the"	"∅_∅_the"	"∅_the_of"	"the_of_the"	"of_the_drib-drool"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"battle"	"of"	"the"	"drib-drool"	"continue"	"but"	"most"	"of"	"new_york"	"knowing"	"sophisticate"	"of"	"abstract_expressionism"	"are"	"stamp"	"their"	"foot"	"impatiently"	"in"	"expectation"	"of"	"v"	"for"	"vindication"	"day"	"september"	"first"	"when"	"person"	"first"	"one-man"	"show"	"open"	"at"	"the"	"location"	
"2:33:00::"	"the"	"group"	"honor"	"last"	"honor_the"	"the_group"	"group_last"	"they_honor_the"	"honor_the_group"	"the_group_last"	"group_last_night"	"PRP"	"VB"	"DT"	"VB"	"NNP"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"the"	"battle"	"group"	"last"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"a"	"in"	"with"	"the"	"with_a"	"a_in"	"in_the"	"1958_with_a"	"with_a_in"	"a_in_the"	"in_the_legislature"	"CD"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"open"	"his"	"race"	"governor"	"in"	"with"	"a"	"battle"	"in"	"the"	"legislature"	"against"	"the"	"issuance"	"of"	"million"	"worth"	"of"	"additional"	"rural"	"road"	"bond"	"propose"	"by"	"then"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
