"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"
"2:38:02::"	"he"	"left"	"where"	"."	"where_he"	"he_left"	"left_."	"corner_where_he"	"where_he_left"	"he_left_."	"left_._∅"	"NN"	"WRB"	"PRP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"instead"	"of"	"pull"	"into"	"the"	"curb"	"shayne"	"increase"	"speed"	"slightly"	"to"	"the"	"corner"	"where"	"he"	"swing"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"and"	"his"	"roadway"	"right"	"roadway_and"	"and_his"	"his_right"	"the_roadway_and"	"roadway_and_his"	"and_his_right"	"his_right_fist"	"DT"	"NN"	"CC"	"VB"	"PRP$"	"NN"	"NN"	"and"	"slide"	"partly"	"out"	"and"	"shayne"	"left"	"arm"	"snake"	"in"	"around"	"his"	"neck"	"to"	"help"	"him"	"while"	"he"	"set"	"himself"	"solidly"	"on"	"roadway"	"and"	"his"	"right"	"fist"	"to"	"the"	"big"	"gum-chewing"	"jaw"	"before"	"geely"	"could"	"straighten_up"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"gradually"	"from"	"has"	"a"	"has_gradually"	"gradually_from"	"from_a"	",_has_gradually"	"has_gradually_from"	"gradually_from_a"	"from_a_moderate"	"ε"	"VBZ"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dour"	"gangling"	"man"	"with"	"a"	"choppy"	"gait"	"colmer"	"look"	"than"	"his"	"years"	"has"	"gradually"	"swing"	"from"	"a"	"moderate"	"internationalist"	"to_that"	"of"	"a"	"diehard"	"conservative"	"0"	"0"	
"2:38:02::"	"and_then"	"his"	","	"feet"	",_and_then"	"and_then_his"	"his_feet"	"motions_,_and_then"	",_and_then_his"	"and_then_his_feet"	"his_feet_up"	"NNS"	"ε"	"RB"	"VB"	"PRP$"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._podger"	"sit_down"	"in"	"it"	"push"	"himself"	"back_and_forth"	"in"	"or"	"two"	"slow"	"rhythmic"	"motions"	"and_then"	"swing"	"his"	"feet"	"up"	"into"	"it"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"and"	"the"	"forward"	"guard"	"forward_and"	"and_the"	"the_guard"	"step_forward_and"	"forward_and_the"	"and_the_guard"	"the_guard_'s"	"VB"	"RB"	"CC"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"they"	"could"	"guess"	"intention"	"rankin"	"step"	"forward"	"and"	"swing"	"the"	"guard"	"own"	"gun"	"against"	"the"	"uncovered"	"head"	"hard"	"0"	"0"	
"2:38:02::"	"and"	"him"	"shoulder"	"around"	"shoulder_and"	"and_him"	"him_around"	"'s_shoulder_and"	"shoulder_and_him"	"and_him_around"	"him_around_."	"POS"	"NN"	"CC"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"barton"	"catch"	"the"	"man"	"shoulder"	"and"	"swing"	"him"	"around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"and"	"his"	"blanket"	"feet"	"blanket_and"	"and_his"	"his_feet"	"light_blanket_and"	"blanket_and_his"	"and_his_feet"	"his_feet_off"	"NN"	"NN"	"CC"	"VB"	"PRP$"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"throw_off"	"light"	"blanket"	"and"	"swing"	"his"	"feet"	"off"	"the"	"bunk"	"to"	"the"	"floor"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"clayton"	"into"	"∅"	"the"	"∅_clayton"	"clayton_into"	"into_the"	"∅_∅_clayton"	"∅_clayton_into"	"clayton_into_the"	"into_the_saddle"	"ε"	"ε"	"NNP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"swing"	"into"	"the"	"saddle"	"and"	"whack"	"the"	"stallion"	"rump"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"up"	"∅"	"over"	"∅_he"	"he_up"	"up_over"	"∅_∅_he"	"∅_he_up"	"he_up_over"	"up_over_the"	"ε"	"ε"	"PRP"	"VB"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"swing"	"up"	"over"	"the"	"wheel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"∅"	"up"	"∅"	"then"	"∅_∅"	"∅_up"	"up_then"	"∅_∅_∅"	"∅_∅_up"	"∅_up_then"	"up_then_,"	"ε"	"ε"	"ε"	"VB"	"IN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"up"	"then"	"and"	"bend"	"forward"	"over"	"the"	"horn"	"he"	"urge"	"his"	"mount"	"down"	"the"	"meandering"	"draw"	"0"	
"2:38:02::"	"he"	"the"	"and"	"handle"	"and_he"	"he_the"	"the_handle"	",_and_he"	"and_he_the"	"he_the_handle"	"the_handle_in"	"ε"	"CC"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"tine"	"break_off"	"under"	"twisting"	"and"	"he"	"swing"	"the"	"handle"	"in"	"an"	"attempt"	"to"	"knock_out"	"person"	"brain"	"out"	"0"	"0"	"0"	
"2:38:02::"	"start"	"an"	"just"	"ax"	"just_start"	"start_an"	"an_ax"	"had_just_start"	"just_start_an"	"start_an_ax"	"an_ax_at"	"VBD"	"RB"	"VB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"just"	"start"	"swing"	"an"	"ax"	"at"	"his"	"second"	"willow"	"when"	"the"	"distant"	"blast"	"of"	"a"	"rifle"	"sound"	
