"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"
"3:00:00::"	"and"	"live"	"expense"	"cost"	"expense_and"	"and_live"	"live_cost"	"fixed_expense_and"	"expense_and_live"	"and_live_cost"	"live_cost_."	"JJ"	"NN"	"CC"	"JJ"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"part-time"	"farming"	"give"	"a"	"measure"	"of"	"security"	"if"	"the"	"regular"	"job"	"is"	"lose"	"provide"	"the"	"farm"	"is"	"own"	"free_of"	"debt"	"furnish"	"enough"	"income"	"to"	"fixed"	"expense"	"and"	"minimum"	"live"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"to"	"inconvenience"	"eye"	"to"	"eye_to"	"to_inconvenience"	"inconvenience_to"	"an_eye_to"	"eye_to_inconvenience"	"to_inconvenience_to"	"inconvenience_to_the"	"DT"	"NN"	"TO"	"JJ"	"NN"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consider"	"adopt"	"a"	"system"	"of"	"holiday"	"in"	"time_off"	"is"	"grant"	"with"	"an"	"eye"	"to"	"minimum"	"inconvenience"	"to"	"the"	"operation"	"of"	"the"	"plant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"impose"	"personnel"	"previously"	"strength"	"previously_impose"	"impose_personnel"	"personnel_strength"	"its_previously_impose"	"previously_impose_personnel"	"impose_personnel_strength"	"personnel_strength_limitation"	"PRP$"	"RB"	"VB"	"JJ"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"year"	"the"	"discontinue"	"its"	"previously"	"impose"	"minimum"	"personnel"	"strength"	"limitation"	"on"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"its"	"("	"less_than"	"base"	"less_than_its"	"its_("	"(_base"	"be_less_than_its"	"less_than_its_("	"its_(_base"	"(_base_)"	"VB"	"RB"	"PRP$"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"if"	"the"	"particular"	"state"	"unadjusted"	"allotment"	"result"	"obtain"	"item"	"above"	"be"	"less_than"	"its"	"minimum"	"base"	"allotment"	"and"	"if"	"so"	"raise"	"its"	"unadjusted"	"allotment"	"to"	"its"	"minimum"	"allotment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"its"	"allotment"	"to"	"."	"to_its"	"its_allotment"	"allotment_."	"allotment_to_its"	"to_its_allotment"	"its_allotment_."	"allotment_._∅"	"NN"	"TO"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"determine"	"if"	"the"	"particular"	"state"	"unadjusted"	"allotment"	"result"	"obtain"	"in"	"item"	"above"	"be"	"less_than"	"its"	"minimum"	"base"	"allotment"	"and"	"if"	"raise"	"its"	"unadjusted"	"allotment"	"to"	"its"	"allotment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"specified"	"in"	"the"	"those"	"the_specified"	"specified_in"	"in_those"	"to_the_specified"	"the_specified_in"	"specified_in_those"	"in_those_state"	"TO"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"funds"	"recoup"	"by"	"reduction"	"in"	"item"	"above"	"are"	"use"	"to"	"increase"	"the"	"unadjusted"	"allotment"	"to"	"the"	"specified"	"minimum"	"in"	"those"	"state"	"where"	"the"	"unadjusted"	"allotment"	"be"	"less"	"than"	"the"	"minimum"	"allotment"	"item"	"above"	"and"	"second"	"to"	"increase"	"uniformly"	"the"	"allotment"	"to"	"those"	"state"	"whose"	"allotment"	"be"	"below"	"their"	"maximum"	"with"	"adjustment"	"to"	"prevent"	"the"	"allotment"	"of"	"any"	"state"	"from"	"thereby"	"exceed"	"its"	"maximum"	
"3:00:00::"	"the"	"allotment"	"than"	"("	"than_the"	"the_allotment"	"allotment_("	"less_than_the"	"than_the_allotment"	"the_allotment_("	"allotment_(_item"	"RB"	"RB"	"DT"	"JJ"	"NN"	"ε"	"NN"	"recoup"	"by"	"reduction"	"in"	"item"	"above"	"are"	"use"	"first"	"to"	"increase"	"the"	"unadjusted"	"allotment"	"to"	"the"	"specified"	"minimum"	"in"	"those"	"state"	"where"	"the"	"unadjusted"	"allotment"	"be"	"than"	"the"	"allotment"	"item"	"above"	"and"	"second"	"to"	"increase"	"uniformly"	"the"	"allotment"	"to"	"those"	"state"	"whose"	"allotment"	"be"	"below"	"their"	"maximum"	"with"	"adjustment"	"to"	"prevent"	"the"	"allotment"	"of"	"any"	"state"	"from"	"thereby"	"exceed"	"its"	"maximum"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"their"	"("	"that"	"base"	"that_their"	"their_("	"(_base"	"specify_that_their"	"that_their_("	"their_(_base"	"(_base_)"	"VB"	"IN"	"PRP$"	"JJ"	"ε"	"JJ"	"ε"	"0"	"for"	"the"	"state"	"which"	"maintain"	"two"	"agency"	"one"	"for"	"the"	"vocational"	"rehabilitation"	"of"	"the"	"blind"	"and"	"one"	"for"	"the"	"rehabilitation"	"of"	"person"	"other_than"	"blind"	"the"	"act"	"specify"	"their"	"minimum"	"base"	"allotment"	"shall"	"be"	"divide"	"between"	"the"	"two"	"agency"	"in"	"the"	"same"	"proportion"	"as"	"it"	"was"	"divide"	"in"	"fiscal_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"a"	"of"	"at_least"	"strength"	"at_least_a"	"a_of"	"of_strength"	"develop_at_least_a"	"at_least_a_of"	"a_of_strength"	"of_strength_."	"VB"	"RB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"handstand"	"come"	"after"	"arm"	"chest"	"shoulder"	"have"	"develop"	"at_least"	"a"	"minimum"	"of"	"strength"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"supply"	"create"	"of"	"create_a"	"a_supply"	"supply_of"	"in_create_a"	"create_a_supply"	"a_supply_of"	"supply_of_modern_man"	"IN"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"look_at"	"country"	"like"	"iran"	"iraq"	"pakistan"	"and"	"burma"	"where"	"substantial"	"has"	"been"	"make"	"in"	"create"	"a"	"minimum"	"supply"	"of"	"modern_man"	"and"	"of"	"social"	"overhead"	"capital"	"and"	"where"	"institution"	"of"	"centralized"	"government"	"exist"	"we"	"find"	"a"	"second"	"category"	"of"	"country"	"with"	"a"	"different"	"set"	"of"	"problem"	"and"	"hence"	"different"	"priority"	"for"	"policy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
