"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"4:02:00::"	"humorist"	"mention"	"early"	","	"early_humorist"	"humorist_mention"	"mention_,"	"the_early_humorist"	"early_humorist_mention"	"humorist_mention_,"	"mention_,_person"	"DT"	"JJ"	"NN"	"RB"	"VB"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"early"	"humorist"	"already"	"mention"	"person"	"can"	"be"	"use"	"to"	"illustrate"	"another"	"point"	"where"	"person"	"touch"	"authentic"	"southern"	"material"	"and"	"also"	"earlier"	"literary"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"family"	"have"	"some"	"hold"	"some_family"	"family_have"	"have_hold"	"∅_some_family"	"some_family_have"	"family_have_hold"	"have_hold_weekend"	"ε"	"DT"	"NN"	"RB"	"VBP"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"family"	"already"	"have"	"hold"	"weekend"	"rehearsal"	"in"	"their"	"home"	"shelter"	"to"	"learn"	"the"	"problem"	"and"	"to"	"determine"	"for"	"themselves"	"what"	"supplies"	"they"	"would"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"had"	"and"	"she"	"had"	"she_had"	"had_and"	"and_had"	",_she_had"	"she_had_and"	"had_and_had"	"and_had_dandily"	"ε"	"PRP"	"VBD"	"RB"	"CC"	"VBD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as_far_as"	"i"	"be"	"she"	"had"	"already"	"and"	"had"	"dandily"	"show"	"what"	"she"	"could"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"are"	"commit"	"we"	"to"	"we_are"	"are_commit"	"commit_to"	"∅_we_are"	"we_are_commit"	"are_commit_to"	"commit_to_establish"	"ε"	"PRP"	"VBP"	"RB"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"already"	"commit"	"to"	"establish"	"man"	"supremacy"	"over"	"nature"	"and"	"everywhere"	"on"	"earth"	"not"	"merely"	"in"	"the"	"limited"	"social"	"political"	"economical"	"context"	"we"	"be"	"fond"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"have"	"witness"	"we"	"great"	"we_have"	"have_witness"	"witness_great"	"∅_we_have"	"we_have_witness"	"have_witness_great"	"witness_great_change"	"ε"	"PRP"	"VBP"	"RB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"already"	"witness"	"great"	"change"	"through"	"merger"	"and"	"acquisition"	"in"	"the"	"food"	"industry"	"at"	"both"	"the"	"manufacturing"	"and"	"retail"	"end"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"were"	"indication"	"there"	"of"	"there_were"	"were_indication"	"indication_of"	",_there_were"	"there_were_indication"	"were_indication_of"	"indication_of_melioration"	"ε"	"EX"	"VBD"	"RB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"only"	"eighteen"	"year"	"noninterference"	"there"	"were"	"already"	"indication"	"of"	"melioration"	"though"	"in"	"a"	"slight"	"degree"	"to_be_sure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"-"	"exist"	"reporting"	"between"	"reporting_-"	"-_exist"	"exist_between"	"newspaper_reporting_-"	"reporting_-_exist"	"-_exist_between"	"exist_between_catholic"	"NN"	"NN"	"ε"	"RB"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"second"	"step"	"be"	"to"	"recognize"	"the"	"substantial"	"agreement"	"blur"	"by"	"emotionalism"	"and"	"inaccurate"	"newspaper"	"reporting"	"already"	"exist"	"between"	"catholic"	"and"	"non-catholic"	"concern"	"the"	"overall"	"objective"	"of"	"family_planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"had"	"tell"	"he"	"the"	"he_had"	"had_tell"	"tell_the"	"that_he_had"	"he_had_tell"	"had_tell_the"	"tell_the_police_chief"	"IN"	"PRP"	"VBD"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"say"	"he"	"had"	"already"	"tell"	"the"	"police_chief"	"that"	"he"	"did"	"n't"	"know"	"what"	"insurance"	"man"	"had"	"recommend"	"person"	"to"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"has"	"be"	"which"	"lost"	"which_has"	"has_be"	"be_lost"	"of_which_has"	"which_has_be"	"has_be_lost"	"be_lost_to"	"RB"	"RB"	"VBZ"	"RB"	"VB"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meanwhile"	"he"	"has"	"been"	"think_about"	"the"	"fact"	"surround"	"the"	"problem"	"fact"	"which"	"he"	"know"	"never"	"be"	"complete"	"and"	"the"	"general"	"background"	"much"	"of"	"which"	"has"	"already"	"be"	"lost"	"to"	"history"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"is"	"begin"	"he"	"to"	"he_is"	"is_begin"	"begin_to"	"∅_he_is"	"he_is_begin"	"is_begin_to"	"begin_to_box"	"ε"	"PRP"	"VBZ"	"RB"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"is"	"already"	"begin"	"to"	"box"	"the"	"compass"	"of"	"alternative"	"line"	"of"	"action"	"include"	"do"	"nothing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
