"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"2:41:00::"	"to"	"the"	"attention"	"berlin"	"attention_to"	"to_the"	"the_berlin"	"and_attention_to"	"attention_to_the"	"to_the_berlin"	"the_berlin_crisis"	"CC"	"NN"	"TO"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"today"	"push_aside"	"white_house"	"business"	"to"	"all"	"his"	"time"	"and"	"attention"	"to"	"work_on"	"the"	"berlin"	"crisis"	"address"	"he"	"will"	"deliver"	"tomorrow"	"night"	"to"	"the"	"american"	"people"	"over"	"nationwide"	"television"	"and"	"radio"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"whether"	"right"	","	"or"	",_whether"	"whether_right"	"right_or"	"another_,_whether"	",_whether_right"	"whether_right_or"	"right_or_wrong"	"DT"	"ε"	"IN"	"VB"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"change"	"from"	"one"	"to"	"another"	"whether"	"work_on"	"right"	"or"	"wrong"	"side"	"pick_up"	"the"	"new"	"strand"	"from"	"underneath"	"drop"	"strand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"i"	"the"	"∅"	"schuylkill_expressway"	"∅_i"	"i_the"	"the_schuylkill_expressway"	"∅_∅_i"	"∅_i_the"	"i_the_schuylkill_expressway"	"the_schuylkill_expressway_and"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"work_on"	"the"	"schuylkill_expressway"	"and"	"if"	"it"	"had"	"not"	"been"	"for"	"the"	"big"	"trucks"	"carry"	"rock"	"and"	"concrete"	"there"	"would"	"n't"	"be"	"an"	"expressway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"has"	"the"	"and"	"half-mile"	"and_has"	"has_the"	"the_half-mile"	"trot_and_has"	"and_has_the"	"has_the_half-mile"	"the_half-mile_in"	"NN"	"CC"	"VBZ"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sam_caton"	"butterwyn"	"scotch_victor-butler_wyn"	"a"	"light"	"bay"	"filly"	"know"	"but"	"trot"	"and"	"has"	"work_on"	"the"	"half-mile"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"impossible"	"line"	"impossible_to"	"to_the"	"the_line"	"be_impossible_to"	"impossible_to_the"	"to_the_line"	"the_line_until"	"VB"	"JJ"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"division"	"say"	"would"	"be"	"impossible"	"to"	"work_on"	"the"	"line"	"until"	"then"	"because"	"of"	"the"	"large"	"amount"	"of"	"acid"	"sewage"	"from"	"jewelry"	"plants"	"in"	"the"	"area"	"flow"	"through"	"the"	"line"	"heavy"	"vehicle_traffic"	"on"	"eddy_street"	"and"	"tide"	"conditions"	
"2:41:00::"	"was"	"him"	"disturbance"	"as"	"disturbance_was"	"was_him"	"him_as"	"inner_disturbance_was"	"disturbance_was_him"	"was_him_as"	"him_as_he"	"JJ"	"NN"	"VBD"	"VB"	"PRP"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"keep"	"his"	"smile"	"fixed"	"some"	"small"	"inner"	"disturbance"	"was"	"work_on"	"him"	"as"	"he"	"think"	"again"	"about"	"person"	"who"	"be"	"eight"	"or"	"ten"	"year"	"old"	"than"	"the"	"girl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"."	"material"	"∅"	"material_to"	"to_."	"._∅"	"strong_material_to"	"material_to_."	"to_._∅"	"._∅_∅"	"JJ"	"NN"	"JJ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"they"	"would"	"produce"	"some"	"very"	"memorable"	"and"	"lasting"	"person"	"and"	"person"	"were"	"not"	"give"	"strong"	"material"	"to"	"work_on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"the"	"flexibility"	"back_circle"	"flexibility_,"	",_the"	"the_back_circle"	"back_flexibility_,"	"flexibility_,_the"	",_the_back_circle"	"the_back_circle_."	"NN"	"NN"	"ε"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"further"	"back"	"flexibility"	"work_on"	"the"	"back_circle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"a"	"person"	"3-hitter"	"person_was"	"was_a"	"a_3-hitter"	"∅_person_was"	"person_was_a"	"was_a_3-hitter"	"a_3-hitter_when"	"ε"	"NNP"	"VBD"	"VB"	"DT"	"NN"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"work_on"	"a"	"when"	"the"	"group"	"bunch"	"three"	"of"	"their"	"eight"	"hit"	"for"	"two"	"run"	"in"	"the"	"sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"extant"	","	"or"	",_to"	"to_extant"	"extant_or"	"of_course_,_to"	",_to_extant"	"to_extant_or"	"extant_or_projected"	"RB"	"ε"	"TO"	"VB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"to"	"work_on"	"extant"	"or"	"projected"	"building"	"where"	"either"	"architect"	"or"	"owner"	"will"	"explain"	"their"	"necessity"	"so_that"	"the"	"student"	"may"	"get"	"the"	"feel"	"of"	"real"	"interior_design"	"demand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
