"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"1:14:00::"	"the"	"had"	"∅"	"filter"	"∅_the"	"the_had"	"had_filter"	"∅_∅_the"	"∅_the_had"	"the_had_filter"	"had_filter_across"	"ε"	"ε"	"DT"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"enemy"	"had"	"filter"	"across"	"the"	"river"	"during"	"the"	"night"	"and"	"a"	"full"	"force"	"of"	"man"	"armed"	"with"	"russian"	"machine_gun"	"attack"	"the"	"hold"	"by"	"person"	"man"	
"5:00:00:hostile:02"	"∅"	"reinforcement"	"∅"	"come"	"∅_∅"	"∅_reinforcement"	"reinforcement_come"	"∅_∅_∅"	"∅_∅_reinforcement"	"∅_reinforcement_come"	"reinforcement_come_pour"	"ε"	"ε"	"ε"	"JJ"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reinforcement"	"come"	"pour"	"down"	"seek"	"a"	"soft_spot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	","	"be"	"tactically"	"be_the"	"the_,"	",_tactically"	"it_be_the"	"be_the_,"	"the_,_tactically"	",_tactically_his"	"PRP"	"VB"	"DT"	"NN"	"ε"	"RB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"be"	"the"	"enemy"	"tactically"	"his"	"be"	"correct"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"."	"find"	"∅"	"find_the"	"the_."	"._∅"	"had_find_the"	"find_the_."	"the_._∅"	"._∅_∅"	"VBD"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"as"	"he"	"say"	"it"	"know"	"they"	"had"	"find"	"the"	"enemy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	","	"on"	"use"	"on_the"	"the_,"	",_use"	"lead_on_the"	"on_the_,"	"the_,_use"	",_use_a"	"NN"	"VB"	"DT"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"take"	"lead"	"on"	"the"	"enemy"	"use"	"a"	"distance"	"of"	"five"	"of"	"the"	"radius"	"in"	"his"	"circular"	"sight"	"and_then"	"add"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"his"	"were"	"if"	"dispose"	"if_his"	"his_were"	"were_dispose"	"have_if_his"	"if_his_were"	"his_were_dispose"	"were_dispose_to"	"VB"	"IN"	"PRP$"	"NN"	"VBD"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"we"	"look_at"	"the"	"situation"	"this"	"way"	"we"	"can"	"get"	"an"	"idea"	"of"	"person"	"nightmarish"	"worry"	"or"	"at_least"	"of"	"the"	"worry"	"he"	"might"	"if"	"his"	"enemy"	"were"	"dispose"	"to"	"exploit"	"their"	"advantage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"an"	"would"	"for"	"be"	"for_an"	"an_would"	"would_be"	"bw_for_an"	"for_an_would"	"an_would_be"	"would_be_to"	"NN"	"IN"	"DT"	"NN"	"MD"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"important"	"operational"	"in"	"bw"	"for"	"an"	"enemy"	"would"	"be"	"to"	"create"	"an"	"aerosol"	"or"	"cloud"	"of"	"agent"	"over"	"the"	"target_area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"an"	"would"	"∅"	"obviously"	"∅_an"	"an_would"	"would_obviously"	"∅_∅_an"	"∅_an_would"	"an_would_obviously"	"would_obviously_choose"	"ε"	"ε"	"DT"	"NN"	"MD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"enemy"	"would"	"obviously"	"choose"	"an"	"agent"	"that"	"is"	"believe"	"to"	"be"	"highly"	"infectious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"an"	"might"	"what"	"accomplish"	"what_an"	"an_might"	"might_accomplish"	"be_what_an"	"what_an_might"	"an_might_accomplish"	"might_accomplish_in"	"VB"	"WP"	"DT"	"NN"	"MD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"major"	"be"	"what"	"an"	"enemy"	"might"	"accomplish"	"in"	"an"	"initial"	"attack"	"on"	"a"	"target"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"through"	"sabotage"	"delivery"	"which"	"delivery_through"	"through_sabotage"	"sabotage_which"	"for_delivery_through"	"delivery_through_sabotage"	"through_sabotage_which"	"sabotage_which_impose"	"IN"	"NN"	"IN"	"NN"	"NN"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"biological"	"agent"	"be"	"moreover"	"for"	"delivery"	"through"	"enemy"	"sabotage"	"which"	"impose"	"many"	"problem"	"in"	"defense"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
