"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"2:30:00::"	"man"	"of"	"my"	"the"	"my_man"	"man_of"	"of_the"	"before_my_man"	"my_man_of"	"man_of_the"	"of_the_office_building"	"IN"	"PRP$"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"wait"	"a"	"solid"	"hours"	"before"	"my"	"man"	"come_out"	"of"	"the"	"office_building"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"man"	"an"	"my"	"hour"	"my_man"	"man_an"	"an_hour"	"∅_my_man"	"my_man_an"	"man_an_hour"	"an_hour_later"	"ε"	"PRP$"	"NN"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"man"	"come_out"	"an"	"hour"	"later"	"drive"	"to"	"the"	"beach"	"turn"	"right"	"and"	"after"	"half"	"a"	"mile"	"go"	"to"	"the"	"swim"	"and"	"tan_motel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"was"	"of"	"man"	"the"	"man_was"	"was_of"	"of_the"	"my_man_was"	"man_was_of"	"was_of_the"	"of_the_office"	"PRP$"	"NN"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"wait"	"my"	"man"	"was"	"come_out"	"of"	"the"	"office"	"with"	"the"	"key"	"to"	"a"	"cabin"	"before"	"i"	"go_in"	"to"	"register"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"figure"	"of"	"emaciated"	"the"	"emaciated_figure"	"figure_of"	"of_the"	",_emaciated_figure"	"emaciated_figure_of"	"figure_of_the"	"of_the_lounge"	"ε"	"JJ"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"turn"	"then"	"to"	"look"	"toward"	"the"	"lighted"	"boulevard"	"see"	"rourke"	"tall"	"emaciated"	"figure"	"come_out"	"of"	"the"	"lounge"	"and"	"hurriedly"	"start"	"to"	"angle"	"across"	"the"	"street"	"toward"	"the"	"opposite"	"side"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"not"	"of"	"did"	"the"	"did_not"	"not_of"	"of_the"	"he_did_not"	"did_not_of"	"not_of_the"	"of_the_doorway"	"PRP"	"VBD"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"b"	"dikkat"	"grudgingly"	"agree"	"he"	"did"	"not"	"come_out"	"of"	"the"	"doorway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"mr._podger"	"on"	","	"the"	",_mr._podger"	"mr._podger_on"	"on_the"	"all_,_mr._podger"	",_mr._podger_on"	"mr._podger_on_the"	"on_the_pod"	"DT"	"ε"	"NNP"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_midst"	"of_it"	"mr._podger"	"come_out"	"on"	"the"	"pod"	"porch"	"alone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:04::"	","	"of"	"years"	"all"	"years_,"	",_of"	"of_all"	"fifty_years_,"	"years_,_of"	",_of_all"	"of_all_uncertainty"	"CD"	"NNS"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"within"	"the"	"fifty"	"years"	"come_out"	"of"	"all"	"uncertainty"	"into"	"a"	"faith"	"which"	"be"	"a"	"dominating"	"conviction"	"of"	"the"	"truth"	"and"	"about"	"which"	"i"	"have"	"not"	"a"	"shadow"	"of"	"doubt"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"leaders"	"of"	"party"	"the"	"party_leaders"	"leaders_of"	"of_the"	"∅_party_leaders"	"party_leaders_of"	"leaders_of_the"	"of_the_final"	"ε"	"NN"	"NNS"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"leaders"	"come_out"	"of"	"the"	"final"	"meeting"	"apparently"	"satisfied"	"and"	"state"	"that"	"complete"	"agreement"	"had"	"been"	"reach"	"on"	"a"	"solution"	"to"	"the"	"crisis"	"create"	"by"	"the"	"elections"	"which"	"leave"	"no"	"party"	"with"	"enough"	"strength"	"to"	"form"	"a"	"government"	"on"	"its"	"own"	
"2:30:01::"	"nixon"	"in"	"vice_president"	"support"	"vice_president_nixon"	"nixon_in"	"in_support"	"former_vice_president_nixon"	"vice_president_nixon_in"	"nixon_in_support"	"in_support_of"	"JJ"	"NN"	"NNP"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"former"	"nixon"	"come_out"	"in"	"support"	"of"	"president_kennedy"	"program"	"for"	"step_up"	"the"	"arms_race"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"woman"	"of"	"a"	"the"	"a_woman"	"woman_of"	"of_the"	"just_as_a_woman"	"a_woman_of"	"woman_of_the"	"of_the_cottage"	"RB"	"DT"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"start"	"to"	"move"	"just_as"	"a"	"woman"	"come_out"	"of"	"the"	"cottage"	"a"	"big-boned"	"drab-haired"	"figure"	"with"	"a"	"clean"	"apron"	"tied"	"over"	"her"	"limp"	"print"	"dress"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"had"	"."	"sun"	"∅"	"sun_had"	"had_."	"._∅"	"the_sun_had"	"sun_had_."	"had_._∅"	"._∅_∅"	"DT"	"NN"	"VBD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"sea"	"be"	"visible"	"ahead"	"of"	"them"	"the"	"be"	"as"	"great"	"as"	"if"	"the"	"sun"	"had"	"come_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"n't"	"and"	"won"	"help"	"won_n't"	"n't_and"	"and_help"	"teammate_won_n't"	"won_n't_and"	"n't_and_help"	"and_help_him"	"NN"	"VBD"	"RB"	"VB"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"a"	"helluva"	"thing"	"person"	"say"	"look"	"at"	"person"	"when"	"a"	"own"	"teammate"	"won"	"n't"	"come_out"	"and"	"help"	"him"	"in"	"a"	"fight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
