"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"
"4:02:00::"	","	"a"	"organization"	"powerful"	"organization_,"	",_a"	"a_powerful"	"religious_organization_,"	"organization_,_a"	",_a_powerful"	"a_powerful_or"	"JJ"	"NN"	"ε"	"RB"	"DT"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"always"	"a"	"for"	"a"	"religious"	"organization"	"especially"	"a"	"powerful"	"or"	"dominant"	"one"	"to"	"impose"	"through"	"the"	"clenched_fist"	"of"	"the"	"law"	"its"	"creedal"	"viewpoint"	"upon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"-"	"in"	"and"	"the"	"and_-"	"-_in"	"in_the"	"nature_and_-"	"and_-_in"	"-_in_the"	"in_the_remarkable"	"NN"	"CC"	"ε"	"RB"	"IN"	"DT"	"JJ"	"texture"	"of"	"this"	"tapestry"	"of"	"history"	"and"	"human"	"drama"	"person"	"as"	"every"	"artist"	"delight"	"to"	"do"	"weave"	"strand"	"of"	"her"	"own"	"intuitive"	"insight"	"into"	"human"	"nature"	"especially"	"the"	"remarkable"	"story"	"of"	"the"	"attraction"	"and"	"conflict"	"between"	"two"	"so"	"disparate"	"and"	"fervent"	"character"	"as"	"this"	"pair"	"into"	"the"	"relations"	"of"	"man"	"and"	"woman"	"in"	"their"	"relations"	"she"	"be"	"the"	"giver"	"and"	"he"	"the"	"receiver"	"nay"	"the"	"demander"	
"4:02:00::"	","	"since"	"report"	"he"	"report_,"	",_since"	"since_he"	"and_report_,"	"report_,_since"	",_since_he"	"since_he_fail"	"CC"	"NN"	"ε"	"RB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"petitioner"	"was"	"not"	"entitle"	"to"	"have"	"hearing_officer"	"note"	"and"	"report"	"especially"	"since"	"he"	"fail"	"to"	"show"	"any"	"particular"	"need"	"for"	"them"	"and"	"he"	"did"	"have"	"a"	"copy"	"of"	"the"	"group"	"recommendation"	"to"	"the"	"appeal_board"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"the"	"century"	"beautifully"	"century_,"	",_the"	"the_beautifully"	"nineteenth_century_,"	"century_,_the"	",_the_beautifully"	"the_beautifully_pattern"	"JJ"	"NN"	"ε"	"RB"	"DT"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"essentially"	"a"	"landscape"	"painter"	"whose"	"style"	"and"	"direction"	"have"	"a"	"kinship"	"with"	"english"	"watercolorist"	"of"	"the"	"early"	"nineteenth"	"century"	"especially"	"the"	"beautifully"	"pattern"	"art"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"("	"clay"	"dirt"	"soil"	"dirt_("	"(_clay"	"clay_soil"	"the_dirt_("	"dirt_(_clay"	"(_clay_soil"	"clay_soil_)"	"DT"	"NN"	"ε"	"RB"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"from"	"the"	"equilibrium"	"sorption"	"data"	"which"	"be"	"available"	"it"	"seem"	"logical"	"to"	"expect"	"that"	"polyphosphate"	"ion"	"would"	"be"	"strongly"	"sorb"	"on"	"the"	"surface"	"the"	"dirt"	"especially"	"clay"	"soil"	"so"	"as"	"to"	"give"	"it"	"a"	"greatly"	"increased"	"negative_charge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"at"	"good"	"the"	"good_,"	",_at"	"at_the"	"than_good_,"	"good_,_at"	",_at_the"	"at_the_minor_league"	"IN"	"NN"	"ε"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"an"	"irritable"	"rule"	"that"	"baseball"	"more"	"harm"	"than"	"good"	"especially"	"at"	"the"	"minor_league"	"level"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"alone"	"alone"	"in"	"alone_,"	",_alone"	"alone_in"	"be_alone_,"	"alone_,_alone"	",_alone_in"	"alone_in_her"	"VB"	"JJ"	"ε"	"RB"	"JJ"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"enjoy"	"great"	"party"	"when"	"she"	"would"	"sit_up"	"talk"	"and"	"dance"	"and"	"drink"	"all"	"night"	"but"	"it"	"always"	"seem"	"to"	"that"	"be"	"alone"	"especially"	"alone"	"in"	"her"	"house"	"be"	"the"	"real"	"part"	"of"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"in"	"prejudice"	"state-supported"	"prejudice_,"	",_in"	"in_state-supported"	"segregationist_prejudice_,"	"prejudice_,_in"	",_in_state-supported"	"in_state-supported_university"	"NN"	"NN"	"ε"	"RB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"account"	"have"	"been"	"publish"	"of"	"northern"	"in"	"the"	"south"	"up_against"	"segregationist"	"prejudice"	"especially"	"in"	"state-supported"	"university"	"where"	"pressure"	"may"	"be"	"strong"	"to"	"uphold"	"the"	"majority"	"view"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"possible"	"large"	"be"	"anaconda"	"be_possible"	"possible_large"	"large_anaconda"	"it_be_possible"	"be_possible_large"	"possible_large_anaconda"	"large_anaconda_will"	"PRP"	"VB"	"IN"	"RB"	"JJ"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"possible"	"especially"	"large"	"anaconda"	"will"	"prove"	"to"	"belong_to"	"subspecies"	"limit"	"to"	"a"	"small"	"area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"the"	","	"closely"	",_and"	"and_the"	"the_closely"	"symbolism_,_and"	",_and_the"	"and_the_closely"	"the_closely_related"	"NN"	"ε"	"CC"	"RB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"religious"	"and"	"especially"	"the"	"closely"	"related"	"rite"	"and"	"worship"	"form"	"constitute"	"a"	"powerful"	"bond"	"for"	"the"	"member"	"of"	"the"	"particular"	"faith"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
