"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"
"2:36:00::"	"might"	"the"	"legislative_council"	"review"	"legislative_council_might"	"might_the"	"the_review"	"the_legislative_council_might"	"legislative_council_might_the"	"might_the_review"	"the_review_,"	"DT"	"NN"	"MD"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"city_council"	"that"	"the"	"legislative_council"	"might"	"perform"	"the"	"review"	"mr._notte"	"say"	"that"	"instead"	"he"	"will"	"take_up"	"the_matter"	"with"	"atty._gen._j._joseph_nugent"	"to"	"get"	"the"	"benefit"	"of"	"his"	"views"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"to"	"before"	"chance"	"the"	"chance_to"	"to_before"	"before_the"	"a_chance_to"	"chance_to_before"	"to_before_the"	"before_the_famous"	"DT"	"NN"	"TO"	"VB"	"IN"	"DT"	"JJ"	"musicians"	"at_this_place"	"in"	"the"	"program"	"serve"	"a"	"triple"	"purpose"	"it"	"save"	"the"	"top"	"flight"	"jazz"	"men"	"from"	"being"	"waste"	"in_this"	"unenviable"	"spot"	"when"	"the"	"audience"	"be"	"cold"	"restless"	"and"	"in"	"flux"	"it"	"prevent"	"late-comers"	"from"	"miss"	"some"	"of"	"the"	"people"	"they"	"have"	"come"	"a"	"long"	"way"	"to"	"hear"	"and"	"it"	"give"	"resident"	"musicians"	"a"	"chance"	"to"	"before"	"the"	"famous"	"newport"	"audience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"for"	"a"	"them"	"``"	"them_for"	"for_a"	"a_``"	"acclaim_them_for"	"them_for_a"	"for_a_``"	"a_``_great"	"VB"	"PRP"	"IN"	"VB"	"DT"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"after"	"several"	"correspondents"	"go_into"	"pathet_lao"	"territory"	"and"	"the"	"huge"	"build-up"	"administration"	"spokesmen"	"acclaim"	"them"	"for"	"perform"	"a"	"great"	"service"	"and"	"lay"	"the_matter"	"before"	"the"	"southeast_asia_treaty_organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	","	"simple"	"olga_moiseyeva"	"miracles"	"olga_moiseyeva_,"	",_simple"	"simple_miracles"	",_olga_moiseyeva_,"	"olga_moiseyeva_,_simple"	",_simple_miracles"	"simple_miracles_of"	"ε"	"NNP"	"ε"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"its"	"ballerina"	"perform"	"simple"	"miracles"	"of"	"beauty"	"and"	"ludmilla_alexeyeva"	"inna_korneyeva"	"and"	"gabrielle_komleva"	"make_up"	"a"	"threesome"	"of"	"exquisite"	"accomplishments"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"has"	"in"	","	"an"	",_has"	"has_in"	"in_an"	"today_,_has"	",_has_in"	"has_in_an"	"in_an_atmosphere"	"NN"	"ε"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"general_assembly"	"which"	"today"	"has"	"perform"	"in"	"an"	"atmosphere"	"of"	"crisis"	"and"	"struggle"	"from"	"the"	"day"	"it"	"convene"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	","	"and"	"write"	"direct"	"write_,"	",_and"	"and_direct"	"carefully_write_,"	"write_,_and"	",_and_direct"	"and_direct_."	"RB"	"VB"	"ε"	"VB"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"make"	"no"	"mistake"	"this"	"gorky_studio"	"drama"	"be"	"a"	"import"	"aptly"	"grave"	"carefully"	"write"	"perform"	"and"	"direct"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"were"	"by"	"j._g._janitsch"	"seven"	"j._g._janitsch_were"	"were_by"	"by_seven"	"and_j._g._janitsch_were"	"j._g._janitsch_were_by"	"were_by_seven"	"by_seven_instrumentalists"	"CC"	"NNP"	"VB"	"VB"	"IN"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"works"	"by"	"j._c._bach"	"anton"	"craft"	"joseph_haydn"	"giuseppe_sammartini"	"and"	"j._g._janitsch"	"were"	"perform"	"by"	"seven"	"instrumentalists"	"include"	"anabel_brieff"	"flutist"	"josef_marx"	"oboist"	"and"	"robert_conant"	"pianist"	"and"	"harpsichordist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"often"	"at"	","	"the"	",_often"	"often_at"	"at_the"	"fernand_ledoux_,_often"	",_often_at"	"often_at_the"	"at_the_comedie"	"NNP"	"ε"	"RB"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"the"	"moliere"	"specialists"	"of"	"some"	"years"	"ago"	"louis_jouvet"	"try"	"humanize"	"some"	"of"	"the"	"clowns"	"while"	"fernand_ledoux"	"often"	"perform"	"at"	"the"	"comedie"	"make"	"them"	"more"	"gross"	"than"	"moliere"	"may"	"have"	"intend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"to"	"rehabilitation"	"failure"	"work"	"failure_to"	"to_rehabilitation"	"rehabilitation_work"	"involve_failure_to"	"failure_to_rehabilitation"	"to_rehabilitation_work"	"rehabilitation_work_on"	"VB"	"NN"	"TO"	"VB"	"NN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"contract"	"violations"	"involve"	"failure"	"to"	"perform"	"rehabilitation"	"work"	"on"	"expansion"	"joints"	"along"	"the"	"el"	"track"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"the"	"arts"	"for"	"."	"for_the"	"the_arts"	"arts_."	"center_for_the"	"for_the_arts"	"the_arts_."	"arts_._∅"	"NN"	"IN"	"DT"	"VB"	"NNS"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._bolker"	"head"	"a"	"group"	"within"	"the"	"building"	"and"	"development"	"to"	"raise"	"funds"	"in"	"support"	"of_this"	"cultural"	"center"	"for"	"the"	"perform"	"arts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
