"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"1:06:00::"	"a"	"that"	"n't"	"won"	"n't_a"	"a_that"	"that_won"	"be_n't_a"	"n't_a_that"	"a_that_won"	"that_won_n't"	"VB"	"RB"	"DT"	"NN"	"WDT"	"VBD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"say"	"without"	"turn"	"her"	"head"	"after"	"that"	"rain"	"beat"	"atop"	"the"	"dust"	"there"	"be"	"n't"	"a"	"thing"	"that"	"won"	"n't"	"be"	"streaked"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"main"	"to"	"the"	"look_for"	"the_main"	"main_to"	"to_look_for"	"of_the_main"	"the_main_to"	"main_to_look_for"	"to_look_for_when"	"IN"	"DT"	"JJ"	"NN"	"TO"	"VB"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"discuss"	"below"	"be"	"of"	"the"	"main"	"thing"	"to"	"look_for"	"when"	"you"	"select"	"a"	"part-time"	"farm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"wrong"	"to"	"the"	"say"	"the_wrong"	"wrong_to"	"to_say"	"be_the_wrong"	"the_wrong_to"	"wrong_to_say"	"to_say_."	"VB"	"DT"	"JJ"	"NN"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"the"	"wrong"	"thing"	"to"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"helluva"	"''"	"a"	","	"a_helluva"	"helluva_''"	"''_,"	"'s_a_helluva"	"a_helluva_''"	"helluva_''_,"	"''_,_person"	"VBZ"	"DT"	"JJ"	"NN"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"a"	"thing"	"person"	"say"	"look"	"at"	"person"	"when"	"a"	"guy"	"own"	"teammate"	"won"	"n't"	"come_out"	"and"	"help"	"him"	"in"	"a"	"fight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"best"	"for"	"the"	"you"	"the_best"	"best_for"	"for_you"	"``_the_best"	"the_best_for"	"best_for_you"	"for_you_to"	"ε"	"DT"	"JJ"	"NN"	"IN"	"PRP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"thing"	"for"	"you"	"to"	"do"	"person"	"say"	"be"	"go_home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"like"	"say"	"that"	"say_a"	"a_like"	"like_that"	",_say_a"	"say_a_like"	"a_like_that"	"like_that_."	"ε"	"VB"	"DT"	"NN"	"RB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"just"	"did"	"n't"	"know"	"he"	"was"	"talk_about"	"say"	"a"	"thing"	"like"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"notable"	"about"	"most"	"the"	"most_notable"	"notable_about"	"about_the"	"the_most_notable"	"most_notable_about"	"notable_about_the"	"about_the_incantation"	"RB"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"most"	"notable"	"thing"	"about"	"the"	"incantation"	"of"	"these"	"ex"	"liberal"	"be"	"that"	"the"	"onetime"	"shibboleth"	"of"	"socialism"	"be"	"conspicuously"	"absent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"expedient"	"-"	"the"	"yes"	"the_expedient"	"expedient_-"	"-_yes"	"∅_the_expedient"	"the_expedient_-"	"expedient_-_yes"	"-_yes_,"	"ε"	"DT"	"JJ"	"NN"	"ε"	"UH"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"expedient"	"thing"	"yes"	"very"	"true"	"one"	"must"	"make_do"	"as"	"one"	"could"	"in"	"some"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:02::"	"of"	"'"	"kind"	"way"	"kind_of"	"of_'"	"'_way"	"this_kind_of"	"kind_of_'"	"of_'_way"	"'_way_behind"	"DT"	"NN"	"RB"	"NN"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"be"	"through"	"here"	"just"	"no"	"time"	"leave"	"this"	"kind"	"of"	"thing"	"way"	"behind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"similar"	"be"	"not"	"say"	"not_similar"	"similar_be"	"be_say"	"could_not_similar"	"not_similar_be"	"similar_be_say"	"be_say_about"	"MD"	"RB"	"JJ"	"NN"	"VBP"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"i"	"respond"	"not"	"similar"	"thing"	"be"	"say"	"about"	"the"	"art"	"of"	"the"	"past"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
