"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"
"5:00:00:cardinal:00"	"the"	"member"	"one_by_one"	"of"	"one_by_one_the"	"the_member"	"member_of"	"and_one_by_one_the"	"one_by_one_the_member"	"the_member_of"	"member_of_his"	"CC"	"RB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"rumble"	"down"	"the"	"rough"	"taxi_strip"	"and"	"one_by_one"	"the"	"seven"	"member"	"of"	"his"	"flight"	"fall_in"	"behind"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"∅"	"hundred"	"∅"	"mile"	"∅_∅"	"∅_hundred"	"hundred_mile"	"∅_∅_∅"	"∅_∅_hundred"	"∅_hundred_mile"	"hundred_mile_south"	"ε"	"ε"	"ε"	"JJ"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hundred"	"mile"	"south"	"of"	"location"	"at"	"the"	"location"	"of"	"the"	"red"	"and"	"the"	"location"	"twenty-three"	"man"	"locate"	"a"	"settlement"	"in"	"august"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"present"	"protestant"	"hospital"	"physician"	"hospital_present"	"present_protestant"	"protestant_physician"	"roman_catholic_hospital_present"	"hospital_present_protestant"	"present_protestant_physician"	"protestant_physician_with"	"NN"	"NN"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"location"	"location"	"in"	"a"	"roman_catholic"	"present"	"seven"	"protestant"	"physician"	"with"	"an"	"ultimatum"	"to"	"quit"	"the"	"group"	"or"	"to"	"resign"	"from"	"the"	"hospital"	"staff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"the"	"man"	"from"	"in"	"from_the"	"the_man"	"man_in"	"turn_from_the"	"from_the_man"	"the_man_in"	"man_in_shackle"	"VB"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"fantastic"	"turn"	"from"	"the"	"seven"	"man"	"in"	"shackle"	"to"	"the"	"wardroom"	"where"	"a"	"class"	"of"	"apprentice"	"await"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"or"	"saloon"	"six"	"in"	"six_or"	"or_saloon"	"saloon_in"	"than_six_or"	"six_or_saloon"	"or_saloon_in"	"saloon_in_location"	"RB"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"than"	"six"	"or"	"seven"	"saloon"	"in"	"location"	"not"	"count"	"the"	"lower_class"	"dive"	"all"	"vie"	"for"	"the"	"trade"	"of"	"celebrate"	"miner"	"and"	"teamster"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"were"	"of"	"there"	"them"	"there_were"	"were_of"	"of_them"	"∅_there_were"	"there_were_of"	"were_of_them"	"of_them_,"	"ε"	"EX"	"VB"	"NN"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"were"	"seven"	"of"	"them"	"enough"	"for"	"a"	"show"	"of"	"strength"	"to"	"run"	"a"	"bluff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"consist_of"	"differently"	"which"	"colored"	"which_consist_of"	"consist_of_differently"	"differently_colored"	"-_which_consist_of"	"which_consist_of_differently"	"consist_of_differently_colored"	"differently_colored_neon_tube"	"ε"	"WDT"	"VB"	"JJ"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"as"	"he"	"apply"	"the"	"applicator"	"extend"	"from"	"machine"	"which"	"consist_of"	"seven"	"differently"	"colored"	"neon_tube"	"superimpose"	"on"	"a"	"rectangular"	"base"	"to"	"the"	"supposedly"	"diseased"	"portion"	"of"	"person"	"body"	"person"	"keep_up"	"a"	"steady"	"stream"	"of"	"pseudo"	"scientific"	"mumbo_jumbo"	
"1:23:00::"	"of"	"when"	"quarter"	"the"	"quarter_of"	"of_when"	"when_the"	"a_quarter_of"	"quarter_of_when"	"of_when_the"	"when_the_crowd"	"DT"	"JJ"	"IN"	"NN"	"WRB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"quarter"	"of"	"seven"	"when"	"the"	"crowd"	"washed_me_up"	"among"	"the"	"gallant"	"who"	"had"	"establish"	"the"	"location"	"steps"	"as"	"the"	"beachhead"	"from"	"which"	"to"	"launch"	"their"	"night"	"of"	"merrymaking"	"0"	"0"	
"5:00:00:cardinal:00"	"past"	","	"ten"	"i"	"ten_past"	"past_,"	",_i"	"already_ten_past"	"ten_past_,"	"past_,_i"	",_i_begin"	"RB"	"JJ"	"JJ"	"JJ"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"when"	"i"	"see"	"it"	"be"	"already"	"ten"	"past"	"seven"	"i"	"begin"	"to"	"wonder"	"if"	"something"	"had"	"go_wrong"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"only"	"blow"	"gather"	"off"	"gather_only"	"only_blow"	"blow_off"	",_gather_only"	"gather_only_blow"	"only_blow_off"	"blow_off_the"	"ε"	"VB"	"RB"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"the"	"group"	"once_again"	"perform"	"at"	"plate"	"in"	"powder-puff"	"gather"	"only"	"seven"	"blow"	"off"	"the"	"offering"	"of"	"three"	"kansas_city"	"pitcher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"the"	"hit"	"before"	"pitching"	"before_the"	"the_hit"	"hit_pitching"	"expire_before_the"	"before_the_hit"	"the_hit_pitching"	"hit_pitching_of"	"VB"	"IN"	"DT"	"JJ"	"NN"	"NN"	"IN"	"teammate"	"be"	"not"	"in"	"such"	"festive"	"mood"	"as"	"the"	"group"	"expire"	"the"	"hit"	"pitching"	"of"	"three"	"kansas_city"	"rookie"	"hurler"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
