"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"
"1:18:00::"	"well-educated"	","	"a"	"preoccupy"	"a_well-educated"	"well-educated_,"	",_preoccupy"	"usually_a_well-educated"	"a_well-educated_,"	"well-educated_,_preoccupy"	",_preoccupy_with"	"RB"	"DT"	"JJ"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"husband"	"usually"	"a"	"well-educated"	"professional"	"preoccupy"	"with"	"his"	"job"	"often"	"an"	"organization"	"man"	"whose"	"motto"	"for"	"get_ahead"	"be"	"do"	"n't"	"rock_the_boat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"only"	"instruction"	"the"	"he"	"the_only"	"only_instruction"	"instruction_he"	"him_the_only"	"the_only_instruction"	"only_instruction_he"	"instruction_he_ever"	"PRP"	"DT"	"JJ"	"JJ"	"NN"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"except"	"for"	"a"	"rich"	"friendship"	"with"	"the"	"person"	"who"	"give"	"him"	"the"	"only"	"professional"	"instruction"	"he"	"ever"	"have"	"and"	"this"	"was"	"limit"	"to"	"a_few"	"lesson"	"though"	"the"	"two"	"artist"	"often"	"go"	"on"	"painting"	"trip"	"together"	"person"	"develop"	"his"	"art"	"by"	"himself"	"0"	
"3:01:01::"	"his"	"career"	"begin"	"in_charge"	"begin_his"	"his_career"	"career_in_charge"	"person_begin_his"	"begin_his_career"	"his_career_in_charge"	"career_in_charge_of"	"NNP"	"VB"	"PRP$"	"JJ"	"NN"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"new"	"century"	"with"	"person"	"begin"	"his"	"professional"	"career"	"in_charge"	"of"	"an"	"apothecary"	"shop"	"in"	"copenhagen"	"and"	"as"	"lecturer"	"at"	"the"	"university"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"musician"	"as"	"."	"as_a"	"a_musician"	"musician_."	"capable_as_a"	"as_a_musician"	"a_musician_."	"musician_._∅"	"JJ"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"person"	"whom"	"we"	"know"	"in"	"the"	"united_states_of_america"	"be"	"gay"	"witty"	"mercurial"	"full"	"of"	"prank"	"bonheur"	"and"	"very"	"capable"	"as"	"a"	"professional"	"musician"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"by"	"musician"	"do"	"and"	"do_by"	"by_musician"	"musician_and"	"when_do_by"	"do_by_musician"	"by_musician_and"	"musician_and_by"	"WRB"	"VB"	"IN"	"JJ"	"NN"	"CC"	"IN"	"admit"	"that"	"though"	"he"	"could"	"n't"	"agree"	"to"	"a"	"public"	"performance"	"he"	"would"	"indeed"	"just"	"for"	"his"	"own"	"private"	"satisfaction"	"dearly"	"love"	"to"	"know"	"how"	"his"	"work"	"would"	"sound"	"do"	"by"	"musician"	"and"	"by"	"trained"	"voice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"'re"	","	"they"	"man"	"they_'re"	"'re_,"	",_man"	",_they_'re"	"they_'re_,"	"'re_,_man"	",_man_paid"	"ε"	"PRP"	"VBP"	"NN"	"ε"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yes"	"we"	"know"	"professional"	"man"	"paid"	"to"	"play"	"and"	"they"	"should"	"n't"	"care"	"how"	"they"	"handle"	"just"	"as_long_as"	"their"	"name"	"are"	"spell"	"correctly"	"on"	"the"	"first"	"and"	"fifteenth"	"of"	"each_month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"year"	"career"	"three"	"as"	"three_year"	"year_career"	"career_as"	"a_three_year"	"three_year_career"	"year_career_as"	"career_as_a"	"DT"	"JJ"	"NN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"who"	"be"	"year"	"old"	"play"	"football"	"at"	"and_then"	"have"	"a"	"three"	"year"	"professional"	"career"	"as"	"a"	"lineman"	"under"	"person"	"with"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"minor_league"	"football_team"	"a"	"."	"a_minor_league"	"minor_league_football_team"	"football_team_."	",_a_minor_league"	"a_minor_league_football_team"	"minor_league_football_team_."	"football_team_._∅"	"ε"	"DT"	"NN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"later"	"person"	"own"	"and"	"operate"	"long_island"	"group"	"a"	"minor_league"	"professional"	"football_team"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	","	"football"	"change"	"'s"	"change_,"	",_football"	"football_'s"	"rule_change_,"	"change_,_football"	",_football_'s"	"football_'s_hall_of_fame"	"NN"	"NN"	"ε"	"JJ"	"NN"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"item"	"on"	"the"	"agenda"	"during"	"the"	"meeting"	"which"	"are"	"expect"	"continue"	"through"	"saturday"	"concern"	"television"	"rule"	"change"	"professional"	"football"	"hall_of_fame"	"player"	"benefit"	"and"	"constitutional"	"amendment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:01::"	"the"	"organization"	"∅"	"such_as"	"∅_the"	"the_organization"	"organization_such_as"	"∅_∅_the"	"∅_the_organization"	"the_organization_such_as"	"organization_such_as_group"	"ε"	"ε"	"DT"	"JJ"	"NN"	"JJ"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"professional"	"organization"	"such_as"	"group"	"group"	"group"	"and"	"various"	"trade"	"association"	"can"	"and"	"do"	"aid"	"greatly"	"in"	"this"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
