"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"
"2:42:00::"	"program"	","	"the"	"as"	"the_program"	"program_,"	",_as"	",_the_program"	"the_program_,"	"program_,_as"	",_as_on"	"ε"	"DT"	"NN"	"VB"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"otherwise"	"program"	"include"	"as"	"on"	"thursday"	"the"	"taras-tchaikovsky"	"design"	"for"	"strings"	"the"	"dollar-britten"	"divertimento"	"the"	"dollar-de_banfield"	"the"	"duel"	"and"	"the"	"pas_de_deux"	"from"	"the"	"nutcracker"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"the"	"belt"	"mississippi_delta"	"belt_,"	",_the"	"the_mississippi_delta"	"cotton_belt_,"	"belt_,_the"	",_the_mississippi_delta"	"the_mississippi_delta_."	"NN"	"NN"	"ε"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"firm"	"begin"	"operations"	"back"	"in"	"and"	"equipment"	"in"	"the"	"central"	"cotton"	"belt"	"include"	"the"	"mississippi_delta"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"sessions"	"addresses"	"morning"	"by"	"morning_sessions"	"sessions_addresses"	"addresses_by"	"∅_morning_sessions"	"morning_sessions_addresses"	"sessions_addresses_by"	"addresses_by_ward_miller"	"ε"	"NN"	"NNS"	"VB"	"NNS"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sessions"	"include"	"addresses"	"by"	"ward_miller"	"jr."	"of"	"the"	"u._s._dept."	"of"	"commerce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"industrial_division"	"copies"	"the"	"of"	"the_industrial_division"	"industrial_division_copies"	"copies_of"	"by_the_industrial_division"	"the_industrial_division_copies"	"industrial_division_copies_of"	"copies_of_speeches"	"IN"	"DT"	"NNP"	"VB"	"NNS"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"special"	"by"	"the"	"industrial_division"	"include"	"copies"	"of"	"speeches"	"deliver"	"at"	"the"	"governor"	"conference"	"letters"	"and"	"brochures"	"to"	"conferees"	"at"	"med-chemical_symposium"	"at"	"university"	"of"	"rhode_island"	"and"	"letters"	"and"	"reprints"	"of"	"industrial"	"advertisements"	"to"	"such"	"organizations"	"as"	"society"	"of"	"industrial"	"realtors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"activities"	"organize"	"promotional"	"the"	"promotional_activities"	"activities_organize"	"organize_the"	"additional_promotional_activities"	"promotional_activities_organize"	"activities_organize_the"	"organize_the_dedication"	"JJ"	"JJ"	"NNS"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"additional"	"activities"	"include"	"organize"	"the"	"dedication"	"program"	"for"	"operation_turnkey"	"the"	"new"	"automated"	"and"	"a"	"conference"	"with"	"representatives"	"of"	"brown_university"	"providence_college"	"and"	"university"	"of"	"rhode_island"	"and"	"eight"	"electronics"	"concerns"	"regarding"	"the"	"inauguration"	"of"	"a"	"training_program"	"for"	"electronics"	"personnel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	","	"those"	"appointments"	"of"	"appointments_,"	",_those"	"those_of"	"presidential_appointments_,"	"appointments_,_those"	",_those_of"	"those_of_cabinet"	"JJ"	"NNS"	"ε"	"VB"	"DT"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"last"	"eight"	"all"	"presidential"	"appointments"	"include"	"those"	"of"	"cabinet"	"rank"	"have"	"been"	"deny"	"immediate"	"action"	"because"	"of"	"a"	"senate"	"rule"	"require"	"at_least"	"a"	"hour"	"delay"	"after"	"they"	"are"	"report"	"to"	"the"	"floor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"those"	"training"	"come"	"training_,"	",_those"	"those_come"	"preparatory_training_,"	"training_,_those"	",_those_come"	"those_come_by"	"JJ"	"NN"	"ε"	"VB"	"DT"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"grow"	"conviction"	"among"	"pastors"	"and"	"church"	"leaders"	"that"	"all"	"who"	"come"	"into"	"the"	"fellowship"	"of"	"the"	"church"	"need"	"preparatory"	"training"	"include"	"those"	"come"	"by"	"transfer"	"of"	"membership"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"which"	"mrs._james_a._moody"	","	","	",_which"	"which_mrs._james_a._moody"	"mrs._james_a._moody_,"	"committee_,_which"	",_which_mrs._james_a._moody"	"which_mrs._james_a._moody_,"	"mrs._james_a._moody_,_mrs._frank_c._wilkinson"	"NN"	"ε"	"WDT"	"VB"	"NNP"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._robert_o._spurdle"	"be"	"chairman"	"the"	"committee"	"which"	"include"	"mrs._james_a._moody"	"mrs._frank_c._wilkinson"	"mrs._ethel_coles"	"mrs._harold_g._lacy"	"mrs._albert_w._terry"	"mrs._henry_m."	"chance"	"d"	"mrs._robert_o._spurdle"	"jr."	"mrs._harcourt_n._trimble"	"jr."	"mrs._john_a._moller"	"mrs._robert_zeising"	"mrs._william_g._kilhour"	"mrs._hughes_cauffman"	"mrs._john_l._baringer"	"and"	"mrs._clyde_newman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"be"	"in"	"will"	"the"	"will_be"	"be_in"	"in_the"	"area_will_be"	"will_be_in"	"be_in_the"	"in_the_exhibition"	"NN"	"MD"	"VB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._monte_tyson"	"chairman"	"say"	"the"	"work"	"of"	"artists"	"well_known"	"the"	"delaware_valley"	"area"	"will"	"be"	"include"	"in"	"the"	"exhibition"	"and"	"sale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"dinner"	"reps._edith_green"	"fund-raising"	"and"	"fund-raising_dinner"	"dinner_reps._edith_green"	"reps._edith_green_and"	"the_fund-raising_dinner"	"fund-raising_dinner_reps._edith_green"	"dinner_reps._edith_green_and"	"reps._edith_green_and_al_ullman"	"DT"	"NN"	"NN"	"VB"	"NNP"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"speakers"	"the"	"fund-raising"	"dinner"	"include"	"reps._edith_green"	"and"	"al_ullman"	"labor_commissioner_norman_nilsen"	"and"	"mayor_terry_schrunk"	"all"	"democrats"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
