"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"
"5:00:00:ordinal:00"	"the"	","	","	"a"	",_the"	"the_,"	",_a"	"this_evening_,_the"	",_the_,"	"the_,_a"	",_a_super"	"RB"	"ε"	"DT"	"JJ"	"ε"	"DT"	"JJ"	"caller"	"person"	"be"	"her"	"name"	"had"	"previously"	"do"	"three"	"filmed"	"commercial"	"for"	"zing"	"and"	"this_evening"	"the"	"fourth"	"super"	"production"	"had"	"been"	"film"	"at"	"the"	"home"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"the"	"floor"	"on"	","	"on_the"	"the_floor"	"floor_,"	"apartment_on_the"	"on_the_floor"	"the_floor_,"	"floor_,_use"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"occupy"	"a"	"bedroom"	"apartment"	"on"	"the"	"fourth"	"floor"	"use"	"the"	"second"	"bedroom"	"as"	"his"	"office"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"the"	"installment"	"pay"	"due"	"pay_the"	"the_installment"	"installment_due"	"to_pay_the"	"pay_the_installment"	"the_installment_due"	"installment_due_on"	"TO"	"VB"	"DT"	"JJ"	"NN"	"JJ"	"IN"	"0"	"0"	"if"	"you"	"were"	"require"	"to"	"file"	"a"	"declaration_of_estimated_tax"	"for"	"the"	"calendar_year"	"it"	"not"	"necessary"	"to"	"the"	"fourth"	"installment"	"due"	"on"	"january"	"if"	"you"	"file"	"your"	"income_tax_return"	"form_1040"	"and"	"pay"	"your"	"tax"	"in_full"	"for"	"the"	"calendar_year"	"by"	"january"	"0"	"0"	
"5:00:00:ordinal:00"	"'s"	"in"	"person"	"four"	"person_'s"	"'s_in"	"in_four"	"be_person_'s"	"person_'s_in"	"'s_in_four"	"in_four_year"	"VB"	"NNP"	"POS"	"JJ"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"sailing"	"in"	"the"	"of"	"be"	"person"	"fourth"	"in"	"four"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"this"	"voyage"	"of"	"be"	"of_this"	"this_voyage"	"voyage_be"	"purpose_of_this"	"of_this_voyage"	"this_voyage_be"	"voyage_be_clear"	"NN"	"RB"	"RB"	"JJ"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"this"	"fourth"	"voyage"	"be"	"clear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"the"	"voyage"	"of"	"occur"	"of_the"	"the_voyage"	"voyage_occur"	"error_of_the"	"of_the_voyage"	"the_voyage_occur"	"voyage_occur_only"	"NN"	"IN"	"DT"	"JJ"	"NN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"first"	"of"	"the"	"fourth"	"voyage"	"occur"	"only"	"a_few"	"mile"	"down"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"the"	"and"	"in"	"person"	"in_the"	"the_and"	"and_person"	"hole_in_the"	"in_the_and"	"the_and_person"	"and_person_come_up"	"NN"	"IN"	"DT"	"JJ"	"CC"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"make"	"a"	"spectacular"	"play"	"on"	"grounder"	"in"	"the"	"hole"	"in"	"the"	"fourth"	"and"	"person"	"come_up"	"with"	"some"	"good"	"stop"	"and"	"show"	"a"	"strong"	"arm"	"at"	"third_base"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"his"	"single"	"with"	"of"	"with_his"	"his_single"	"single_of"	"on_with_his"	"with_his_single"	"his_single_of"	"single_of_the"	"IN"	"IN"	"PRP$"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"with"	"his"	"fourth"	"single"	"of"	"the"	"game"	"a"	"liner"	"to"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"the"	"-"	"in"	"his"	"in_the"	"the_-"	"-_his"	"left_in_the"	"in_the_-"	"the_-_his"	"-_his_fourth"	"JJ"	"IN"	"DT"	"JJ"	"ε"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"blast"	"over"	"left"	"the"	"fourth"	"his"	"fourth"	"homer"	"of"	"the"	"campaign"	"tie"	"the"	"score"	"and"	"person"	"first"	"major_league"	"home_run"	"in"	"the"	"fifth"	"put"	"the"	"group"	"back"	"in_front"	
"5:00:00:ordinal:00"	"his"	"homer"	"-"	"of"	"-_his"	"his_homer"	"homer_of"	"fourth_-_his"	"-_his_homer"	"his_homer_of"	"homer_of_the"	"JJ"	"ε"	"PRP$"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"blast"	"over"	"left"	"in"	"fourth"	"his"	"fourth"	"homer"	"of"	"the"	"campaign"	"tie"	"the"	"score"	"and"	"person"	"first"	"major_league"	"home_run"	"in"	"the"	"fifth"	"put"	"the"	"group"	"back"	"in_front"	"0"	
