"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"3:00:00::"	"of"	"war"	"motive"	"be"	"motive_of"	"of_war"	"war_be"	"and_motive_of"	"motive_of_war"	"of_war_be"	"war_be_as"	"CC"	"NN"	"IN"	"JJ"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"practically"	"all"	"the"	"people"	"of"	"laos"	"he"	"explain"	"about"	"two"	"million"	"of"	"be"	"rice"	"farmer"	"and"	"the"	"means"	"and"	"motive"	"of"	"modern"	"war"	"be"	"as"	"strange"	"to"	"them"	"as"	"clock"	"and"	"steel"	"plow"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"army"	"in"	","	"in_the"	"the_army"	"army_,"	"for_in_the"	"in_the_army"	"the_army_,"	"army_,_esprit_de_corps"	"IN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"today"	"a"	"battle_cry"	"may"	"seem"	"anachronism"	"for"	"in"	"the"	"modern"	"army"	"esprit_de_corps"	"has"	"been"	"sacrifice"	"to"	"organizational"	"chart"	"and"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"with"	"fast"	"arm"	"fire"	"arm_with"	"with_fast"	"fast_fire"	"shot_arm_with"	"arm_with_fast"	"with_fast_fire"	"fast_fire_autoloader"	"NN"	"NN"	"IN"	"JJ"	"JJ"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"firearm"	"and"	"ammunition"	"manufacturer"	"through"	"diligent"	"research"	"and"	"technical"	"have"	"replace"	"the"	"muzzle_loader"	"and"	"slow"	"fire"	"single"	"shot"	"arm"	"with"	"modern"	"fast"	"fire"	"autoloader"	"extremely"	"accurate"	"bolt"	"lever"	"and"	"slide_action"	"firearm"	"0"	"0"	"0"	
"3:00:00::"	"due_to"	"resource"	"and"	"use"	"and_due_to"	"due_to_resource"	"resource_use"	"∅_and_due_to"	"and_due_to_resource"	"due_to_resource_use"	"resource_use_and"	"ε"	"CC"	"JJ"	"JJ"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"due_to"	"modern"	"resource"	"use"	"and"	"game"	"management"	"practice"	"there"	"be"	"still"	"game"	"to"	"shoot"	"even"	"with"	"the"	"ever"	"expanding"	"encroachment"	"on"	"land"	"and"	"water"	"0"	
"3:00:00::"	"the"	"wife"	","	"assume"	",_the"	"the_wife"	"wife_assume"	"city_,_the"	",_the_wife"	"the_wife_assume"	"wife_assume_more"	"NN"	"ε"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"leave"	"alone"	"while"	"her"	"husband"	"be"	"away"	"in"	"the"	"city"	"the"	"modern"	"wife"	"assume"	"more"	"and"	"more"	"duty"	"normally"	"reserve"	"for"	"the"	"male"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"private_detective"	"of"	"begin"	"of_the"	"the_private_detective"	"private_detective_begin"	"development_of_the"	"of_the_private_detective"	"the_private_detective_begin"	"private_detective_begin_."	"NN"	"IN"	"DT"	"JJ"	"NN"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"advent"	"of"	"person"	"the"	"development"	"of"	"the"	"modern"	"private_detective"	"begin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"english"	"in"	"``"	"in_the"	"the_english"	"english_``"	"∅_in_the"	"in_the_english"	"the_english_``"	"english_``_whodunit"	"ε"	"IN"	"DT"	"JJ"	"JJ"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"modern"	"english"	"whodunit"	"this"	"insinuation"	"of"	"latent"	"criminality"	"in"	"the"	"detective"	"himself"	"has"	"almost"	"entirely"	"disappear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"one"	"philosophy"	"at_least"	"of"	"at_least_one"	"one_philosophy"	"philosophy_of"	"that_at_least_one"	"at_least_one_philosophy"	"one_philosophy_of"	"philosophy_of_history"	"IN"	"RB"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"we"	"may"	"that"	"at_least"	"one"	"modern"	"philosophy"	"of"	"history"	"is"	"build"	"on"	"the"	"assumption"	"that"	"idea"	"be"	"the"	"primary"	"objective"	"of"	"the"	"historian"	"research"	"0"	"0"	"0"	
"5:00:00:nonclassical:00"	"distinctively"	"period"	"the"	"in"	"the_distinctively"	"distinctively_period"	"period_in"	"of_the_distinctively"	"the_distinctively_period"	"distinctively_period_in"	"period_in_theological"	"IN"	"DT"	"RB"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"say"	"this"	"of_course"	"be"	"to"	"take_up"	"a"	"position"	"one"	"side"	"of"	"a"	"controversy"	"go_on"	"now"	"for"	"some"	"two"	"hundred"	"year"	"or"	"at_any_rate"	"since"	"beginning"	"of"	"the"	"distinctively"	"modern"	"period"	"in"	"theological"	"thought"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"man"	"about"	"in"	"about_be"	"be_man"	"man_in"	"in_earnest_about_be"	"about_be_man"	"be_man_in"	"man_in_a"	"JJ"	"IN"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"make"	"this"	"long"	"and"	"diverse"	"tradition"	"essentially"	"one"	"be"	"those"	"who"	"have"	"belong_to"	"it"	"have"	"be"	"profoundly"	"in_earnest"	"about"	"be"	"modern"	"man"	"in"	"a"	"distinctively"	"modern_world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
