"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"
"2:35:00::"	"``"	"down"	"to"	"the"	"to_``"	"``_down"	"down_the"	"u._s._to_``"	"to_``_down"	"``_down_the"	"down_the_gauntlet"	"NNP"	"TO"	"ε"	"VB"	"RB"	"DT"	"NN"	"william_h._draper"	"jr."	"former"	"under"	"secretary"	"of"	"the"	"army"	"and"	"now"	"with"	"the"	"palo_alto"	"venture_capital"	"firm"	"of"	"draper"	"gaither"	"anderson"	"urge"	"the"	"u._s."	"to"	"throw"	"the"	"gauntlet"	"of"	"battle"	"to"	"communism"	"and"	"tell"	"moscow"	"bluntly"	"we"	"won"	"n't"	"be"	"push_around"	"arouny"	"any_more"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"it"	","	"against"	",_and"	"and_it"	"it_against"	"top_,_and"	",_and_it"	"and_it_against"	"it_against_the"	"JJ"	"ε"	"CC"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"a"	"curse"	"vince"	"seize"	"the"	"thing"	"nearest"	"a"	"glass"	"container"	"with"	"a"	"spouted"	"metal"	"top"	"and"	"throw"	"it"	"against"	"the"	"wall"	"opposite"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"when"	"to"	"christian"	"one"	"christian_when"	"when_to"	"to_one"	"a_christian_when"	"christian_when_to"	"when_to_one"	"to_one_of"	"DT"	"NNP"	"WRB"	"VB"	"TO"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"football"	"opponent"	"on"	"homecoming"	"is"	"of_course"	"select"	"with"	"the"	"view"	"that"	"said"	"opponent"	"will"	"have"	"little"	"more"	"than"	"did"	"a"	"christian"	"when"	"throw"	"to"	"one"	"of"	"the"	"emperor"	"lions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"or"	"him"	","	"the_most"	",_or"	"or_him"	"him_the_most"	"him_,_or"	",_or_him"	"or_him_the_most"	"him_the_most_fleeting"	"PRP"	"ε"	"CC"	"VB"	"PRP"	"RB"	"JJ"	"0"	"0"	"it"	"is"	"at"	"precisely"	"such"	"moments"	"that"	"he"	"encounter"	"a_couple_of"	"undergraduates"	"faces"	"alight"	"hold"	"hands"	"and"	"talk"	"happily"	"as"	"they"	"come_along"	"oblivious_of"	"or"	"throw"	"him"	"the_most"	"fleeting"	"and"	"casual"	"of"	"glances"	"such_as"	"they"	"would"	"give"	"a"	"tethered"	"goat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"suitcases"	"car"	","	"car_,"	",_suitcases"	"suitcases_,"	"family_car_,"	"car_,_suitcases"	",_suitcases_,"	"suitcases_,_kids"	"NN"	"NN"	"ε"	"VB"	"NNS"	"ε"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no_matter_how"	"many"	"americans"	"go"	"abroad"	"in"	"summer"	"a_hundred_times"	"as_many"	"gas_up"	"the"	"family"	"car"	"throw"	"suitcases"	"kids"	"and"	"comic_books"	"in_the_back"	"seat"	"and"	"head"	"for"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"and"	"the"	"in"	"switch"	"in_and"	"and_the"	"the_switch"	"back_in_and"	"in_and_the"	"and_the_switch"	"the_switch_."	"RB"	"RB"	"CC"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"a"	"short-lived"	"sigh"	"of"	"relief"	"plug_in"	"the"	"fuses"	"back"	"in"	"and"	"throw"	"the"	"switch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"be"	"better"	"to"	"than"	"to_be"	"be_better"	"better_than"	"seem_to_be"	"to_be_better"	"be_better_than"	"better_than_he"	"VB"	"TO"	"VB"	"VB"	"JJR"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"walker"	"look"	"seem"	"to"	"be"	"throw"	"better"	"than"	"he"	"did"	"last"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:07::"	"to"	"light"	"try"	"on"	"try_to"	"to_light"	"light_on"	",_try_to"	"try_to_light"	"to_light_on"	"light_on_this"	"ε"	"VB"	"TO"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"parapsychology_foundation"	"long-range"	"experiment"	"readings"	"are"	"make"	"by"	"a"	"variety"	"of"	"sensitives"	"for"	"large_number"	"of"	"cooperating"	"sitters"	"try"	"to"	"throw"	"light"	"on"	"this"	"question"	"of"	"the"	"significance"	"of"	"mediumistic"	"statements"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"really"	"his"	"will"	"administration"	"will_really"	"really_his"	"his_administration"	"it_will_really"	"will_really_his"	"really_his_administration"	"his_administration_into"	"PRP"	"MD"	"RB"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"many"	"who"	"predict"	"that"	"should"	"barnett"	"decide"	"to"	"the"	"legislature"	"back"	"into"	"special"	"session"	"it"	"will"	"really"	"throw"	"his"	"administration"	"into"	"a"	"scramble"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"can"	"up"	"he"	"his"	"he_can"	"can_up"	"up_his"	",_he_can"	"he_can_up"	"can_up_his"	"up_his_hands"	"ε"	"PRP"	"MD"	"VB"	"RB"	"PRP$"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"it"	"fail"	"pass"	"he"	"can"	"throw"	"up"	"his"	"hands"	"and"	"say"	"the"	"legislature"	"would"	"not"	"support"	"him"	"in"	"his"	"efforts"	"to"	"prevent"	"integration"	"0"	"0"	"0"	
