"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"2:32:00::"	","	"hank_greenberg"	"''"	","	"''_,"	",_hank_greenberg"	"hank_greenberg_,"	"situation_''_,"	"''_,_hank_greenberg"	",_hank_greenberg_,"	"hank_greenberg_,_now"	"NN"	"ε"	"ε"	"VB"	"NNP"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"on"	"the"	"basis"	"of"	"games"	"this"	"the"	"ideal"	"situation"	"insist"	"hank_greenberg"	"now"	"vice-president"	"of"	"the"	"chicago_white_sox"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	","	"not"	"against"	"not_to"	"to_,"	",_against"	"parents_not_to"	"not_to_,"	"to_,_against"	",_against_their"	"NNS"	"RB"	"TO"	"VB"	"ε"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"be"	"why"	"ask"	"parents"	"not"	"to"	"insist"	"against"	"their"	"dentist"	"advice"	"that"	"their"	"child"	"have"	"orthodontic"	"work"	"do"	"too"	"early"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"who"	"on"	"boatman"	"all"	"boatman_who"	"who_on"	"on_all"	"sportiest_boatman_who"	"boatman_who_on"	"who_on_all"	"on_all_the"	"JJS"	"NN"	"WP"	"VB"	"IN"	"PDT"	"DT"	"manufacturers"	"have"	"produce"	"models"	"for"	"purchasers"	"who"	"run"	"the"	"gamut"	"from"	"a"	"nautical"	"version"	"of"	"the"	"elderly"	"pasadena"	"lady"	"who"	"never"	"drive"	"more_than"	"five"	"miles"	"an"	"hour"	"on"	"her"	"once-a-month"	"ride"	"around"	"the"	"block"	"to"	"the"	"sportiest"	"boatman"	"on"	"all"	"the"	"dash"	"color"	"flair"	"and"	"speed"	"to"	"encompass"	"in"	"a"	"single"	"boat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"field"	"say"	"be"	"say_he"	"he_field"	"field_be"	"juras_say_he"	"say_he_field"	"he_field_be"	"field_be_continue"	"NNP"	"VB"	"PRP"	"VB"	"NNP"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"juras"	"he"	"insist"	"field"	"be"	"continue"	"on"	"a"	"consultant"	"basis"	"only"	"and"	"be"	"answerable"	"directly"	"to"	"the"	"administrator"	"of"	"the"	"agency"	"and"	"not"	"to"	"agencies"	"of"	"the"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"on"	"continue"	"a"	"continue_to"	"to_on"	"on_a"	"rather_than_continue_to"	"continue_to_on"	"to_on_a"	"on_a_verification"	"RB"	"VB"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"inclination"	"here"	"is"	"to"	"accept"	"a"	"cease-fire"	"in"	"laos"	"rather_than"	"continue"	"to"	"insist"	"on"	"a"	"verification"	"of"	"the"	"cease-fire"	"by"	"the"	"international"	"control"	"commission"	"before"	"participating"	"in"	"the"	"geneva"	"conference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"spokesmen"	"that"	"its"	"there"	"its_spokesmen"	"spokesmen_that"	"that_there"	"∅_its_spokesmen"	"its_spokesmen_that"	"spokesmen_that_there"	"that_there_has"	"ε"	"PRP$"	"NNS"	"VB"	"IN"	"EX"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"spokesmen"	"insist"	"that"	"there"	"has"	"not"	"be"	"time"	"enough"	"to"	"institute"	"reforms"	"in"	"military"	"and"	"economic"	"aid"	"policies"	"in"	"the"	"critical"	"areas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"seriously"	","	","	",_he"	"he_seriously"	"seriously_,"	"music_,_he"	",_he_seriously"	"he_seriously_,"	"seriously_,_be"	"NN"	"ε"	"PRP"	"VB"	"RB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"his"	"prime"	"interest"	"from"	"music"	"he"	"insist"	"seriously"	"be"	"his"	"family"	"his"	"wife"	"daughter"	"and"	"son"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"firmly"	"that"	"should"	"no"	"should_firmly"	"firmly_that"	"that_no"	"you_should_firmly"	"should_firmly_that"	"firmly_that_no"	"that_no_bobby_pins"	"PRP"	"MD"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"firmly"	"insist"	"that"	"no"	"bobby_pins"	"or"	"hair"	"pins"	"be"	"wear"	"in"	"the"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"often"	"that"	"zen"	"very"	"zen_often"	"often_that"	"that_very"	"of_zen_often"	"zen_often_that"	"often_that_very"	"that_very_early"	"IN"	"NNP"	"RB"	"VB"	"IN"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"exponents"	"zen"	"often"	"insist"	"that"	"very"	"early"	"zen"	"doctrine"	"oppose"	"the"	"rampant"	"supernaturalism"	"of"	"china"	"and"	"propose"	"instead"	"a"	"more"	"mature"	"less"	"credulous"	"view"	"of"	"the"	"universe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"he"	"thailand"	"would"	"thailand_,"	",_he"	"he_would"	"and_thailand_,"	"thailand_,_he"	",_he_would"	"he_would_be"	"CC"	"NNP"	"ε"	"VB"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cambodia"	"chief_of_state"	"who"	"has"	"been"	"accuse"	"of"	"harbor"	"communist"	"marauders"	"and"	"life"	"miserable"	"for"	"neighboring"	"south"	"viet_nam"	"and"	"thailand"	"insist"	"he"	"would"	"be"	"very"	"unhappy"	"if"	"communism"	"establish"	"its"	"power"	"in"	"southeast_asia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
