"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"
"5:00:00:cardinal:00"	"article"	"("	"under"	"c"	"under_article"	"article_("	"(_c"	"require_under_article"	"under_article_("	"article_(_c"	"(_c_)"	"VB"	"IN"	"NN"	"JJ"	"ε"	"NN"	"ε"	"upon"	"the"	"concurrence"	"of"	"the"	"secretary_of_state"	"is"	"authorize"	"and"	"direct"	"out"	"of"	"the"	"sum"	"cover"	"into"	"the"	"yugoslav_claims_fund"	"pursuant"	"to"	"subsection"	"b"	"of_this"	"section"	"after"	"complete"	"the"	"payment"	"of"	"such"	"fund"	"pursuant"	"to"	"subsection"	"c"	"of_this"	"section"	"to"	"make"	"payment"	"of"	"the"	"balance"	"of"	"any"	"sum"	"remain"	"in"	"such"	"fund"	"to"	"the"	"government"	"the"	"location"	"to"	"the"	"extent"	"require"	"under"	"article"	"of"	"the"	"yugoslav_claims_agreement_of_1948"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"to"	"acre"	"quarter"	"of"	"quarter_to"	"to_acre"	"acre_of"	"three_quarter_to"	"quarter_to_acre"	"to_acre_of"	"acre_of_good"	"JJ"	"NN"	"TO"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"to"	"acre"	"of"	"good"	"land"	"be"	"enough"	"for"	"raise"	"fruit"	"and"	"vegetable"	"for"	"home"	"use"	"and"	"for"	"a"	"small"	"flock"	"of"	"chicken"	"a"	"cow"	"and"	"two"	"pig"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"table"	"."	"in"	"∅"	"in_table"	"table_."	"._∅"	"list_in_table"	"in_table_."	"table_._∅"	"._∅_∅"	"VB"	"IN"	"NN"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"decide"	"on"	"the"	"enterprise"	"to"	"be"	"manage"	"by"	"family"	"labor"	"compare"	"the"	"amount"	"of"	"labor"	"can"	"be"	"supply"	"by"	"the"	"family"	"with"	"the"	"labor"	"need"	"of"	"various"	"enterprise"	"list"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"("	")"	"know"	"the"	"know_("	"(_)"	")_the"	"need_to_know_("	"know_(_)"	"(_)_the"	")_the_kind"	"VB"	"VB"	"ε"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"you"	"look_for"	"a"	"you"	"need_to"	"know"	"the"	"kind"	"and"	"scale"	"of"	"farming"	"you"	"want_to"	"undertake"	"and"	"whether"	"you"	"want_to"	"buy"	"or"	"rent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"-"	"3"	"33"	"%"	"33_-"	"-_3"	"3_%"	"less_than_33_-"	"33_-_3"	"-_3_%"	"3_%_nor"	"RB"	"CD"	"ε"	"JJ"	"JJ"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"all"	"state"	"it"	"be"	"the"	"difference"	"obtain"	"by"	"subtract"	"from"	"the"	"result"	"obtain"	"in"	"above"	"except"	"that"	"no"	"state"	"shall"	"have"	"an"	"allotment"	"percentage"	"less_than"	"nor"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"$"	","	"less_than"	"in"	"less_than_$"	"$_,"	",_in"	"owe_less_than_$"	"less_than_$_,"	"$_,_in"	",_in_which"	"VB"	"RB"	"ε"	"JJ"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"your"	"computation"	"on"	"form_1040"	"or"	"form_1040_a"	"show"	"you"	"owe"	"additional"	"tax"	"should"	"be"	"remit"	"with"	"your"	"return"	"unless"	"you"	"owe"	"less_than"	"in"	"which"	"case"	"it"	"is"	"forgive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"$"	"will"	"less_than"	"not"	"less_than_$"	"$_will"	"will_not"	"of_less_than_$"	"less_than_$_will"	"$_will_not"	"will_not_be"	"IN"	"RB"	"ε"	"JJ"	"MD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"refund"	"less_than"	"will"	"not"	"be"	"make"	"unless"	"you"	"attach"	"a"	"application"	"to"	"your"	"return"	"request"	"such"	"a"	"refund"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"fig"	"be"	"∅"	"a"	"∅_fig"	"fig_be"	"be_a"	"∅_∅_fig"	"∅_fig_be"	"fig_be_a"	"be_a_simplified"	"ε"	"ε"	"NN"	"JJ"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"a"	"simplified"	"block_diagram"	"of"	"the"	"ultraviolet"	"microscopy"	"system"	"develop"	"at"	"the"	"group"	"of"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"part"	","	"∅"	"below"	"∅_part"	"part_,"	",_below"	"∅_∅_part"	"∅_part_,"	"part_,_below"	",_below_describe"	"ε"	"ε"	"NN"	"JJ"	"ε"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"below"	"describe"	"this"	"abstract"	"model"	"by"	"spell_out"	"its"	"assumption"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"("	"gram"	"daily"	"of"	"daily_("	"(_gram"	"gram_of"	"head_daily_("	"daily_(_gram"	"(_gram_of"	"gram_of_premix"	"NN"	"RB"	"ε"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gram"	"dynafac"	"per"	"daily"	"gram"	"of"	"premix"	"per"	"head"	"daily"	"for"	"promote"	"growth"	"feed"	"conversion"	"bloom"	"and"	"full"	"feed"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
