"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"1:23:00::"	"two"	"of"	"about"	"them"	"about_two"	"two_of"	"of_them"	"-_about_two"	"about_two_of"	"two_of_them"	"of_them_-"	"ε"	"IN"	"JJ"	"NN"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"practically"	"all"	"the"	"people"	"of"	"he"	"explain"	"about"	"two"	"million"	"of"	"them"	"be"	"rice"	"farmer"	"and"	"the"	"means"	"and"	"motive"	"of"	"modern"	"war"	"be"	"as"	"strange"	"to"	"them"	"as"	"clock"	"and"	"steel"	"plow"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"7"	"to"	"$"	"support"	"$_7"	"7_to"	"to_support"	"of_$_7"	"$_7_to"	"7_to_support"	"to_support_,"	"IN"	"ε"	"JJ"	"JJ"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"present"	"federal"	"program"	"of"	"vocational"	"education"	"begin"	"in"	"with"	"the"	"passage"	"of"	"the"	"which"	"provide"	"a"	"continuing"	"annual"	"appropriation"	"of"	"million"	"to"	"support"	"on"	"a"	"match"	"basis"	"state"	"administer"	"program"	"of"	"vocational"	"education"	"in"	"agriculture"	"trade"	"industrial"	"skill"	"and"	"home_economics"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"two"	"game_bird"	"to"	"were"	"to_two"	"two_game_bird"	"game_bird_were"	"close_to_two"	"to_two_game_bird"	"two_game_bird_were"	"game_bird_were_harvest"	"JJ"	"RB"	"JJ"	"JJ"	"NN"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"close"	"two"	"million"	"game_bird"	"were"	"harvest"	"on"	"commercial"	"and"	"private"	"shooting_preserve"	"and"	"on"	"group"	"controlled"	"upland"	"game"	"area"	"during"	"the"	"season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"184"	"more"	"$"	"than"	"$_184"	"184_more"	"more_than"	"be_$_184"	"$_184_more"	"184_more_than"	"more_than_in"	"VB"	"ε"	"CD"	"JJ"	"JJ"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"expenditure"	"for"	"operate"	"maintain"	"the"	"station"	"and"	"equipment"	"of"	"the"	"armed_forces"	"are"	"estimate"	"to"	"billion"	"in"	"which"	"be"	"million"	"more"	"than"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"4753"	","	"$"	"which"	"$_4753"	"4753_,"	",_which"	"total_$_4753"	"$_4753_,"	"4753_,_which"	",_which_be"	"VB"	"ε"	"CD"	"JJ"	"ε"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new"	"obligational"	"authority"	"for"	"recommend"	"in"	"this"	"budget"	"for"	"aircraft"	"procurement"	"amount"	"for"	"related"	"research"	"and"	"construction"	"total"	"million"	"which"	"be"	"million"	"below"	"that"	"enact"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"1390"	"below"	"$"	"that"	"$_1390"	"1390_below"	"below_that"	"be_$_1390"	"$_1390_below"	"1390_below_that"	"below_that_enact"	"VB"	"ε"	"CD"	"JJ"	"IN"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new"	"obligational"	"authority"	"for"	"recommend"	"in"	"this"	"budget"	"for"	"aircraft"	"procurement"	"exclude"	"amount"	"for"	"related"	"research"	"and"	"construction"	"total"	"million"	"be"	"million"	"below"	"that"	"enact"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"half"	"disabled"	"a"	"person"	"a_half"	"half_disabled"	"disabled_person"	"over_a_half"	"a_half_disabled"	"half_disabled_person"	"disabled_person_in"	"IN"	"DT"	"JJ"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"the"	"successful"	"of"	"over"	"a"	"half"	"million"	"disabled"	"person"	"in"	"the"	"first"	"eleven"	"year"	"after"	"the"	"existing"	"program"	"was"	"still"	"see"	"to"	"be"	"inadequate"	"to"	"cope_with"	"the"	"nation"	"backlog"	"of"	"an"	"estimated"	"two"	"million"	"disabled"	
"5:00:00:cardinal:00"	"two"	"disabled"	"estimated"	"."	"estimated_two"	"two_disabled"	"disabled_."	"an_estimated_two"	"estimated_two_disabled"	"two_disabled_."	"disabled_._∅"	"DT"	"JJ"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"successful"	"rehabilitation"	"of"	"over"	"a"	"half"	"million"	"disabled"	"person"	"in"	"the"	"first"	"eleven"	"year"	"after"	"the"	"existing"	"program"	"was"	"still"	"see"	"to"	"be"	"inadequate"	"to"	"cope_with"	"the"	"nation"	"backlog"	"of"	"estimated"	"two"	"disabled"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"5"	")"	"or"	";"	"or_5"	"5_)"	")_;"	",_or_5"	"or_5_)"	"5_)_;"	")_;_yet"	"ε"	"CC"	"JJ"	"JJ"	"ε"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"in"	"the"	"catholic"	"population"	"of"	"england"	"be"	"still"	"small"	"ten"	"percent"	"or"	"million"	"yet"	"it"	"represent"	"a"	"very"	"considerable"	"percentage"	"of"	"the"	"churchgoing"	"population"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"17"	"dollar"	"produce"	"to"	"produce_17"	"17_dollar"	"dollar_to"	"would_produce_17"	"produce_17_dollar"	"17_dollar_to"	"dollar_to_help"	"MD"	"VB"	"JJ"	"NN"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"term"	"extremely"	"conservative"	"his"	"estimate"	"it"	"would"	"produce"	"million"	"dollar"	"to"	"help"	"erase"	"an"	"anticipated"	"deficit"	"of"	"million"	"dollar"	"at"	"the"	"end"	"of"	"the"	"current"	"fiscal_year"	"next"	"aug"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
