"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:30:00::"	"and"	"with"	","	"a"	",_and"	"and_with"	"with_a"	"smooth_,_and"	",_and_with"	"and_with_a"	"with_a_smooth"	"JJ"	"ε"	"CC"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"cut"	"the"	"pieces"	"dress"	"ends"	"smooth"	"and"	"square"	"with"	"a"	"smooth"	"file"	"or"	"sanding"	"disk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"and"	"the"	"slot"	"ends"	"slot_and"	"and_the"	"the_ends"	"respective_slot_and"	"slot_and_the"	"and_the_ends"	"the_ends_."	"JJ"	"NN"	"CC"	"VB"	"DT"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"draw"	"file"	"no."	"tappet"	"to"	"a"	"fit"	"in"	"its"	"respective"	"slot"	"and"	"square"	"the"	"ends"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"∅"	"each"	"∅"	"state"	"∅_∅"	"∅_each"	"each_state"	"∅_∅_∅"	"∅_∅_each"	"∅_each_state"	"each_state_'s"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"state"	"allotment"	"percentage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"the"	"of"	"by"	"its"	"by_the"	"the_of"	"of_its"	"state_by_the"	"by_the_of"	"the_of_its"	"of_its_allotment"	"NN"	"IN"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"multiply"	"the"	"population"	"each"	"state"	"by"	"the"	"square"	"of"	"its"	"allotment"	"percentage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"would"	"the"	"which"	"two"	"which_would"	"would_the"	"the_two"	"doctrine_which_would"	"which_would_the"	"would_the_two"	"the_two_condition"	"NN"	"WDT"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"not"	"always"	"easy"	"develop"	"theory"	"and"	"doctrine"	"which"	"would"	"square"	"the"	"two"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:25:00::"	"a"	"."	"of"	"∅"	"of_a"	"a_."	"._∅"	"form_of_a"	"of_a_."	"a_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"about"	"yard"	"up"	"the"	"creek"	"be"	"a"	"cluster"	"of"	"house"	"contain"	"six"	"room"	"in"	"the"	"form"	"of"	"a"	"square"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:25:00::"	"a"	"inscribed"	"∅"	"in"	"∅_a"	"a_inscribed"	"inscribed_in"	"∅_∅_a"	"∅_a_inscribed"	"a_inscribed_in"	"inscribed_in_a"	"ε"	"ε"	"DT"	"NN"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"square"	"inscribed"	"in"	"a"	"curve"	"c"	"mean"	"a"	"square"	"with"	"its"	"four"	"corner"	"point"	"on"	"the"	"curve"	"though"	"it"	"may_not"	"lie"	"entirely"	"in"	"the"	"interior"	"of"	"c"	"0"	"0"	"0"	"0"	"0"	
"1:25:00::"	"a"	"with"	"mean"	"its"	"mean_a"	"a_with"	"with_its"	"c_mean_a"	"mean_a_with"	"a_with_its"	"with_its_four"	"NN"	"VB"	"DT"	"NN"	"VB"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"square"	"inscribed"	"in"	"curve"	"c"	"mean"	"a"	"square"	"with"	"its"	"four"	"corner"	"point"	"on"	"the"	"curve"	"though"	"it"	"may_not"	"lie"	"entirely"	"in"	"the"	"interior"	"of"	"c"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:25:00::"	"a"	"in"	"erect"	"such"	"erect_a"	"a_in"	"in_such"	"side_erect_a"	"erect_a_in"	"a_in_such"	"in_such_a"	"NN"	"VB"	"DT"	"NN"	"RB"	"JJ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"c"	"from"	"the"	"point"	"p"	"to"	"the"	"point"	"q"	"at"	"we"	"construct"	"the"	"chord"	"and"	"upon"	"chord"	"as"	"a"	"side"	"erect"	"a"	"square"	"in"	"such"	"a"	"way"	"that"	"as"	"s"	"approach"	"zero"	"the"	"square"	"be"	"inside"	"c"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:25:00::"	"the"	"be"	"zero"	"inside"	"zero_the"	"the_be"	"be_inside"	"approach_zero_the"	"zero_the_be"	"the_be_inside"	"be_inside_c"	"VB"	"NN"	"DT"	"NN"	"VB"	"IN"	"NN"	"from"	"the"	"point"	"p"	"at"	"to"	"the"	"point"	"q"	"at"	"we"	"construct"	"the"	"chord"	"and"	"upon"	"the"	"chord"	"as"	"a"	"side"	"erect"	"a"	"square"	"in"	"such"	"a"	"way"	"that"	"s"	"approach"	"zero"	"the"	"be"	"inside"	"c"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
