"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"
"4:02:00::"	"be"	"a"	"machinery"	"serious"	"machinery_be"	"be_a"	"a_serious"	"and_machinery_be"	"machinery_be_a"	"be_a_serious"	"a_serious_problem"	"CC"	"NN"	"VB"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cost"	"of"	"and"	"machinery"	"be"	"often"	"a"	"serious"	"problem"	"to"	"the"	"small-scale"	"farmer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"has"	"been"	"difference"	"attribute"	"difference_has"	"has_been"	"been_attribute"	"social_difference_has"	"difference_has_been"	"has_been_attribute"	"been_attribute_to"	"JJ"	"NN"	"VBZ"	"RB"	"VBN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"vulnerability"	"of"	"protestant"	"to"	"social"	"difference"	"has"	"often"	"been"	"attribute"	"to"	"the"	"folksy"	"spirit"	"of"	"protestant"	"religious"	"life"	"in_fact"	"a"	"contrast"	"is"	"often"	"draw"	"in"	"this"	"regard"	"with"	"the"	"impersonal"	"roman_catholic"	"parish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"is"	"draw"	"contrast"	"in"	"contrast_is"	"is_draw"	"draw_in"	"a_contrast_is"	"contrast_is_draw"	"is_draw_in"	"draw_in_this"	"DT"	"NN"	"VBZ"	"RB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"vulnerability"	"of"	"protestant"	"congregation"	"to"	"social"	"difference"	"often"	"been"	"attribute"	"to"	"the"	"folksy"	"spirit"	"of"	"protestant"	"life"	"in_fact"	"a"	"contrast"	"is"	"often"	"draw"	"in"	"this"	"regard"	"with"	"the"	"impersonal"	"roman_catholic"	"parish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"so"	"overlooked"	","	","	",_so"	"so_overlooked"	"overlooked_,"	"fact_,_so"	",_so_overlooked"	"so_overlooked_,"	"overlooked_,_that"	"NN"	"ε"	"RB"	"RB"	"JJ"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"outdoor_education_project"	"take"	"cognizance"	"the"	"fact"	"so"	"often"	"overlooked"	"that"	"athletic"	"activity"	"stress"	"in"	"most"	"school"	"program"	"have"	"little"	"or"	"no"	"relationship"	"to"	"the"	"physical"	"and"	"mental"	"need"	"and"	"interest"	"of"	"later"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"official"	"have"	"park"	"more"	"park_official"	"official_have"	"have_more"	"state_park_official"	"park_official_have"	"official_have_more"	"have_more_camper"	"JJ"	"NN"	"NN"	"RB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"harassed"	"park"	"official"	"often"	"have"	"more"	"camper"	"than"	"they"	"know"	"what"	"to"	"do"	"with"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"have"	"search"	"i"	"for"	"i_have"	"have_search"	"search_for"	"∅_i_have"	"i_have_search"	"have_search_for"	"search_for_a"	"ε"	"PRP"	"VBP"	"RB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"often"	"search"	"for"	"a"	"graphic"	"way"	"of"	"impress"	"our"	"superiority"	"on"	"those"	"americans"	"who"	"have"	"doubt"	"and"	"i"	"think"	"person"	"has"	"do"	"it"	"well"	"in"	"his"	"new"	"book"	"american_might_and_soviet_myth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"diminish"	"itself"	"the"	"itself_,"	",_diminish"	"diminish_the"	"in_itself_,"	"itself_,_diminish"	",_diminish_the"	"diminish_the_relative"	"IN"	"PRP"	"ε"	"RB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"furthermore"	"unexpectedly"	"rapid"	"progress"	"or"	"a"	"technological"	"breakthrough"	"any"	"one"	"weapon_system"	"in"	"itself"	"often"	"diminish"	"the"	"relative"	"importance"	"of"	"competitive"	"system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"-"	"a"	"smart_as_a_whip"	"girl"	"smart_as_a_whip_-"	"-_a"	"a_girl"	",_smart_as_a_whip_-"	"smart_as_a_whip_-_a"	"-_a_girl"	"a_girl_who"	"ε"	"JJ"	"ε"	"RB"	"DT"	"NN"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wife"	"be"	"likely"	"to"	"young"	"sophisticated"	"smart_as_a_whip"	"often"	"a"	"girl"	"who"	"has"	"sacrifice"	"a"	"promising"	"career"	"for"	"marriage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"-"	"an"	"job"	"organization"	"job_-"	"-_an"	"an_organization"	"his_job_-"	"job_-_an"	"-_an_organization"	"an_organization_man"	"PRP$"	"NN"	"ε"	"RB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"husband"	"be"	"usually"	"a"	"well-educated"	"preoccupy"	"with"	"his"	"job"	"often"	"an"	"organization"	"man"	"whose"	"motto"	"for"	"get_ahead"	"be"	"do"	"n't"	"rock_the_boat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"more"	","	"∅"	"though"	"∅_more"	"more_,"	",_though"	"∅_∅_more"	"∅_more_,"	"more_,_though"	",_though_,"	"ε"	"ε"	"RB"	"RB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"often"	"though"	"he"	"be"	"so"	"accustomed"	"to"	"submit"	"to"	"authority"	"on"	"the"	"job"	"without"	"argument"	"that"	"he"	"live"	"by"	"the"	"same"	"rule"	"at"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
