"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"2:32:00::"	"been"	"at"	"had"	"the"	"had_been"	"been_at"	"at_the"	",_had_been"	"had_been_at"	"been_at_the"	"at_the_home"	"ε"	"VBD"	"VBN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"my"	"lovely"	"caller"	"person"	"be"	"her"	"name"	"had"	"previously"	"do"	"three"	"filmed"	"commercial"	"for"	"zing"	"and"	"this_evening"	"the"	"fourth"	"a"	"super"	"production"	"had"	"film"	"at"	"the"	"home"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"dust"	"upon"	"the"	"his"	"the_dust"	"dust_upon"	"upon_his"	"through_the_dust"	"the_dust_upon"	"dust_upon_his"	"upon_his_gaunt"	"IN"	"DT"	"NN"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"remove"	"his"	"hat"	"to"	"let"	"trapped"	"sweat"	"cut"	"rivulet"	"through"	"the"	"dust"	"film"	"upon"	"his"	"gaunt"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"substantial"	"song"	"several"	"to"	"several_substantial"	"substantial_song"	"song_to"	"have_several_substantial"	"several_substantial_song"	"substantial_song_to"	"song_to_his"	"VB"	"JJ"	"JJ"	"NN"	"NN"	"TO"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"and"	"person"	"begin"	"their"	"collaboration"	"in"	"like"	"person"	"have"	"several"	"substantial"	"film"	"song"	"to"	"his"	"credit"	"among"	"them"	"hooray_for_hollywood"	"ride"	"tenderfoot"	"ride"	"have_you_got_any_castles"	"baby"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"another"	","	"on"	"navy_blues"	"on_another"	"another_,"	",_navy_blues"	"person_on_another"	"on_another_,"	"another_,_navy_blues"	",_navy_blues_."	"NNP"	"IN"	"JJ"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"person"	"and"	"person"	"collaborate"	"on"	"hot_nocturne"	"work"	"also"	"with"	"person"	"on"	"another"	"film"	"navy_blues"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"hollywood"	"manage"	"many"	"somehow"	"many_hollywood"	"hollywood_manage"	"manage_somehow"	"∅_many_hollywood"	"many_hollywood_manage"	"hollywood_manage_somehow"	"manage_somehow_to"	"ε"	"JJ"	"NN"	"NN"	"VB"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hollywood"	"film"	"manage"	"somehow"	"to"	"be"	"authentic"	"but"	"not"	"realistic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"every"	"bear"	"almost"	"the"	"almost_every"	"every_bear"	"bear_the"	"∅_almost_every"	"almost_every_bear"	"every_bear_the"	"bear_the_imprimatur"	"ε"	"RB"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"film"	"bear"	"the"	"imprimatur"	"of"	"hollywood"	"be"	"physically"	"authentic"	"in_fact"	"impeccably"	"so"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"librarian"	"cadre"	"and"	"cadre_of"	"of_librarian"	"librarian_and"	"a_cadre_of"	"cadre_of_librarian"	"of_librarian_and"	"librarian_and_research"	"DT"	"NN"	"IN"	"NN"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"studio"	"a"	"cadre"	"of"	"film"	"librarian"	"and"	"research"	"specialist"	"who"	"look"	"to"	"this"	"matter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"impressive"	"yet"	"and"	"make"	"and_impressive"	"impressive_yet"	"yet_make"	"handsome_and_impressive"	"and_impressive_yet"	"impressive_yet_make"	"yet_make_from"	"JJ"	"CC"	"JJ"	"NN"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"truly"	"odd"	"and"	"that"	"the"	"most"	"handsome"	"and"	"impressive"	"film"	"yet"	"make"	"from"	"person"	"don_quixote"	"be"	"the"	"brilliant"	"russian"	"spectacle"	"do"	"in"	"wide-screen"	"and"	"color"	"which"	"open"	"yesterday"	"at"	"the"	"location"	"and"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"the"	"."	"in"	"∅"	"in_the"	"the_."	"._∅"	"best_in_the"	"in_the_."	"the_._∅"	"._∅_∅"	"JJ"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"in"	"which"	"person"	"conclude"	"the"	"joke"	"that"	"is"	"play"	"on"	"him"	"when"	"he"	"be"	"facetiously"	"put"	"in"	"command"	"of"	"an"	"island"	"be"	"one"	"of"	"best"	"in"	"film"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"russian"	"to"	"the"	"reach"	"the_russian"	"russian_to"	"to_reach"	"of_the_russian"	"the_russian_to"	"russian_to_reach"	"to_reach_this"	"IN"	"DT"	"JJ"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"good"	"representation"	"of"	"peasant"	"and"	"people"	"of"	"the"	"court"	"by"	"actor"	"who"	"are"	"finely"	"costume"	"and"	"magnificently"	"in"	"this"	"last"	"of"	"the"	"russian"	"film"	"to"	"reach"	"this"	"country"	"in"	"the"	"program"	"of"	"joint"	"cultural"	"exchange"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
