"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:40:00::"	"was"	"$"	","	"500"	",_was"	"was_$"	"$_500"	"charges_,_was"	",_was_$"	"was_$_500"	"$_500_by"	"NNS"	"ε"	"VBD"	"VB"	"ε"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"barnard"	"who"	"plead"	"no"	"defense"	"to"	"and"	"hit-run"	"charges"	"was"	"fine"	"by"	"judge_warren_k._hess"	"and"	"place"	"on"	"two"	"years"	"probation"	"providing"	"he"	"does"	"not"	"drive"	"during"	"that"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"was"	"$"	"executive"	"100"	"executive_was"	"was_$"	"$_100"	"evanston_executive_was"	"executive_was_$"	"was_$_100"	"$_100_yesterday"	"NNP"	"NN"	"VBD"	"VB"	"ε"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"son"	"of"	"wealthy"	"evanston"	"executive"	"was"	"fine"	"yesterday"	"and"	"forbid"	"to"	"drive"	"for"	"days"	"for"	"lead"	"an"	"evanston"	"policeman"	"on"	"a"	"high"	"speed"	"chase"	"over"	"icy"	"evanston"	"and"	"wilmette"	"streets"	"jan."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:delicate:00"	"his"	"chiseled"	","	"feature"	",_his"	"his_chiseled"	"chiseled_feature"	"eye_,_his"	",_his_chiseled"	"his_chiseled_feature"	"chiseled_feature_."	"NN"	"ε"	"PRP$"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"handsome"	"with"	"his"	"hair"	"and"	"eye"	"his"	"fine"	"chiseled"	"feature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:superior:02"	"do"	"work"	"have"	"in"	"have_do"	"do_work"	"work_in"	"company_have_do"	"have_do_work"	"do_work_in"	"work_in_develop"	"NN"	"VBP"	"VB"	"JJ"	"NN"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"many"	"have"	"do"	"fine"	"work"	"in"	"develop"	"sale"	"personnel"	"much"	"of"	"it"	"has"	"be"	"product"	"rather"	"than"	"sale"	"training"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:superior:02"	"our"	"tool"	"be"	";"	"be_our"	"our_tool"	"tool_;"	",_be_our"	"be_our_tool"	"our_tool_;"	"tool_;_they"	"ε"	"VB"	"PRP$"	"JJ"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"this"	"danger"	"however"	"we"	"are"	"inform"	"on"	"every"	"that"	"idea"	"not"	"machine"	"be"	"our"	"fine"	"tool"	"they"	"be"	"priceless"	"even_though"	"they"	"cannot"	"be"	"record"	"on"	"a"	"ledger"	"page"	"they"	"be"	"the"	"most"	"valuable"	"of"	"commodity"	"and"	"the"	"most"	"salable"	"for"	"their"	"demand"	"far"	"exceed"	"supply"	
"5:00:00:superior:02"	"a"	"second"	"be"	"act"	"be_a"	"a_second"	"second_act"	"there_be_a"	"be_a_second"	"a_second_act"	"second_act_,"	"EX"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"a"	"fine"	"second"	"act"	"as"	"an"	"example"	"one"	"in"	"which"	"person"	"as"	"person"	"have"	"an"	"opportunity"	"to"	"blaze_away"	"in"	"one"	"impassioned"	"passage"	"after"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:superior:02"	"also"	"be"	"∅"	"person"	"∅_also"	"also_be"	"be_person"	"∅_∅_also"	"∅_also_be"	"also_be_person"	"be_person_,"	"ε"	"ε"	"RB"	"JJ"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fine"	"be"	"person"	"as"	"a"	"mother"	"more"	"protective"	"and"	"belligerent"	"than"	"a"	"female"	"spider"	"and"	"just"	"as"	"destructive"	"person"	"as"	"her"	"scratchy"	"spouse"	"and"	"person"	"as"	"a"	"vegetable"	"in"	"human"	"form"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:superior:02"	"in"	"voice"	"be"	","	"be_in"	"in_voice"	"voice_,"	"politician_be_in"	"be_in_voice"	"in_voice_,"	"voice_,_the"	"NN"	"VB"	"IN"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"company"	"which"	"perform"	"the"	"pulitzer_prize"	"musical"	"here"	"last"	"night"	"and"	"will"	"repeat"	"it"	"today"	"be"	"full"	"of"	"bounce"	"the"	"politician"	"be"	"in"	"fine"	"voice"	"the"	"chorine"	"evoke"	"happy"	"memory"	"and"	"the"	"person"	"ride"	"to"	"break"	"a"	"lance"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:superior:02"	"gentlemanly"	"fellow"	"a"	","	"a_gentlemanly"	"gentlemanly_fellow"	"fellow_,"	"but_a_gentlemanly"	"a_gentlemanly_fellow"	"gentlemanly_fellow_,"	"fellow_,_a"	"CC"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"not_only"	"be"	"a"	"pitcher"	"but"	"a"	"gentlemanly"	"fine"	"fellow"	"a"	"ballplayer"	"ballplayer"	"as"	"they"	"say"	"in"	"the"	"trade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"``"	"''"	"∅"	","	"∅_``"	"``_''"	"''_,"	"∅_∅_``"	"∅_``_''"	"``_''_,"	"''_,_person"	"ε"	"ε"	"ε"	"RB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
