"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"2:40:00::"	"was"	"to"	"which"	"the"	"which_was"	"was_to"	"to_the"	",_which_was"	"which_was_to"	"was_to_the"	"to_the_public"	"ε"	"WDT"	"VBD"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"probably"	"the"	"hottest"	"thing"	"that"	"has"	"hit"	"the"	"dallas"	"investment"	"in"	"years"	"be"	"the"	"morton"	"foods_stock"	"issue"	"which"	"was"	"sell"	"to"	"the"	"public"	"during"	"the"	"past"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"was"	"in"	"stock"	"the"	"stock_was"	"was_in"	"in_the"	"the_stock_was"	"stock_was_in"	"was_in_the"	"in_the_underwriting"	"DT"	"NN"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"was"	"sell"	"in"	"the"	"underwriting"	"at"	"a"	"price"	"of"	"a"	"share"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"be"	"("	"would"	"185000"	"would_be"	"be_("	"(_185000"	"that_would_be"	"would_be_("	"be_(_185000"	"(_185000_to"	"WDT"	"MD"	"VB"	"VB"	"ε"	"CD"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"letters"	"by"	"the"	"reams"	"come_in"	"from"	"investment"	"firms"	"all_over"	"the"	"nation"	"all_of"	"want"	"to"	"get"	"a"	"part"	"of"	"the"	"shares"	"that"	"would"	"be"	"sell"	"to"	"the"	"public"	"at"	"with"	"another"	"reserve"	"for"	"morton"	"foods"	"employes"	"at"	"a"	"share"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"52"	"group"	"and"	"members"	"and_52"	"52_group"	"group_members"	"underwriters_and_52"	"and_52_group"	"52_group_members"	"group_members_from"	"NNS"	"CC"	"CD"	"VB"	"NN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"it"	"allot"	"shares"	"underwriters"	"and"	"sell"	"group"	"members"	"from"	"coast"	"to"	"coast"	"there"	"be"	"not_many"	"shares"	"for"	"anyone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"were"	"at"	"both"	"higher"	"both_were"	"were_at"	"at_higher"	",_both_were"	"both_were_at"	"were_at_higher"	"at_higher_price-earnings"	"ε"	"DT"	"VBD"	"VB"	"IN"	"RBR"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"both"	"of"	"those"	"have"	"have"	"dynamic"	"run-ups"	"in"	"on"	"the"	"market"	"in"	"recent"	"months"	"both"	"were"	"sell"	"at"	"higher"	"price-earnings"	"and"	"yield"	"bases"	"than"	"morton"	"was"	"come"	"to"	"market"	"at"	"and"	"everyone"	"who"	"know"	"anything"	"about"	"it"	"expect"	"the"	"morton"	"stock"	"to"	"have"	"a"	"fast"	"run-up"	
"2:42:00::"	"to"	"as_well"	"turn_out"	"as"	"turn_out_to"	"to_as_well"	"as_well_as"	",_turn_out_to"	"turn_out_to_as_well"	"to_as_well_as"	"as_well_as_its"	"ε"	"VB"	"TO"	"VB"	"RB"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"if"	"morton"	"newest"	"product"	"a"	"corn_chip"	"known"	"chip-o"	"turn_out"	"to"	"sell"	"as_well"	"as"	"its"	"stock"	"did"	"the"	"stock"	"may"	"turn_out"	"to"	"be"	"worth"	"every"	"cent"	"of"	"the"	"prices"	"that"	"the"	"avid"	"buyers"	"bid"	"it"	"up_to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"company"	"a"	"the"	"complete"	"the_company"	"company_a"	"a_complete"	"∅_the_company"	"the_company_a"	"company_a_complete"	"a_complete_line"	"ε"	"DT"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"company"	"sell"	"a"	"complete"	"line"	"of"	"gin"	"machinery"	"all_over"	"the"	"cotton-growing"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"and"	"equipment"	"1925"	"in"	"1925_and"	"and_equipment"	"equipment_in"	"in_1925_and"	"1925_and_equipment"	"and_equipment_in"	"equipment_in_the"	"IN"	"CD"	"CC"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"firm"	"begin"	"back"	"in"	"and"	"sell"	"equipment"	"in"	"the"	"central"	"cotton"	"belt"	"include"	"the"	"mississippi_delta"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"who"	"j._i._case"	","	"tractors"	",_who"	"who_j._i._case"	"j._i._case_tractors"	"jack_martin_,_who"	",_who_j._i._case"	"who_j._i._case_tractors"	"j._i._case_tractors_and"	"NNP"	"ε"	"WP"	"VB"	"NNP"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"farmers"	"are"	"n't"	"as"	"price"	"conscious"	"as"	"last"	"year"	"so"	"we"	"can"	"more"	"money"	"on"	"a"	"sale"	"say"	"jack_martin"	"who"	"sell"	"j._i._case"	"tractors"	"and"	"implements"	"in"	"sioux_city"	"iowa"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"is"	"with"	"boats"	"a"	"boats_is"	"is_with"	"with_a"	"aboard_boats_is"	"boats_is_with"	"is_with_a"	"with_a_special"	"IN"	"NNS"	"VBZ"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"portable"	"kerosene"	"range"	"for"	"use"	"aboard"	"boats"	"is"	"sell"	"with"	"a"	"special"	"railing"	"to"	"keep"	"it"	"from"	"move"	"with"	"the"	"motion"	"of"	"the"	"vessel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
