"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"
"2:35:00::"	"he"	"the"	"but"	"eighth_symphony"	"but_he"	"he_the"	"the_eighth_symphony"	"∅_but_he"	"but_he_the"	"he_the_eighth_symphony"	"the_eighth_symphony_,"	"ε"	"CC"	"PRP"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"weight"	"the"	"eighth_symphony"	"at_times"	"with"	"a"	"shuddering"	"subjectivity"	"which"	"seem"	"considerably"	"at_odds"	"with"	"the"	"music"	"0"	"0"	"0"	
"1:06:00::"	"a"	","	"be"	"almost"	"be_a"	"a_,"	",_almost"	"silence_be_a"	"be_a_,"	"a_,_almost"	",_almost_palpable"	"NN"	"VB"	"DT"	"NN"	"ε"	"RB"	"JJ"	"that"	"be"	"full"	"now"	"of"	"traffic"	"and"	"parked"	"car"	"then"	"and"	"for"	"many"	"year"	"drowse"	"on"	"an"	"august"	"afternoon"	"in"	"the"	"shade"	"of"	"the"	"curbside"	"tree"	"and"	"silence"	"be"	"almost"	"palpable"	"in"	"the"	"air"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"which"	"not_only"	","	"the"	",_which"	"which_not_only"	"not_only_the"	"persistence_,_which"	",_which_not_only"	"which_not_only_the"	"not_only_the_number"	"NN"	"ε"	"WDT"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"also"	"present"	"a"	"simple"	"equation"	"derive"	"an"	"index"	"of"	"persistence"	"which"	"weight"	"not_only"	"the"	"number"	"of"	"stem"	"root"	"per"	"meaning"	"but"	"their"	"relative_frequency"	"0"	
"1:07:00::"	"'"	"."	"pound"	"∅"	"pound_'"	"'_."	"._∅"	"a_hundred_pound_'"	"pound_'_."	"'_._∅"	"._∅_∅"	"JJ"	"NN"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"bring"	"with"	"him"	"a"	"mixture"	"of"	"and"	"aloes"	"of"	"about"	"a_hundred"	"pound"	"weight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"'s"	"had"	"person"	"drop"	"person_'s"	"'s_had"	"had_drop"	",_person_'s"	"person_'s_had"	"'s_had_drop"	"had_drop_to"	"ε"	"NNP"	"POS"	"NN"	"VBD"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"he"	"was"	"induct"	"into"	"the"	"at"	"location"	"location"	"person"	"weight"	"had"	"drop"	"to"	"too"	"light"	"for"	"me"	"to"	"be"	"at"	"my"	"best"	"he"	"say"	
"1:07:00::"	"less"	"than"	"a_little"	"i'm"	"a_little_less"	"less_than"	"than_i'm"	"carry_a_little_less"	"a_little_less_than"	"less_than_i'm"	"than_i'm_carry"	"VB"	"RB"	"JJ"	"NN"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"feel"	"good"	"physically"	"person"	"add"	"but"	"i"	"think"	"i"	"better"	"carry"	"a_little"	"less"	"weight"	"than"	"i'm"	"carry"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"some"	"."	"pack_on"	"∅"	"pack_on_some"	"some_."	"._∅"	"to_pack_on_some"	"pack_on_some_."	"some_._∅"	"._∅_∅"	"TO"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"when"	"person"	"be"	"just"	"he"	"be"	"only"	"tall"	"and"	"weigh"	"astounding"	"pound"	"and"	"his"	"greatest"	"desire"	"was"	"to"	"some"	"weight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"light"	"workout"	","	"."	",_light"	"light_workout"	"workout_."	"high-rep_,_light"	",_light_workout"	"light_workout_."	"workout_._∅"	"JJ"	"ε"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"good"	"definition"	"be"	"one"	"thing"	"that"	"all_of"	"can"	"acquire"	"with"	"occasional"	"high-set"	"high-rep"	"light"	"weight"	"workout"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"heavy"	"is"	"a"	"not"	"a_heavy"	"heavy_is"	"is_not"	"-_a_heavy"	"a_heavy_is"	"heavy_is_not"	"is_not_needed"	"ε"	"DT"	"JJ"	"NN"	"VBZ"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"for"	"purely"	"definition"	"purpose"	"use"	"in"	"conjunction"	"with"	"your"	"squatting"	"leg_curling"	"leg_extensor"	"program"	"a"	"heavy"	"weight"	"is"	"not"	"needed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	"by"	"raise"	"straighten"	"raise_the"	"the_by"	"by_straighten"	"now_raise_the"	"raise_the_by"	"the_by_straighten"	"by_straighten_your"	"RB"	"VB"	"DT"	"NN"	"IN"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"the"	"weight"	"by"	"straighten"	"your"	"front"	"leg"	"without"	"move"	"your"	"foot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
