"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"1:18:00::"	"take"	"in_this"	"had"	"country"	"had_take"	"take_in_this"	"in_this_country"	"that_had_take"	"had_take_in_this"	"take_in_this_country"	"in_this_country_into"	"WDT"	"VBD"	"VB"	"NN"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"long"	"that"	"had"	"take"	"liberal"	"in_this"	"country"	"into"	"the"	"social"	"religion"	"of"	"democracy"	"into"	"a"	"worship"	"of"	"man"	"lead"	"logically"	"to"	"the"	"marxist"	"dream"	"of"	"a"	"classless"	"society"	"under"	"a"	"socialist"	"state"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"confident"	"of"	"still"	"the"	"still_confident"	"confident_of"	"of_the"	"the_still_confident"	"still_confident_of"	"confident_of_the"	"of_the_person"	"DT"	"RB"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"will"	"recall"	"the"	"still"	"confident"	"liberal"	"of"	"the"	"person"	"administration"	"gather"	"with"	"western"	"utopian"	"in"	"san_francisco"	"to"	"set_up"	"the"	"legal"	"framework"	"finally"	"and"	"at_last"	"to"	"rationalize"	"war"	"to"	"rationalize"	"want"	"and"	"fear"	"out"	"of"	"the"	"world"	"the"	"united_nations"	
"1:18:00::"	"ex"	"be"	"these"	"that"	"these_ex"	"ex_be"	"be_that"	"of_these_ex"	"these_ex_be"	"ex_be_that"	"be_that_the"	"IN"	"DT"	"JJ"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"most"	"notable"	"thing"	"the"	"incantation"	"of"	"these"	"ex"	"liberal"	"be"	"that"	"the"	"onetime"	"shibboleth"	"of"	"socialism"	"be"	"conspicuously"	"absent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"who"	"prefer"	"be"	"prefer_the"	"the_who"	"who_be"	"i_prefer_the"	"prefer_the_who"	"the_who_be"	"who_be_personally"	"PRP"	"VB"	"DT"	"NN"	"WP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"must"	"confess"	"i"	"prefer"	"the"	"liberal"	"who"	"be"	"personally"	"affected"	"who"	"be"	"willing"	"to"	"send"	"his"	"own"	"child"	"to"	"a"	"mixed"	"school"	"as"	"proof"	"of"	"his"	"faith"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:broad-minded:00"	"the"	"tradition"	"of"	"be"	"of_the"	"the_tradition"	"tradition_be"	"much_of_the"	"of_the_tradition"	"the_tradition_be"	"tradition_be_an"	"NN"	"IN"	"DT"	"JJ"	"NN"	"VB"	"DT"	"say"	"then"	"that"	"today"	"in"	"our"	"situation"	"the"	"demand"	"for"	"demythologization"	"must"	"be"	"accept"	"without"	"condition"	"we"	"are"	"simply"	"say"	"that"	"at_least"	"this"	"much"	"of"	"the"	"tradition"	"be"	"an"	"enduring"	"achievement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"northern"	"be"	"∅"	"the"	"∅_northern"	"northern_be"	"be_the"	"∅_∅_northern"	"∅_northern_be"	"northern_be_the"	"be_the_chief"	"ε"	"ε"	"JJ"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"liberal"	"be"	"the"	"chief"	"supporter"	"of"	"civil_rights"	"and"	"of"	"integration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"between"	"and"	"opposition"	"bourbon"	"opposition_between"	"between_and"	"and_bourbon"	"the_opposition_between"	"opposition_between_and"	"between_and_bourbon"	"and_bourbon_is"	"DT"	"NN"	"IN"	"NN"	"CC"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"nature"	"the"	"opposition"	"between"	"liberal"	"and"	"bourbon"	"is"	"too"	"little"	"understand"	"in"	"the"	"north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"northern"	"from"	"about"	"considerable"	"about_northern"	"northern_from"	"from_considerable"	"write_about_northern"	"about_northern_from"	"northern_from_considerable"	"from_considerable_personal"	"VB"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"about"	"northern"	"liberal"	"from"	"considerable"	"personal"	"experience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"american"	"may"	"the"	","	"the_american"	"american_may"	"may_,"	"∅_the_american"	"the_american_may"	"american_may_,"	"may_,_in"	"ε"	"DT"	"JJ"	"NN"	"VB"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"american"	"liberal"	"may"	"in"	"the"	"world"	"of"	"today"	"have"	"a"	"strong"	"case"	"but"	"he"	"present"	"it"	"publicly"	"so"	"enmesh"	"in"	"hypocrisy"	"that"	"it"	"be"	"not"	"an"	"honest"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"northern"	"'s"	"the"	"attitude"	"the_northern"	"northern_'s"	"'s_attitude"	"with_the_northern"	"the_northern_'s"	"northern_'s_attitude"	"'s_attitude_toward"	"IN"	"DT"	"JJ"	"NN"	"POS"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"am"	"concern"	"here"	"with"	"the"	"northern"	"liberal"	"attitude"	"toward"	"the"	"south"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
