"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"2:32:01::"	"you"	"''"	"are"	"?"	"are_you"	"you_''"	"''_?"	"``_are_you"	"are_you_''"	"you_''_?"	"''_?_say"	"ε"	"VBP"	"PRP"	"VB"	"ε"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"kid"	"say"	"maris"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"n't"	"you"	"ai"	","	"ai_n't"	"n't_you"	"you_,"	"i_ai_n't"	"ai_n't_you"	"n't_you_,"	"you_,_vince"	"PRP"	"VBP"	"RB"	"VB"	"PRP"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"n't"	"kid"	"you"	"vince"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"a"	"''"	"be"	"?"	"be_a"	"a_''"	"''_?"	"he_be_a"	"be_a_''"	"a_''_?"	"''_?_∅"	"PRP"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"did"	"he"	"ever"	"visit"	"when"	"he"	"be"	"a"	"kid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"these"	"and"	"entertain"	"all"	"entertain_these"	"these_and"	"and_all"	"to_entertain_these"	"entertain_these_and"	"these_and_all"	"and_all_."	"VB"	"VB"	"DT"	"NN"	"CC"	"DT"	"ε"	"get"	"a"	"confused"	"funny"	"look"	"on"	"his"	"face"	"and"	"he"	"had"	"answer"	"kind_of"	"politely"	"now"	"look_here"	"lady"	"know"	"you"	"got"	"to"	"entertain"	"these"	"and"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"and"	"for"	"commie"	"for_the"	"the_and"	"and_commie"	"than_for_the"	"for_the_and"	"the_and_commie"	"and_commie_this"	"IN"	"IN"	"DT"	"NN"	"CC"	"NN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"day"	"come"	"a"	"day"	"for"	"person"	"than"	"for"	"the"	"kid"	"and"	"commie"	"this"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"person"	"by"	"the"	"the"	"the_person"	"person_by"	"by_the"	"find_the_person"	"the_person_by"	"person_by_the"	"by_the_crib"	"VB"	"DT"	"NNP"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"find"	"person"	"kid"	"by"	"the"	"crib"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"``"	"freeze"	"``_the"	"the_'s"	"'s_freeze"	"∅_``_the"	"``_the_'s"	"the_'s_freeze"	"'s_freeze_good"	"ε"	"ε"	"DT"	"NN"	"POS"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"kid"	"freeze"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"over"	"chest"	"over_the"	"the_'s"	"'s_chest"	"towel_over_the"	"over_the_'s"	"the_'s_chest"	"'s_chest_and"	"NN"	"IN"	"DT"	"NN"	"POS"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"lay"	"towel"	"over"	"the"	"kid"	"chest"	"and"	"stomach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"''"	"about"	"."	"about_the"	"the_''"	"''_."	"care_about_the"	"about_the_''"	"the_''_."	"''_._∅"	"VB"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pa"	"do"	"n't"	"about"	"the"	"kid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"in"	"clothes"	"in_the"	"the_'s"	"'s_clothes"	"toe_in_the"	"in_the_'s"	"the_'s_clothes"	"'s_clothes_."	"NN"	"IN"	"DT"	"NN"	"POS"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ma"	"poke"	"toe"	"in"	"the"	"kid"	"clothes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
