"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"
"2:38:01::"	"arguments"	"by"	"the"	"those"	"the_arguments"	"arguments_by"	"by_those"	"∅_the_arguments"	"the_arguments_by"	"arguments_by_those"	"by_those_individuals"	"ε"	"DT"	"NNS"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arguments"	"advance"	"by"	"those"	"individuals"	"and"	"groups"	"who"	"oppose"	"the"	"system"	"in_force"	"and"	"who"	"would"	"drastically"	"curtail"	"or"	"do_away"	"entirely"	"with"	"hospital_care"	"for"	"the"	"non-service-connected"	"case"	"seem"	"to"	"be"	"coldly"	"impractical"	"and"	"out-of-step"	"with"	"the"	"wishes"	"of"	"the"	"general"	"public"	
"2:30:08::"	"to"	"by"	"expect"	"a"	"expect_to"	"to_by"	"by_a"	"is_expect_to"	"expect_to_by"	"to_by_a"	"by_a_whopping"	"VBZ"	"VB"	"TO"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"treasury_secretary_douglas_dillon"	"say"	"the"	"is"	"expect"	"to"	"advance"	"by"	"a"	"whopping"	"next"	"year"	"paving_the_way"	"for"	"lower"	"taxes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:08::"	"average"	"7.19"	"industrial"	"to"	"industrial_average"	"average_7.19"	"7.19_to"	"dow_jones_industrial_average"	"industrial_average_7.19"	"average_7.19_to"	"7.19_to_687.87"	"NNP"	"JJ"	"JJ"	"VB"	"CD"	"TO"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"industrial"	"average"	"advance"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:08::"	"695"	"and"	","	"354"	",_695"	"695_and"	"and_354"	"trade_,_695"	",_695_and"	"695_and_354"	"and_354_decline"	"VB"	"ε"	"CD"	"VB"	"CC"	"CD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"issues"	"advance"	"and"	"decline"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"less_than"	"nationally"	"10"	"nationally_to"	"to_less_than"	"less_than_10"	"building_nationally_to"	"nationally_to_less_than"	"to_less_than_10"	"less_than_10_percent"	"NN"	"RB"	"TO"	"VB"	"RB"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look_for"	"home"	"nationally"	"to"	"advance"	"less_than"	"percent"	"this"	"year"	"from"	"non-farm"	"housing"	"starts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"reason"	"in"	"another"	"favor"	"another_reason"	"reason_in"	"in_favor"	",_another_reason"	"another_reason_in"	"reason_in_favor"	"in_favor_of"	"ε"	"DT"	"NN"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"apart"	"from"	"the"	"another"	"reason"	"advance"	"in"	"favor"	"of"	"the"	"meeting"	"be"	"that"	"too"	"often"	"in_the_past"	"the"	"u._s."	"appear"	"to"	"have"	"been"	"drag"	"reluctantly"	"to"	"the"	"summit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:08::"	"and"	"in"	","	"a"	",_and"	"and_in"	"in_a"	"it_,_and"	",_and_in"	"and_in_a"	"in_a_tangible"	"PRP"	"ε"	"CC"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"better"	"affirmative"	"step"	"could"	"be"	"take"	"to"	"this"	"end"	"repeal"	"of"	"the"	"connally"	"amendment"	"an"	"act"	"which"	"could"	"expose"	"the"	"united_states"	"to"	"no"	"practical"	"risk"	"yet"	"would"	"an"	"end"	"to"	"our"	"self-judging"	"attitude"	"toward"	"the"	"court"	"enable"	"us"	"to"	"utilize"	"it"	"and"	"advance"	"in"	"a"	"tangible"	"way"	"the"	"cause"	"of"	"international_law"	"and"	"order"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"program"	"by"	"any"	"either"	"any_program"	"program_by"	"by_either"	"nor_any_program"	"any_program_by"	"program_by_either"	"by_either_major"	"CC"	"DT"	"NN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"hard"	"life"	"of"	"politics"	"it"	"be"	"known"	"that"	"no"	"platform"	"nor"	"any"	"program"	"advance"	"by"	"either"	"major"	"american_party"	"have"	"any"	"purpose"	"beyond"	"express_emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"had"	"in"	"madison"	"his"	"madison_had"	"had_in"	"in_his"	"which_madison_had"	"madison_had_in"	"had_in_his"	"in_his_old"	"WDT"	"NNP"	"VBD"	"VB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"in"	"the"	"south_carolina"	"nullifiers"	"adopt"	"the"	"principle"	"state"	"interposition"	"which"	"madison"	"had"	"advance"	"in"	"his"	"old"	"virginia_resolve"	"they"	"elicit"	"no"	"encouragement"	"from_that"	"senior"	"statesman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"be"	"for"	"can"	"the"	"can_be"	"be_for"	"for_the"	"that_can_be"	"can_be_for"	"be_for_the"	"for_the_state"	"WDT"	"MD"	"VB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"best"	"that"	"can"	"be"	"advance"	"for"	"the"	"state"	"adopt"	"the"	"practice"	"be"	"the"	"advent"	"of"	"expanded"	"highway"	"construction"	"during"	"the"	"s"	"and"	"s"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
