"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:41:00::"	"could"	"a"	"city"	"cd"	"city_could"	"could_a"	"a_cd"	"the_city_could"	"city_could_a"	"could_a_cd"	"a_cd_director"	"DT"	"NN"	"MD"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"express"	"the"	"the"	"city"	"could"	"hire"	"a"	"cd"	"director"	"for"	"about"	"a"	"year"	"and"	"would"	"only"	"have"	"to"	"put_up"	"half"	"that"	"amount"	"on"	"a"	"matching"	"fund"	"basis"	"to"	"defray"	"the"	"salary"	"costs"	
"2:41:00::"	"∅"	"the"	"∅"	"wife"	"∅_∅"	"∅_the"	"the_wife"	"∅_∅_∅"	"∅_∅_the"	"∅_the_wife"	"the_wife_for"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wife"	"for"	"one"	"company"	"may"	"win"	"her"	"tax-aided"	"retirement"	"income"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"."	"should"	"∅"	"should_be"	"be_."	"._∅"	"doctors_should_be"	"should_be_."	"be_._∅"	"._∅_∅"	"NNS"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"attendants"	"nurses"	"doctors"	"should"	"be"	"hire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"a"	"cuisine"	"$"	"cuisine_and"	"and_a"	"a_$"	"haute_cuisine_and"	"cuisine_and_a"	"and_a_$"	"a_$_10000"	"FW"	"NN"	"CC"	"VB"	"DT"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"daring"	"stroke"	"the"	"senate"	"venture"	"forth"	"week"	"into"	"the"	"world"	"of"	"haute"	"cuisine"	"and"	"hire"	"a"	"per-year"	"french-born"	"maitre"	"d"	"hotel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"newly"	"and"	"both"	"regular"	"both_newly"	"newly_and"	"and_regular"	"with_both_newly"	"both_newly_and"	"newly_and_regular"	"and_regular_workers"	"IN"	"DT"	"RB"	"VB"	"CC"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thomas_rotelli"	"head"	"of"	"rhode_island"	"incinerator_service"	"inc."	"say"	"four"	"of"	"the"	"company"	"trucks"	"were"	"make"	"collections"	"with"	"both"	"newly"	"hire"	"and"	"regular"	"workers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"who"	"the"	"one"	"two"	"one_who"	"who_the"	"the_two"	"the_one_who"	"one_who_the"	"who_the_two"	"the_two_of"	"DT"	"CD"	"WP"	"VB"	"DT"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"no"	"way"	"to"	"take"	"him"	"in"	"now"	"and"	"those"	"two"	"wister"	"and"	"the"	"one"	"who"	"hire"	"the"	"two"	"of"	"them"	"from"	"find_out"	"about"	"roberts"	"and"	"lam"	"out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"you"	"help"	"or"	"."	"or_you"	"you_help"	"help_."	"work_or_you"	"or_you_help"	"you_help_."	"help_._∅"	"NN"	"CC"	"PRP"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"have"	"a"	"year-round"	"full-time"	"job"	"you"	"can"	"n't"	"expect"	"to"	"grow"	"much"	"more"	"than"	"your"	"family"	"use"	"unless"	"member"	"of"	"the"	"family"	"do"	"a"	"good_deal"	"the"	"work"	"or"	"you"	"hire"	"help"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"by"	"someone"	"and"	"with"	"and_by"	"by_someone"	"someone_with"	",_and_by"	"and_by_someone"	"by_someone_with"	"someone_with_machinery"	"ε"	"CC"	"IN"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"can"	"keep_down"	"machinery"	"investment"	"down"	"by"	"buy"	"good"	"secondhand"	"machinery"	"by"	"share"	"the"	"and"	"upkeep"	"of"	"machinery"	"with"	"a"	"neighbor"	"and"	"by"	"hire"	"someone"	"with"	"machinery"	"to"	"do"	"certain"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"who"	"you"	"guy"	"what"	"guy_who"	"who_you"	"you_what"	"the_guy_who"	"guy_who_you"	"who_you_what"	"you_what_i"	"DT"	"NN"	"WP"	"VB"	"PRP"	"WP"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maybe"	"you"	"well"	"tell"	"guy"	"who"	"hire"	"you"	"what"	"i"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"group"	"person"	"the"	","	"the_group"	"group_person"	"person_,"	",_the_group"	"the_group_person"	"group_person_,"	"person_,_give"	"ε"	"DT"	"NNP"	"VB"	"NNP"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"hire"	"person"	"give"	"him"	"two"	"learned"	"geographer"	"fit_out"	"him"	"out"	"with"	"a"	"ship"	"called"	"the"	"half_moon"	"and"	"supply"	"him"	"with"	"dutch"	"sailor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
