"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"
"1:10:00::"	"intellectual"	"for"	"have"	"him"	"have_intellectual"	"intellectual_for"	"for_him"	"words_have_intellectual"	"have_intellectual_for"	"intellectual_for_him"	"for_him_only"	"NN"	"VB"	"JJ"	"NN"	"IN"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"words"	"intellectual"	"meaning"	"for"	"him"	"only"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"and"	"variety"	"emotion"	"variety_of"	"of_and"	"and_emotion"	"a_variety_of"	"variety_of_and"	"of_and_emotion"	"and_emotion_are"	"DT"	"NN"	"IN"	"NN"	"CC"	"NN"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"variety"	"of"	"meaning"	"and"	"emotion"	"are"	"concentrate"	"or"	"reduce"	"in"	"their"	"communicative"	"expression"	"to"	"some"	"comparatively"	"simple"	"seeming"	"verbal"	"or"	"nonverbal"	"statement"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"."	"unconventional"	"∅"	"unconventional_of"	"of_."	"._∅"	"most_unconventional_of"	"unconventional_of_."	"of_._∅"	"._∅_∅"	"RB"	"JJ"	"IN"	"NN"	"ε"	"ε"	"ε"	"for_example"	"that"	"a"	"terse"	"and"	"stereotyped"	"verbal"	"expression"	"seem"	"at_first"	"to"	"be"	"a"	"mere"	"hollow"	"convention"	"reveal"	"itself"	"over"	"the"	"month"	"of"	"therapy"	"as"	"the"	"vehicle"	"for"	"express"	"the"	"most"	"varied"	"and"	"intense"	"feeling"	"and"	"the"	"most"	"unconventional"	"meaning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"latent"	"."	"one"	"∅"	"one_latent"	"latent_."	"._∅"	"than_one_latent"	"one_latent_."	"latent_._∅"	"._∅_∅"	"RB"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"sometimes"	"it"	"be"	"not"	"a"	"verbal"	"stereotype"	"a"	"how"	"be"	"you"	"now"	"or"	"an"	"i"	"want"	"to"	"go_home"	"or"	"whatever"	"but"	"a"	"nonverbal"	"one"	"which"	"reveal"	"itself"	"gradually"	"as"	"the"	"condensed"	"expression"	"of"	"more"	"than"	"one"	"latent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"concrete"	"have"	"that"	"not"	"that_concrete"	"concrete_have"	"have_not"	"reason_that_concrete"	"that_concrete_have"	"concrete_have_not"	"have_not_become"	"NN"	"IN"	"JJ"	"NN"	"VBP"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"my"	"experience"	"a"	"great"	"many_of"	"the"	"patient"	"more"	"puzzling"	"communication"	"be"	"so"	"for"	"the"	"reason"	"that"	"concrete"	"meaning"	"have"	"not"	"become"	"differentiate"	"from"	"figurative"	"meaning"	"in"	"his"	"subjective"	"experience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"figurative"	"in"	"from"	"his"	"from_figurative"	"figurative_in"	"in_his"	"differentiate_from_figurative"	"from_figurative_in"	"figurative_in_his"	"in_his_subjective"	"VB"	"IN"	"JJ"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"my"	"experience"	"a"	"great"	"many_of"	"the"	"patient"	"more"	"puzzling"	"verbal"	"communication"	"be"	"for"	"the"	"reason"	"that"	"concrete"	"meaning"	"have"	"not"	"become"	"differentiate"	"from"	"figurative"	"meaning"	"in"	"his"	"subjective"	"experience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"hidden"	"the"	"such"	"patient"	"such_hidden"	"hidden_the"	"the_patient"	"of_such_hidden"	"such_hidden_the"	"hidden_the_patient"	"the_patient_himself"	"IN"	"JJ"	"JJ"	"NN"	"DT"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"hidden"	"meaning"	"the"	"patient"	"himself"	"be"	"more_often_than_not"	"entirely"	"unaware"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"of"	"of"	"isolated"	"of_the"	"the_of"	"of_isolated"	"comprehension_of_the"	"of_the_of"	"the_of_isolated"	"of_isolated_element"	"NN"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"analysis"	"mean"	"the"	"evaluation"	"of"	"subpart"	"the"	"comparative"	"of"	"part"	"the"	"comprehension"	"of"	"the"	"meaning"	"of"	"isolated"	"element"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"within"	"slot"	"replacement"	","	"replacement_within"	"within_slot"	"slot_,"	"stem_replacement_within"	"replacement_within_slot"	"within_slot_,"	"slot_,_it"	"NN"	"NN"	"IN"	"NN"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"word_class"	"differ"	"in"	"their"	"or"	"liability"	"to"	"stem"	"replacement"	"within"	"meaning"	"slot"	"it"	"be"	"conceivable"	"that"	"individual"	"meaning"	"also"	"differ"	"with"	"fair"	"consistence"	"trans"	"lingually"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"individual"	"also"	"that"	"differ"	"that_individual"	"individual_also"	"also_differ"	"conceivable_that_individual"	"that_individual_also"	"individual_also_differ"	"also_differ_with"	"JJ"	"IN"	"JJ"	"NN"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"word_class"	"differ"	"in"	"their"	"resistance"	"or"	"liability"	"to"	"replacement"	"within"	"meaning"	"slot"	"it"	"be"	"conceivable"	"that"	"individual"	"meaning"	"also"	"differ"	"with"	"fair"	"consistence"	"trans"	"lingually"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
