"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"2:38:00::"	"chief_executive"	"to"	"the"	"washington"	"the_chief_executive"	"chief_executive_to"	"to_washington"	"after_the_chief_executive"	"the_chief_executive_to"	"chief_executive_to_washington"	"to_washington_in"	"IN"	"DT"	"NN"	"VB"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shortly"	"the"	"chief_executive"	"return"	"to"	"washington"	"in"	"midmorning"	"from"	"hyannis_port"	"mass."	"a"	"white_house"	"spokesman"	"say"	"the"	"address"	"text"	"still"	"have"	"quite"	"a"	"way_to_go"	"toward"	"completion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"have"	"to"	"jr."	"their"	"jr._have"	"have_to"	"to_their"	",_jr._have"	"jr._have_to"	"have_to_their"	"to_their_home"	"ε"	"NNP"	"VBP"	"VB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"and"	"jr."	"have"	"return"	"to"	"their"	"home"	"in"	"drexel_park"	"after"	"spend"	"some"	"time"	"in"	"delray_beach_fla."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"will"	"next"	"mrs._robert_brown"	"week"	"mrs._robert_brown_will"	"will_next"	"next_week"	"and_mrs._robert_brown_will"	"mrs._robert_brown_will_next"	"will_next_week"	"next_week_from"	"CC"	"NNP"	"MD"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"mrs._robert_brown"	"will"	"return"	"next"	"week"	"from"	"bermuda"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"congressmen"	"from"	"∅"	"recess"	"∅_congressmen"	"congressmen_from"	"from_recess"	"∅_∅_congressmen"	"∅_congressmen_from"	"congressmen_from_recess"	"from_recess_say"	"ε"	"ε"	"NNS"	"VB"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"return"	"from"	"recess"	"say"	"the"	"people"	"admire"	"president_kennedy"	"so_much"	"they"	"be"	"even"	"willing"	"to"	"heed"	"his"	"call"	"to"	"sacrifice"	"and"	"give_up"	"his"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"him"	"to"	"make"	"his"	"make_him"	"him_to"	"to_his"	"that_make_him"	"make_him_to"	"him_to_his"	"to_his_village"	"WDT"	"VB"	"PRP"	"VB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"it"	"was"	"n't"	"earthquake"	"that"	"make"	"him"	"return"	"to"	"his"	"village"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"be"	"to"	"will"	"portland"	"will_be"	"be_to"	"to_portland"	"and_will_be"	"will_be_to"	"be_to_portland"	"to_portland_to"	"CC"	"MD"	"VB"	"VB"	"VB"	"NNP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wife"	"of"	"convicted"	"bank"	"robber"	"lawrence_g._huntley"	"was"	"arrest"	"phoenix"	"ariz."	"last"	"week"	"and"	"will"	"be"	"return"	"to"	"portland"	"to"	"face"	"charges"	"of"	"assault"	"and"	"robbery"	"portland"	"detectives"	"say"	"friday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"to"	"sunday"	"her"	"sunday_to"	"to_to"	"to_her"	"leave_sunday_to"	"sunday_to_to"	"to_to_her"	"to_her_home"	"VB"	"NNP"	"TO"	"VB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._mcintosh_buell"	"will"	"sunday"	"to"	"return"	"to"	"her"	"home"	"in"	"santa_barbara"	"calif."	"after"	"spend"	"a"	"week"	"in"	"her"	"polo"	"grounds"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"have"	"to"	"mrs._merrill_shoup"	"their"	"mrs._merrill_shoup_have"	"have_to"	"to_their"	"and_mrs._merrill_shoup_have"	"mrs._merrill_shoup_have_to"	"have_to_their"	"to_their_home"	"CC"	"NNP"	"VBP"	"VB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"mrs._merrill_shoup"	"have"	"return"	"to"	"their"	"home"	"in"	"colorado_springs"	"after"	"spend"	"a_few"	"days"	"at"	"the"	"brown_palace_hotel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"to"	"∅"	"the"	"∅_i"	"i_to"	"to_the"	"∅_∅_i"	"∅_i_to"	"i_to_the"	"to_the_hall"	"ε"	"ε"	"PRP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"return"	"to"	"the"	"hall"	"despite"	"my"	"dislike"	"for"	"the"	"clerk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"you"	"''"	"when"	","	"when_you"	"you_''"	"''_,"	"guarantee_when_you"	"when_you_''"	"you_''_,"	"''_,_i"	"VB"	"WRB"	"PRP"	"VB"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"you"	"want"	"a"	"guarantee"	"when"	"you"	"return"	"i"	"continue"	"my"	"attack"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
