"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"2:32:00::"	"previously"	"as"	"have"	"mean"	"have_previously"	"previously_as"	"as_mean"	"scholars_have_previously"	"have_previously_as"	"previously_as_mean"	"as_mean_bishop"	"NNS"	"VBP"	"RB"	"VB"	"IN"	"VB"	"NN"	"second"	"and"	"third"	"chapters"	"of"	"revelation"	"the"	"new"	"version"	"retain"	"however"	"the"	"old"	"phrase"	"angel"	"of"	"the"	"church"	"which"	"biblical"	"scholars"	"have"	"previously"	"as"	"mean"	"bishop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"was"	"according"	"''"	"to"	"''_was"	"was_according"	"according_to"	"wives_''_was"	"''_was_according"	"was_according_to"	"according_to_a"	"NNPS"	"ε"	"VBD"	"VB"	"JJ"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"new"	"school"	"wives"	"was"	"interpret"	"according"	"to"	"a"	"principle"	"that_is"	"become"	"increasingly"	"common"	"in"	"the"	"playing"	"of"	"classic"	"comedy"	"the"	"idea"	"of"	"turn_into"	"some"	"obviously"	"ludicrous"	"figure"	"into"	"a"	"tragic"	"character"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"her"	"how"	"imagery"	"how_to"	"to_her"	"her_imagery"	"know_how_to"	"how_to_her"	"to_her_imagery"	"her_imagery_."	"VB"	"WRB"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nor"	"does"	"a"	"automatically"	"know"	"how"	"to"	"interpret"	"her"	"imagery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"once_again"	"the"	"kennedy"	"soviet"	"kennedy_once_again"	"once_again_the"	"the_soviet"	"president_kennedy_once_again"	"kennedy_once_again_the"	"once_again_the_soviet"	"the_soviet_proposals"	"NN"	"NNP"	"RB"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president"	"once_again"	"interpret"	"the"	"soviet"	"proposals"	"to"	"sign"	"a"	"peace_treaty"	"with"	"germany"	"as"	"a"	"threat"	"as"	"part"	"of"	"the"	"world"	"menace"	"allegedly"	"loom"	"over"	"the"	"countries"	"of"	"capitalism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"n't"	"it"	"did"	"this"	"did_n't"	"n't_it"	"it_this"	"person_did_n't"	"did_n't_it"	"n't_it_this"	"it_this_way"	"NNP"	"VBD"	"RB"	"VB"	"PRP"	"DT"	"NN"	"the"	"fact"	"that"	"person"	"horse"	"had"	"not"	"been"	"return"	"to"	"its"	"stall"	"could"	"indicate"	"that"	"person"	"information"	"had"	"be"	"wrong"	"but"	"person"	"did"	"interpret"	"it"	"this"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"of"	"the"	"way"	"42"	"way_of"	"of_the"	"the_42"	"one_way_of"	"way_of_the"	"of_the_42"	"the_42_figure"	"JJ"	"NN"	"IN"	"VB"	"DT"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"following"	"summary"	"base"	"on"	"figure"	"and"	"be"	"example"	"of"	"one"	"way"	"of"	"interpret"	"the"	"figure"	"construct"	"from"	"onset"	"age"	"and"	"completion"	"age"	"of"	"individual"	"child"	"with_respect_to"	"the"	"appropriate"	"mean"	"age"	"for"	"each"	"growth"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"to"	","	"∅"	"indeed"	"∅_to"	"to_,"	",_indeed"	"∅_∅_to"	"∅_to_,"	"to_,_indeed"	",_indeed_,"	"ε"	"ε"	"TO"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interpret"	"indeed"	"the"	"era"	"from"	"to"	"as"	"a"	"period"	"mainly"	"of"	"consolidation"	"may"	"be"	"a"	"necessary"	"but"	"unfortunate"	"defect"	"bear"	"of"	"our"	"lack"	"of"	"detailed"	"information"	"if"	"we"	"could"	"see"	"more"	"deeply"	"we"	"probably"	"would"	"find"	"many"	"side"	"issue"	"and"	"wrong"	"turning"	"which"	"come"	"to"	"an"	"end"	"within"	"the"	"period"	
"2:31:02::"	"readily"	"into"	"be"	"its"	"be_readily"	"readily_into"	"into_its"	"may_be_readily"	"be_readily_into"	"readily_into_its"	"into_its_equivalent"	"MD"	"VB"	"RB"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"dream"	"and"	"this"	"be"	"true"	"of"	"a"	"mental_image"	"any"	"type"	"even"	"though"	"it"	"may"	"be"	"readily"	"interpret"	"into"	"its"	"equivalent"	"of"	"wakeful"	"thought"	"be"	"a"	"psychic_phenomenon"	"for"	"which"	"no"	"explanation"	"be"	"available"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"with"	"must"	"caution"	"must_be"	"be_with"	"with_caution"	"2_must_be"	"must_be_with"	"be_with_caution"	"with_caution_since"	"NN"	"MD"	"VB"	"VB"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"registration"	"figure"	"give"	"table"	"must"	"be"	"interpret"	"with"	"caution"	"since"	"the"	"estimate"	"for"	"eligible"	"elector"	"were"	"make"	"without"	"the"	"benefit"	"of"	"a"	"reliable"	"census"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"by"	"set"	"person"	"set_,"	",_by"	"by_person"	"disc_set_,"	"set_,_by"	",_by_person"	"by_person_authority"	"NN"	"NN"	"ε"	"VB"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thanks"	"to"	"spoken_arts_records"	"history"	"buff"	"may"	"hear"	"person"	"most"	"memorable"	"speech"	"and"	"letter"	"in"	"a"	"disc"	"set"	"interpret"	"by"	"person"	"authority"	"and"	"lecturer"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
