"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"
"2:38:00::"	"and"	"the"	"saddle"	"reins"	"saddle_and"	"and_the"	"the_reins"	"the_saddle_and"	"saddle_and_the"	"and_the_reins"	"the_reins_in"	"DT"	"NN"	"CC"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dean"	"still"	"hesitate"	"but"	"mike"	"lift"	"almost"	"bodily"	"into"	"the"	"saddle"	"and"	"thrust"	"the"	"reins"	"in"	"his"	"hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"she"	"forward"	"∅"	"through"	"∅_she"	"she_forward"	"forward_through"	"∅_∅_she"	"∅_she_forward"	"she_forward_through"	"forward_through_the"	"ε"	"ε"	"PRP"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thrust"	"forward"	"through"	"the"	"shadows"	"and"	"the"	"trees"	"that"	"resist"	"her"	"and"	"try"	"to"	"fling"	"her"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"it"	"but"	"to_the_back"	"but_he"	"he_it"	"it_to_the_back"	",_but_he"	"but_he_it"	"he_it_to_the_back"	"it_to_the_back_of"	"ε"	"CC"	"PRP"	"VB"	"PRP"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"flat"	"hard"	"cap"	"small"	"but"	"he"	"thrust"	"it"	"to_the_back"	"of"	"his"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"for"	"this"	"equivalent"	"play"	"equivalent_for"	"for_this"	"this_play"	"'s_equivalent_for"	"equivalent_for_this"	"for_this_play"	"this_play_'s"	"POS"	"NN"	"IN"	"VB"	"DT"	"NN"	"POS"	"phedre"	"was"	"do"	"in"	"th"	"century"	"setting"	"instead"	"of"	"ancient_greek"	"perhaps"	"that"	"be"	"comedie"	"equivalent"	"for"	"thrust"	"play"	"characters"	"into"	"our"	"own"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"has"	"upon"	"that_is"	"the"	"that_is_has"	"has_upon"	"upon_the"	"be_that_is_has"	"that_is_has_upon"	"has_upon_the"	"upon_the_west"	"VB"	"RB"	"VBZ"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"inescapable"	"realities"	"the"	"cold_war"	"be"	"that_is"	"has"	"thrust"	"upon"	"the"	"west"	"a"	"wholly"	"new"	"and"	"historically"	"unique"	"set"	"of"	"moral"	"dilemmas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"he"	"one"	","	"hand"	",_he"	"he_one"	"one_hand"	"idea_,_he"	",_he_one"	"he_one_hand"	"one_hand_into"	"NN"	"ε"	"PRP"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"before"	"his"	"mind"	"round_out"	"the"	"idea"	"he"	"thrust"	"one"	"hand"	"into"	"his"	"trouser"	"pocket"	"and"	"pull_out"	"the"	"six"	"slug"	"he"	"had"	"take"	"from"	"the"	"revolver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"she"	"the"	"∅"	"envelope"	"∅_she"	"she_the"	"the_envelope"	"∅_∅_she"	"∅_she_the"	"she_the_envelope"	"the_envelope_back"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thrust"	"the"	"envelope"	"back"	"in"	"the"	"bag"	"there"	"be"	"no"	"point"	"in"	"lock_up"	"it"	"up"	"in"	"the"	"armoire"	"now"	"it"	"be"	"like"	"lock"	"the"	"barn"	"after"	"the"	"horse"	"was"	"steal"	
"2:38:00::"	","	"up"	"reflection"	"his"	"reflection_,"	",_up"	"up_his"	"his_reflection_,"	"reflection_,_up"	",_up_his"	"up_his_chin"	"PRP$"	"NN"	"ε"	"VB"	"RB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"peer"	"through"	"half"	"lid"	"at"	"his"	"reflection"	"thrust"	"up"	"his"	"chin"	"in"	"a"	"gesture"	"of"	"satisfaction"	"and"	"about-face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"person"	"straight"	"when"	"to"	"when_person"	"person_straight"	"straight_to"	",_when_person"	"when_person_straight"	"person_straight_to"	"straight_to_the"	"ε"	"WRB"	"NNP"	"VB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that_is"	"person"	"thrust"	"straight"	"to"	"the"	"core"	"of"	"the"	"music"	"spark"	"fly"	"bow"	"shred"	"violin"	"singing"	"glitter"	"and"	"sometimes"	"spit"	"person"	"could"	"go_along"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"orchestral"	"to"	"with"	"the"	"with_orchestral"	"orchestral_to"	"to_the"	"time_with_orchestral"	"with_orchestral_to"	"orchestral_to_the"	"to_the_byronic"	"NN"	"IN"	"JJ"	"NN"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"the"	"concert"	"open"	"with"	"another"	"big"	"romantic"	"score"	"person"	"overture_to_manfred"	"which"	"suffer"	"fate"	"this"	"with"	"orchestral"	"thrust"	"to"	"the"	"byronic"	"point"	"to"	"keep"	"it"	"afloat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
